ID:9946 SKID:K1122+340  timeStamp:2025-03-28 08:08:24:557
ID:9946 SKID:K1122+339  timeStamp:2025-03-28 08:08:24:745
ID:9946 SKID:K1122+337  timeStamp:2025-03-28 08:08:24:932
ID:9946 SKID:K1122+335.5  timeStamp:2025-03-28 08:08:25:110
ID:9946 SKID:K1122+334  timeStamp:2025-03-28 08:08:25:285
ID:9946 SKID:K1122+333  timeStamp:2025-03-28 08:08:25:464
ID:9946 SKID:BK0+766.5  timeStamp:2025-03-28 08:08:25:643
ID:9946 SKID:K1122+329.5  timeStamp:2025-03-28 08:08:25:832
ID:9946 SKID:K1122+327.5  timeStamp:2025-03-28 08:08:26:12
ID:9946 SKID:K1122+326  timeStamp:2025-03-28 08:08:26:194
ID:9946 SKID:K1122+324.5  timeStamp:2025-03-28 08:08:26:372
ID:9946 SKID:K1122+323  timeStamp:2025-03-28 08:08:26:871
ID:9946 SKID:K1122+321.5  timeStamp:2025-03-28 08:08:27:122
ID:9946 SKID:K1122+320  timeStamp:2025-03-28 08:08:27:300
ID:9946 SKID:K1122+318.5  timeStamp:2025-03-28 08:08:27:474
ID:9946 SKID:K1122+316.5  timeStamp:2025-03-28 08:08:27:651
ID:9946 SKID:K1122+315  timeStamp:2025-03-28 08:08:27:829
ID:9946 SKID:K1122+313.5  timeStamp:2025-03-28 08:08:28:20
ID:9946 SKID:K1122+312  timeStamp:2025-03-28 08:08:28:194
ID:9946 SKID:K1122+310  timeStamp:2025-03-28 08:08:28:373
ID:9946 SKID:K1122+309  timeStamp:2025-03-28 08:08:28:552
ID:9946 SKID:K1122+307  timeStamp:2025-03-28 08:08:28:731
ID:9946 SKID:K1122+305.5  timeStamp:2025-03-28 08:08:28:914
ID:9946 SKID:K1122+304  timeStamp:2025-03-28 08:08:29:97
ID:9946 SKID:K1122+302  timeStamp:2025-03-28 08:08:29:276
ID:9946 SKID:K1122+300.5  timeStamp:2025-03-28 08:08:29:455
ID:9946 SKID:K1122+299  timeStamp:2025-03-28 08:08:29:635
ID:9946 SKID:K1122+297.5  timeStamp:2025-03-28 08:08:29:816
ID:9946 SKID:K1122+296  timeStamp:2025-03-28 08:08:29:998
ID:9946 SKID:K1122+294.5  timeStamp:2025-03-28 08:08:30:181
ID:9946 SKID:K1122+293  timeStamp:2025-03-28 08:08:30:363
ID:9946 SKID:K1122+291.5  timeStamp:2025-03-28 08:08:30:545
ID:9946 SKID:K1122+289.5  timeStamp:2025-03-28 08:08:30:730
ID:9946 SKID:K1122+288  timeStamp:2025-03-28 08:08:30:905
ID:9946 SKID:K1122+286.5  timeStamp:2025-03-28 08:08:31:77
ID:9946 SKID:K1122+285.5  timeStamp:2025-03-28 08:08:31:258
ID:9946 SKID:K1122+283  timeStamp:2025-03-28 08:08:31:431
ID:9946 SKID:K1122+281.5  timeStamp:2025-03-28 08:08:31:608
ID:9946 SKID:K1122+280  timeStamp:2025-03-28 08:08:31:787
ID:9946 SKID:K1122+278.5  timeStamp:2025-03-28 08:08:31:973
ID:9946 SKID:K1122+277  timeStamp:2025-03-28 08:08:32:164
ID:9946 SKID:K1122+275.5  timeStamp:2025-03-28 08:08:32:330
ID:9946 SKID:K1122+274  timeStamp:2025-03-28 08:08:32:494
ID:9946 SKID:K1122+272.5  timeStamp:2025-03-28 08:08:32:660
ID:9946 SKID:K1122+270.5  timeStamp:2025-03-28 08:08:32:827
ID:9946 SKID:K1122+269  timeStamp:2025-03-28 08:08:32:998
ID:9946 SKID:K1122+267.5  timeStamp:2025-03-28 08:08:33:167
ID:9946 SKID:K1122+266  timeStamp:2025-03-28 08:08:33:341
ID:9946 SKID:K1122+264  timeStamp:2025-03-28 08:08:33:505
ID:9946 SKID:K1122+262.5  timeStamp:2025-03-28 08:08:33:693
ID:9946 SKID:K1122+261  timeStamp:2025-03-28 08:08:33:875
ID:9946 SKID:K1122+259.5  timeStamp:2025-03-28 08:08:34:54
ID:9946 SKID:K1122+258  timeStamp:2025-03-28 08:08:34:251
ID:9946 SKID:K1122+256.5  timeStamp:2025-03-28 08:08:34:431
ID:9946 SKID:K1122+255  timeStamp:2025-03-28 08:08:34:942
ID:9946 SKID:K1122+253  timeStamp:2025-03-28 08:08:35:200
ID:9946 SKID:K1122+251.5  timeStamp:2025-03-28 08:08:35:376
