ID:9896 SKID:K1124+26.5  timeStamp:2025-03-28 08:08:24:557
ID:9896 SKID:K1124+28  timeStamp:2025-03-28 08:08:24:745
ID:9896 SKID:K1124+29.5  timeStamp:2025-03-28 08:08:24:932
ID:9896 SKID:K1124+30.5  timeStamp:2025-03-28 08:08:25:110
ID:9896 SKID:K1124+31.5  timeStamp:2025-03-28 08:08:25:285
ID:9896 SKID:K1124+33.5  timeStamp:2025-03-28 08:08:25:464
ID:9896 SKID:K1124+35  timeStamp:2025-03-28 08:08:25:643
ID:9896 SKID:K1124+36.5  timeStamp:2025-03-28 08:08:25:832
ID:9896 SKID:K1124+37.5  timeStamp:2025-03-28 08:08:26:12
ID:9896 SKID:K1124+39  timeStamp:2025-03-28 08:08:26:194
ID:9896 SKID:K1124+40.5  timeStamp:2025-03-28 08:08:26:372
ID:9896 SKID:K1124+42  timeStamp:2025-03-28 08:08:26:871
ID:9896 SKID:K1124+43  timeStamp:2025-03-28 08:08:27:122
ID:9896 SKID:K1124+44  timeStamp:2025-03-28 08:08:27:300
ID:9896 SKID:K1124+46  timeStamp:2025-03-28 08:08:27:474
ID:9896 SKID:K1124+47.5  timeStamp:2025-03-28 08:08:27:651
ID:9896 SKID:K1124+49  timeStamp:2025-03-28 08:08:27:829
ID:9896 SKID:K1124+50.5  timeStamp:2025-03-28 08:08:28:20
ID:9896 SKID:K1124+51.5  timeStamp:2025-03-28 08:08:28:194
ID:9896 SKID:K1124+53  timeStamp:2025-03-28 08:08:28:373
ID:9896 SKID:K1124+54.5  timeStamp:2025-03-28 08:08:28:552
ID:9896 SKID:K1124+56  timeStamp:2025-03-28 08:08:28:731
ID:9896 SKID:K1124+57  timeStamp:2025-03-28 08:08:28:914
ID:9896 SKID:K1124+58.5  timeStamp:2025-03-28 08:08:29:97
ID:9896 SKID:K1124+60  timeStamp:2025-03-28 08:08:29:276
ID:9896 SKID:K1124+61.5  timeStamp:2025-03-28 08:08:29:455
ID:9896 SKID:K1124+62.5  timeStamp:2025-03-28 08:08:29:635
