ID:9945 SKID:K1122+643  timeStamp:2025-03-28 08:08:24:557
ID:9945 SKID:K1122+644  timeStamp:2025-03-28 08:08:24:745
ID:9945 SKID:K1122+645.5  timeStamp:2025-03-28 08:08:24:932
ID:9945 SKID:K1122+646.5  timeStamp:2025-03-28 08:08:25:110
ID:9945 SKID:K1122+647  timeStamp:2025-03-28 08:08:25:285
ID:9945 SKID:K1122+649  timeStamp:2025-03-28 08:08:25:464
ID:9945 SKID:K1122+650  timeStamp:2025-03-28 08:08:25:643
ID:9945 SKID:K1122+651.5  timeStamp:2025-03-28 08:08:25:832
ID:9945 SKID:K1122+652.5  timeStamp:2025-03-28 08:08:26:12
ID:9945 SKID:K1122+653.5  timeStamp:2025-03-28 08:08:26:194
ID:9945 SKID:K1122+654.5  timeStamp:2025-03-28 08:08:26:372
ID:9945 SKID:K1122+656  timeStamp:2025-03-28 08:08:26:871
ID:9945 SKID:K1122+657  timeStamp:2025-03-28 08:08:27:122
ID:9945 SKID:K1122+658  timeStamp:2025-03-28 08:08:27:300
ID:9945 SKID:K1122+659  timeStamp:2025-03-28 08:08:27:474
ID:9945 SKID:K1122+660.5  timeStamp:2025-03-28 08:08:27:651
ID:9945 SKID:K1122+661.5  timeStamp:2025-03-28 08:08:27:829
ID:9945 SKID:K1122+663  timeStamp:2025-03-28 08:08:28:20
ID:9945 SKID:K1122+664  timeStamp:2025-03-28 08:08:28:194
ID:9945 SKID:K1122+665  timeStamp:2025-03-28 08:08:28:373
ID:9945 SKID:K1122+666  timeStamp:2025-03-28 08:08:28:552
ID:9945 SKID:K1122+667.5  timeStamp:2025-03-28 08:08:28:731
ID:9945 SKID:K1122+668.5  timeStamp:2025-03-28 08:08:28:914
ID:9945 SKID:K1122+669  timeStamp:2025-03-28 08:08:29:97
ID:9945 SKID:K1122+671  timeStamp:2025-03-28 08:08:29:276
ID:9945 SKID:K1122+672  timeStamp:2025-03-28 08:08:29:455
ID:9945 SKID:K1122+673.5  timeStamp:2025-03-28 08:08:29:635
ID:9945 SKID:K1122+674.5  timeStamp:2025-03-28 08:08:29:816
ID:9945 SKID:K1122+675.5  timeStamp:2025-03-28 08:08:29:998
ID:9945 SKID:K1122+676.5  timeStamp:2025-03-28 08:08:30:181
ID:9945 SKID:K1122+678.5  timeStamp:2025-03-28 08:08:30:363
ID:9945 SKID:K1122+680.5  timeStamp:2025-03-28 08:08:30:545
ID:9945 SKID:K1122+682.5  timeStamp:2025-03-28 08:08:30:730
ID:9945 SKID:K1122+684.5  timeStamp:2025-03-28 08:08:30:905
ID:9945 SKID:K1122+686.5  timeStamp:2025-03-28 08:08:31:77
ID:9945 SKID:K1122+688  timeStamp:2025-03-28 08:08:31:258
ID:9945 SKID:K1122+690.5  timeStamp:2025-03-28 08:08:31:431
ID:9945 SKID:K1122+692.5  timeStamp:2025-03-28 08:08:31:608
ID:9945 SKID:K1122+694.5  timeStamp:2025-03-28 08:08:31:787
ID:9945 SKID:K1122+696.5  timeStamp:2025-03-28 08:08:31:973
ID:9945 SKID:K1122+698  timeStamp:2025-03-28 08:08:32:164
ID:9945 SKID:K1122+700  timeStamp:2025-03-28 08:08:32:330
ID:9945 SKID:K1122+702  timeStamp:2025-03-28 08:08:32:494
ID:9945 SKID:K1122+704  timeStamp:2025-03-28 08:08:32:660
ID:9945 SKID:K1122+706  timeStamp:2025-03-28 08:08:32:827
ID:9945 SKID:K1122+708  timeStamp:2025-03-28 08:08:32:998
