ID:9923 SKID:K1122+356.5  timeStamp:2025-03-28 08:08:24:557
ID:9923 SKID:K1122+355  timeStamp:2025-03-28 08:08:24:745
ID:9923 SKID:K1122+354  timeStamp:2025-03-28 08:08:24:932
ID:9923 SKID:K1122+352.5  timeStamp:2025-03-28 08:08:25:110
ID:9923 SKID:K1122+351  timeStamp:2025-03-28 08:08:25:285
ID:9923 SKID:K1122+349.5  timeStamp:2025-03-28 08:08:25:464
ID:9923 SKID:K1122+348.5  timeStamp:2025-03-28 08:08:25:643
ID:9923 SKID:K1122+347  timeStamp:2025-03-28 08:08:25:832
ID:9923 SKID:K1122+345.5  timeStamp:2025-03-28 08:08:26:12
ID:9923 SKID:K1122+344  timeStamp:2025-03-28 08:08:26:194
ID:9923 SKID:K1122+342.5  timeStamp:2025-03-28 08:08:26:372
ID:9923 SKID:K1122+341.5  timeStamp:2025-03-28 08:08:26:871
ID:9923 SKID:K1122+340  timeStamp:2025-03-28 08:08:27:122
ID:9923 SKID:K1122+338.5  timeStamp:2025-03-28 08:08:27:300
ID:9923 SKID:K1122+337.5  timeStamp:2025-03-28 08:08:27:474
ID:9923 SKID:K1122+335.5  timeStamp:2025-03-28 08:08:27:651
ID:9923 SKID:K1122+334.5  timeStamp:2025-03-28 08:08:27:829
ID:9923 SKID:K1122+333  timeStamp:2025-03-28 08:08:28:20
ID:9923 SKID:K1122+331.5  timeStamp:2025-03-28 08:08:28:194
ID:9923 SKID:K1122+330  timeStamp:2025-03-28 08:08:28:373
ID:9923 SKID:K1122+329  timeStamp:2025-03-28 08:08:28:552
ID:9923 SKID:K1122+327.5  timeStamp:2025-03-28 08:08:28:731
ID:9923 SKID:K1122+326  timeStamp:2025-03-28 08:08:28:914
ID:9923 SKID:K1122+325  timeStamp:2025-03-28 08:08:29:97
ID:9923 SKID:K1122+323  timeStamp:2025-03-28 08:08:29:276
ID:9923 SKID:K1122+322  timeStamp:2025-03-28 08:08:29:455
ID:9923 SKID:K1122+320.5  timeStamp:2025-03-28 08:08:29:635
ID:9923 SKID:K1122+319  timeStamp:2025-03-28 08:08:29:816
ID:9923 SKID:K1122+317.5  timeStamp:2025-03-28 08:08:29:998
ID:9923 SKID:K1122+316.5  timeStamp:2025-03-28 08:08:30:181
ID:9923 SKID:K1122+315  timeStamp:2025-03-28 08:08:30:363
ID:9923 SKID:K1122+313.5  timeStamp:2025-03-28 08:08:30:545
ID:9923 SKID:K1122+312.5  timeStamp:2025-03-28 08:08:30:730
ID:9923 SKID:K1122+310.5  timeStamp:2025-03-28 08:08:30:905
ID:9923 SKID:K1122+309.5  timeStamp:2025-03-28 08:08:31:77
ID:9923 SKID:K1122+308  timeStamp:2025-03-28 08:08:31:258
ID:9923 SKID:K1122+306.5  timeStamp:2025-03-28 08:08:31:431
ID:9923 SKID:K1122+305  timeStamp:2025-03-28 08:08:31:608
ID:9923 SKID:K1122+303.5  timeStamp:2025-03-28 08:08:31:787
ID:9923 SKID:K1122+302.5  timeStamp:2025-03-28 08:08:31:973
ID:9923 SKID:K1122+301  timeStamp:2025-03-28 08:08:32:164
ID:9923 SKID:K1122+299.5  timeStamp:2025-03-28 08:08:32:330
ID:9923 SKID:K1122+298.5  timeStamp:2025-03-28 08:08:32:494
ID:9923 SKID:K1122+297  timeStamp:2025-03-28 08:08:32:660
ID:9923 SKID:K1122+295.5  timeStamp:2025-03-28 08:08:32:827
ID:9923 SKID:K1122+294  timeStamp:2025-03-28 08:08:32:998
ID:9923 SKID:K1122+292.5  timeStamp:2025-03-28 08:08:33:167
ID:9923 SKID:K1122+291  timeStamp:2025-03-28 08:08:33:341
ID:9923 SKID:K1122+290  timeStamp:2025-03-28 08:08:33:505
ID:9923 SKID:K1122+288.5  timeStamp:2025-03-28 08:08:33:693
ID:9923 SKID:K1122+287  timeStamp:2025-03-28 08:08:33:875
ID:9923 SKID:K1122+285.5  timeStamp:2025-03-28 08:08:34:54
ID:9923 SKID:K1122+284.5  timeStamp:2025-03-28 08:08:34:251
ID:9923 SKID:K1122+283  timeStamp:2025-03-28 08:08:34:431
ID:9923 SKID:K1122+281.5  timeStamp:2025-03-28 08:08:34:942
ID:9923 SKID:K1122+280  timeStamp:2025-03-28 08:08:35:200
ID:9923 SKID:K1122+278.5  timeStamp:2025-03-28 08:08:35:376
ID:9923 SKID:K1122+277  timeStamp:2025-03-28 08:08:35:551
ID:9923 SKID:K1122+275.5  timeStamp:2025-03-28 08:08:35:725
ID:9923 SKID:K1122+274.5  timeStamp:2025-03-28 08:08:35:909
ID:9923 SKID:K1122+273  timeStamp:2025-03-28 08:08:36:102
ID:9923 SKID:K1122+271.5  timeStamp:2025-03-28 08:08:36:291
ID:9923 SKID:K1122+270.5  timeStamp:2025-03-28 08:08:36:473
ID:9923 SKID:K1122+269  timeStamp:2025-03-28 08:08:36:658
ID:9923 SKID:K1122+267.5  timeStamp:2025-03-28 08:08:36:843
ID:9923 SKID:K1122+266  timeStamp:2025-03-28 08:08:37:27
ID:9923 SKID:K1122+264.5  timeStamp:2025-03-28 08:08:37:206
ID:9923 SKID:K1122+263  timeStamp:2025-03-28 08:08:37:389
ID:9923 SKID:K1122+262  timeStamp:2025-03-28 08:08:37:578
ID:9923 SKID:K1122+260.5  timeStamp:2025-03-28 08:08:37:754
ID:9923 SKID:K1122+259  timeStamp:2025-03-28 08:08:37:940
ID:9923 SKID:K1122+257.5  timeStamp:2025-03-28 08:08:38:122
ID:9923 SKID:K1122+256.5  timeStamp:2025-03-28 08:08:38:299
ID:9923 SKID:K1122+255  timeStamp:2025-03-28 08:08:38:473
ID:9923 SKID:K1122+253.5  timeStamp:2025-03-28 08:08:38:649
ID:9923 SKID:K1122+252  timeStamp:2025-03-28 08:08:38:829
ID:9923 SKID:K1122+251  timeStamp:2025-03-28 08:08:39:12
ID:9923 SKID:K1122+249.5  timeStamp:2025-03-28 08:08:39:199
ID:9923 SKID:K1122+248  timeStamp:2025-03-28 08:08:39:380
ID:9923 SKID:K1122+246.5  timeStamp:2025-03-28 08:08:39:559
ID:9923 SKID:K1122+245.5  timeStamp:2025-03-28 08:08:39:743
ID:9923 SKID:K1122+243.5  timeStamp:2025-03-28 08:08:39:926
ID:9923 SKID:K1122+242.5  timeStamp:2025-03-28 08:08:40:115
ID:9923 SKID:K1122+241  timeStamp:2025-03-28 08:08:40:296
ID:9923 SKID:K1122+239.5  timeStamp:2025-03-28 08:08:40:475
ID:9923 SKID:K1122+238  timeStamp:2025-03-28 08:08:40:647
ID:9923 SKID:K1122+236.5  timeStamp:2025-03-28 08:08:40:822
ID:9923 SKID:K1122+235.5  timeStamp:2025-03-28 08:08:40:997
ID:9923 SKID:K1122+234  timeStamp:2025-03-28 08:08:41:177
ID:9923 SKID:K1122+232.5  timeStamp:2025-03-28 08:08:41:376
ID:9923 SKID:K1122+231.5  timeStamp:2025-03-28 08:08:41:552
ID:9923 SKID:K1122+230  timeStamp:2025-03-28 08:08:41:716
ID:9923 SKID:K1122+228.5  timeStamp:2025-03-28 08:08:41:876
ID:9923 SKID:K1122+227  timeStamp:2025-03-28 08:08:42:47
ID:9923 SKID:K1122+225.5  timeStamp:2025-03-28 08:08:42:221
ID:9923 SKID:K1122+224.5  timeStamp:2025-03-28 08:08:42:381
ID:9923 SKID:K1122+223  timeStamp:2025-03-28 08:08:42:542
ID:9923 SKID:K1122+221.5  timeStamp:2025-03-28 08:08:42:702
ID:9923 SKID:K1122+220  timeStamp:2025-03-28 08:08:43:161
ID:9923 SKID:K1122+219  timeStamp:2025-03-28 08:08:43:396
ID:9923 SKID:K1122+217.5  timeStamp:2025-03-28 08:08:43:565
ID:9923 SKID:K1122+216  timeStamp:2025-03-28 08:08:43:732
ID:9923 SKID:K1122+214.5  timeStamp:2025-03-28 08:08:43:902
ID:9923 SKID:K1122+213  timeStamp:2025-03-28 08:08:44:80
ID:9923 SKID:K1122+212  timeStamp:2025-03-28 08:08:44:251
ID:9923 SKID:K1122+210.5  timeStamp:2025-03-28 08:08:44:423
ID:9923 SKID:K1122+209  timeStamp:2025-03-28 08:08:44:596
ID:9923 SKID:K1122+208  timeStamp:2025-03-28 08:08:44:768
ID:9923 SKID:K1122+206  timeStamp:2025-03-28 08:08:44:943
ID:9923 SKID:K1122+205  timeStamp:2025-03-28 08:08:45:121
ID:9923 SKID:K1122+203.5  timeStamp:2025-03-28 08:08:45:299
ID:9923 SKID:K1122+202  timeStamp:2025-03-28 08:08:45:472
ID:9923 SKID:K1122+200  timeStamp:2025-03-28 08:08:45:649
ID:9923 SKID:K1122+199  timeStamp:2025-03-28 08:08:45:819
ID:9923 SKID:K1122+197.5  timeStamp:2025-03-28 08:08:45:989
ID:9923 SKID:K1122+196.5  timeStamp:2025-03-28 08:08:46:163
ID:9923 SKID:K1122+194.5  timeStamp:2025-03-28 08:08:46:338
ID:9923 SKID:K1122+193.5  timeStamp:2025-03-28 08:08:46:511
ID:9923 SKID:K1122+192  timeStamp:2025-03-28 08:08:46:688
ID:9923 SKID:K1122+191  timeStamp:2025-03-28 08:08:46:870
ID:9923 SKID:K1122+189.5  timeStamp:2025-03-28 08:08:47:40
ID:9923 SKID:K1122+188  timeStamp:2025-03-28 08:08:47:213
ID:9923 SKID:K1122+186.5  timeStamp:2025-03-28 08:08:47:395
ID:9923 SKID:K1122+185  timeStamp:2025-03-28 08:08:47:562
ID:9923 SKID:K1122+183.5  timeStamp:2025-03-28 08:08:47:734
ID:9923 SKID:K1122+182  timeStamp:2025-03-28 08:08:47:902
ID:9923 SKID:K1122+181  timeStamp:2025-03-28 08:08:48:87
ID:9923 SKID:K1122+179.5  timeStamp:2025-03-28 08:08:48:274
ID:9923 SKID:K1122+178  timeStamp:2025-03-28 08:08:48:464
ID:9923 SKID:K1122+177  timeStamp:2025-03-28 08:08:48:646
ID:9923 SKID:K1122+175  timeStamp:2025-03-28 08:08:48:838
ID:9923 SKID:K1122+174  timeStamp:2025-03-28 08:08:49:06
ID:9923 SKID:K1122+172.5  timeStamp:2025-03-28 08:08:49:176
ID:9923 SKID:K1122+172  timeStamp:2025-03-28 08:08:49:356
ID:9923 SKID:K1122+170  timeStamp:2025-03-28 08:08:49:521
ID:9923 SKID:K1122+168.5  timeStamp:2025-03-28 08:08:49:697
ID:9923 SKID:K1122+167  timeStamp:2025-03-28 08:08:49:867
ID:9923 SKID:K1122+165.5  timeStamp:2025-03-28 08:08:50:47
ID:9923 SKID:K1122+164  timeStamp:2025-03-28 08:08:50:217
ID:9923 SKID:K1122+163  timeStamp:2025-03-28 08:08:50:393
