ID:9970 SKID:K1123+371.5  timeStamp:2025-03-28 08:08:52:462
ID:9970 SKID:K1123+369.5  timeStamp:2025-03-28 08:08:52:639
ID:9970 SKID:K1123+368  timeStamp:2025-03-28 08:08:52:820
ID:9970 SKID:K1123+367  timeStamp:2025-03-28 08:08:53:01
ID:9970 SKID:K1123+365.5  timeStamp:2025-03-28 08:08:53:190
ID:9970 SKID:K1123+364.5  timeStamp:2025-03-28 08:08:53:372
ID:9970 SKID:K1123+363  timeStamp:2025-03-28 08:08:53:550
ID:9970 SKID:K1123+362  timeStamp:2025-03-28 08:08:53:736
ID:9970 SKID:K1123+360.5  timeStamp:2025-03-28 08:08:53:928
ID:9970 SKID:K1123+359.5  timeStamp:2025-03-28 08:08:54:113
ID:9970 SKID:K1123+358  timeStamp:2025-03-28 08:08:54:293
ID:9970 SKID:K1123+358  timeStamp:2025-03-28 08:08:54:482
ID:9970 SKID:K1123+355.5  timeStamp:2025-03-28 08:08:54:667
ID:9970 SKID:K1123+354  timeStamp:2025-03-28 08:08:54:854
ID:9970 SKID:K1123+353  timeStamp:2025-03-28 08:08:55:38
ID:9970 SKID:K1123+351.5  timeStamp:2025-03-28 08:08:55:219
ID:9970 SKID:K1123+351  timeStamp:2025-03-28 08:08:55:410
ID:9970 SKID:K1123+349  timeStamp:2025-03-28 08:08:55:591
ID:9970 SKID:K1123+348  timeStamp:2025-03-28 08:08:55:775
ID:9970 SKID:K1123+346.5  timeStamp:2025-03-28 08:08:55:959
ID:9970 SKID:K1123+345.5  timeStamp:2025-03-28 08:08:56:142
ID:9970 SKID:K1123+344.5  timeStamp:2025-03-28 08:08:56:321
ID:9970 SKID:K1123+343  timeStamp:2025-03-28 08:08:56:514
ID:9970 SKID:K1123+341.5  timeStamp:2025-03-28 08:08:56:696
ID:9970 SKID:K1123+340.5  timeStamp:2025-03-28 08:08:56:875
ID:9970 SKID:K1123+339  timeStamp:2025-03-28 08:08:57:77
ID:9970 SKID:K1123+338  timeStamp:2025-03-28 08:08:57:262
ID:9970 SKID:K1123+337.5  timeStamp:2025-03-28 08:08:57:447
ID:9970 SKID:K1123+335  timeStamp:2025-03-28 08:08:57:637
ID:9970 SKID:K1123+334  timeStamp:2025-03-28 08:08:57:820
ID:9970 SKID:K1123+332.5  timeStamp:2025-03-28 08:08:57:999
ID:9970 SKID:K1123+331.5  timeStamp:2025-03-28 08:08:58:178
ID:9970 SKID:K1123+331  timeStamp:2025-03-28 08:08:58:357
ID:9970 SKID:K1123+329  timeStamp:2025-03-28 08:08:58:540
ID:9970 SKID:K1123+327.5  timeStamp:2025-03-28 08:08:58:723
ID:9970 SKID:K1123+326.5  timeStamp:2025-03-28 08:08:58:898
ID:9970 SKID:K1123+325  timeStamp:2025-03-28 08:08:59:359
ID:9970 SKID:K1123+324  timeStamp:2025-03-28 08:08:59:624
ID:9970 SKID:K1123+322.5  timeStamp:2025-03-28 08:08:59:804
ID:9970 SKID:K1123+321.5  timeStamp:2025-03-28 08:08:59:989
ID:9970 SKID:K1123+320  timeStamp:2025-03-28 08:09:00:168
ID:9970 SKID:K1123+318.5  timeStamp:2025-03-28 08:09:00:345
ID:9970 SKID:K1123+317.5  timeStamp:2025-03-28 08:09:00:528
ID:9970 SKID:K1123+316  timeStamp:2025-03-28 08:09:00:700
ID:9970 SKID:K1123+315  timeStamp:2025-03-28 08:09:00:876
ID:9970 SKID:K1123+313.5  timeStamp:2025-03-28 08:09:01:50
ID:9970 SKID:K1123+312.5  timeStamp:2025-03-28 08:09:01:226
ID:9970 SKID:K1123+311  timeStamp:2025-03-28 08:09:01:410
ID:9970 SKID:K1123+310.5  timeStamp:2025-03-28 08:09:01:587
ID:9970 SKID:K1123+308.5  timeStamp:2025-03-28 08:09:01:764
ID:9970 SKID:K1123+307  timeStamp:2025-03-28 08:09:01:967
ID:9970 SKID:K1123+306  timeStamp:2025-03-28 08:09:02:144
ID:9970 SKID:K1123+305  timeStamp:2025-03-28 08:09:02:330
ID:9970 SKID:K1123+303.5  timeStamp:2025-03-28 08:09:02:506
ID:9970 SKID:K1123+302  timeStamp:2025-03-28 08:09:02:693
ID:9970 SKID:K1123+301  timeStamp:2025-03-28 08:09:02:872
ID:9970 SKID:K1123+299.5  timeStamp:2025-03-28 08:09:03:57
ID:9970 SKID:K1123+298.5  timeStamp:2025-03-28 08:09:03:240
ID:9970 SKID:K1123+297.5  timeStamp:2025-03-28 08:09:03:417
ID:9970 SKID:K1123+297  timeStamp:2025-03-28 08:09:03:599
ID:9970 SKID:K1123+295  timeStamp:2025-03-28 08:09:03:776
ID:9970 SKID:K1123+293.5  timeStamp:2025-03-28 08:09:03:963
ID:9970 SKID:K1123+292.5  timeStamp:2025-03-28 08:09:04:145
ID:9970 SKID:K1123+291  timeStamp:2025-03-28 08:09:04:327
ID:9970 SKID:K1123+290.5  timeStamp:2025-03-28 08:09:04:511
ID:9970 SKID:K1123+288.5  timeStamp:2025-03-28 08:09:04:695
ID:9970 SKID:K1123+287  timeStamp:2025-03-28 08:09:04:891
ID:9970 SKID:K1123+286  timeStamp:2025-03-28 08:09:05:73
ID:9970 SKID:K1123+284.5  timeStamp:2025-03-28 08:09:05:249
ID:9970 SKID:K1123+283.5  timeStamp:2025-03-28 08:09:05:430
ID:9970 SKID:K1123+282  timeStamp:2025-03-28 08:09:05:618
ID:9970 SKID:K1123+280.5  timeStamp:2025-03-28 08:09:05:802
ID:9970 SKID:K1123+278.5  timeStamp:2025-03-28 08:09:06:163
ID:9970 SKID:K1123+279.5  timeStamp:2025-03-28 08:09:05:989
ID:9970 SKID:K1123+277  timeStamp:2025-03-28 08:09:06:331
ID:9970 SKID:K1123+276  timeStamp:2025-03-28 08:09:06:499
ID:9970 SKID:K1123+274.5  timeStamp:2025-03-28 08:09:06:672
ID:9970 SKID:K1123+273  timeStamp:2025-03-28 08:09:06:850
ID:9970 SKID:K1123+272  timeStamp:2025-03-28 08:09:07:31
ID:9970 SKID:K1123+271  timeStamp:2025-03-28 08:09:07:205
