ID:9932 SKID:K1122+111.5  timeStamp:2025-03-28 08:08:24:557
ID:9932 SKID:K1122+112.5  timeStamp:2025-03-28 08:08:24:745
ID:9932 SKID:K1122+113.5  timeStamp:2025-03-28 08:08:24:932
ID:9932 SKID:K1122+115  timeStamp:2025-03-28 08:08:25:110
ID:9932 SKID:K1122+116  timeStamp:2025-03-28 08:08:25:285
ID:9932 SKID:K1122+117  timeStamp:2025-03-28 08:08:25:464
ID:9932 SKID:K1122+118  timeStamp:2025-03-28 08:08:25:643
ID:9932 SKID:K1122+119.5  timeStamp:2025-03-28 08:08:25:832
ID:9932 SKID:K1122+121  timeStamp:2025-03-28 08:08:26:12
ID:9932 SKID:K1122+122  timeStamp:2025-03-28 08:08:26:194
ID:9932 SKID:K1122+123  timeStamp:2025-03-28 08:08:26:372
ID:9932 SKID:K1122+124  timeStamp:2025-03-28 08:08:26:871
ID:9932 SKID:K1122+125.5  timeStamp:2025-03-28 08:08:27:122
ID:9932 SKID:K1122+126.5  timeStamp:2025-03-28 08:08:27:300
ID:9932 SKID:K1122+127.5  timeStamp:2025-03-28 08:08:27:474
ID:9932 SKID:K1122+129  timeStamp:2025-03-28 08:08:27:651
ID:9932 SKID:K1122+130  timeStamp:2025-03-28 08:08:27:829
ID:9932 SKID:K1122+131.5  timeStamp:2025-03-28 08:08:28:20
ID:9932 SKID:K1122+132.5  timeStamp:2025-03-28 08:08:28:194
ID:9932 SKID:K1122+133.5  timeStamp:2025-03-28 08:08:28:373
ID:9932 SKID:K1122+135  timeStamp:2025-03-28 08:08:28:552
ID:9932 SKID:K1122+136  timeStamp:2025-03-28 08:08:28:731
ID:9932 SKID:K1122+137  timeStamp:2025-03-28 08:08:28:914
ID:9932 SKID:K1122+138.5  timeStamp:2025-03-28 08:08:29:97
ID:9932 SKID:K1122+139.5  timeStamp:2025-03-28 08:08:29:276
ID:9932 SKID:K1122+141  timeStamp:2025-03-28 08:08:29:455
ID:9932 SKID:K1122+142  timeStamp:2025-03-28 08:08:29:635
ID:9932 SKID:K1122+143  timeStamp:2025-03-28 08:08:29:816
ID:9932 SKID:K1122+144.5  timeStamp:2025-03-28 08:08:29:998
ID:9932 SKID:K1122+145.5  timeStamp:2025-03-28 08:08:30:181
ID:9932 SKID:K1122+146.5  timeStamp:2025-03-28 08:08:30:363
ID:9932 SKID:K1122+147.5  timeStamp:2025-03-28 08:08:30:545
ID:9932 SKID:K1122+149  timeStamp:2025-03-28 08:08:30:730
ID:9932 SKID:K1122+150  timeStamp:2025-03-28 08:08:30:905
ID:9932 SKID:K1122+151.5  timeStamp:2025-03-28 08:08:31:77
ID:9932 SKID:K1122+152.5  timeStamp:2025-03-28 08:08:31:258
ID:9932 SKID:K1122+153.5  timeStamp:2025-03-28 08:08:31:431
ID:9932 SKID:K1122+155  timeStamp:2025-03-28 08:08:31:608
ID:9932 SKID:K1122+156  timeStamp:2025-03-28 08:08:31:787
ID:9932 SKID:K1122+157  timeStamp:2025-03-28 08:08:31:973
ID:9932 SKID:K1122+158.5  timeStamp:2025-03-28 08:08:32:164
ID:9932 SKID:K1122+159.5  timeStamp:2025-03-28 08:08:32:330
ID:9932 SKID:K1122+160.5  timeStamp:2025-03-28 08:08:32:494
ID:9932 SKID:K1122+162  timeStamp:2025-03-28 08:08:32:660
ID:9932 SKID:K1122+163  timeStamp:2025-03-28 08:08:32:827
ID:9932 SKID:K1122+164  timeStamp:2025-03-28 08:08:32:998
ID:9932 SKID:K1122+165.5  timeStamp:2025-03-28 08:08:33:167
ID:9932 SKID:K1122+166.5  timeStamp:2025-03-28 08:08:33:341
ID:9932 SKID:K1122+168  timeStamp:2025-03-28 08:08:33:505
ID:9932 SKID:K1122+169  timeStamp:2025-03-28 08:08:33:693
ID:9932 SKID:K1122+170  timeStamp:2025-03-28 08:08:33:875
ID:9932 SKID:K1122+171.5  timeStamp:2025-03-28 08:08:34:54
ID:9932 SKID:K1122+172.5  timeStamp:2025-03-28 08:08:34:251
ID:9932 SKID:K1122+173.5  timeStamp:2025-03-28 08:08:34:431
ID:9932 SKID:K1122+174.5  timeStamp:2025-03-28 08:08:34:942
ID:9932 SKID:K1122+176  timeStamp:2025-03-28 08:08:35:200
ID:9932 SKID:K1122+177  timeStamp:2025-03-28 08:08:35:376
ID:9932 SKID:K1122+178.5  timeStamp:2025-03-28 08:08:35:551
ID:9932 SKID:K1122+179.5  timeStamp:2025-03-28 08:08:35:725
ID:9932 SKID:K1122+180.5  timeStamp:2025-03-28 08:08:35:909
ID:9932 SKID:K1122+182  timeStamp:2025-03-28 08:08:36:102
ID:9932 SKID:K1122+183  timeStamp:2025-03-28 08:08:36:291
ID:9932 SKID:K1122+184  timeStamp:2025-03-28 08:08:36:473
ID:9932 SKID:K1122+185.5  timeStamp:2025-03-28 08:08:36:658
ID:9932 SKID:K1122+186.5  timeStamp:2025-03-28 08:08:36:843
ID:9932 SKID:K1122+188  timeStamp:2025-03-28 08:08:37:27
ID:9932 SKID:K1122+189  timeStamp:2025-03-28 08:08:37:206
ID:9932 SKID:K1122+190  timeStamp:2025-03-28 08:08:37:389
ID:9932 SKID:K1122+191.5  timeStamp:2025-03-28 08:08:37:578
ID:9932 SKID:K1122+192.5  timeStamp:2025-03-28 08:08:37:754
ID:9932 SKID:K1122+193.5  timeStamp:2025-03-28 08:08:37:940
ID:9932 SKID:K1122+195  timeStamp:2025-03-28 08:08:38:122
ID:9932 SKID:K1122+196  timeStamp:2025-03-28 08:08:38:299
ID:9932 SKID:K1122+197  timeStamp:2025-03-28 08:08:38:473
ID:9932 SKID:K1122+198.5  timeStamp:2025-03-28 08:08:38:649
ID:9932 SKID:K1122+199.5  timeStamp:2025-03-28 08:08:38:829
ID:9932 SKID:K1122+200.5  timeStamp:2025-03-28 08:08:39:12
ID:9932 SKID:K1122+202  timeStamp:2025-03-28 08:08:39:199
ID:9932 SKID:K1122+203  timeStamp:2025-03-28 08:08:39:380
ID:9932 SKID:K1122+204  timeStamp:2025-03-28 08:08:39:559
ID:9932 SKID:K1122+205.5  timeStamp:2025-03-28 08:08:39:743
ID:9932 SKID:K1122+206.5  timeStamp:2025-03-28 08:08:39:926
ID:9932 SKID:K1122+208  timeStamp:2025-03-28 08:08:40:115
ID:9932 SKID:K1122+209  timeStamp:2025-03-28 08:08:40:296
ID:9932 SKID:K1122+210  timeStamp:2025-03-28 08:08:40:475
ID:9932 SKID:K1122+211  timeStamp:2025-03-28 08:08:40:647
ID:9932 SKID:K1122+212.5  timeStamp:2025-03-28 08:08:40:822
ID:9932 SKID:K1122+213.5  timeStamp:2025-03-28 08:08:40:997
ID:9932 SKID:K1122+215  timeStamp:2025-03-28 08:08:41:177
ID:9932 SKID:K1122+216  timeStamp:2025-03-28 08:08:41:376
ID:9932 SKID:K1122+217  timeStamp:2025-03-28 08:08:41:552
ID:9932 SKID:K1122+218  timeStamp:2025-03-28 08:08:41:716
ID:9932 SKID:K1122+219.5  timeStamp:2025-03-28 08:08:41:876
ID:9932 SKID:K1122+221  timeStamp:2025-03-28 08:08:42:47
ID:9932 SKID:K1122+222  timeStamp:2025-03-28 08:08:42:221
ID:9932 SKID:K1122+223  timeStamp:2025-03-28 08:08:42:381
ID:9932 SKID:K1122+224  timeStamp:2025-03-28 08:08:42:542
ID:9932 SKID:K1122+225.5  timeStamp:2025-03-28 08:08:42:702
ID:9932 SKID:K1122+226.5  timeStamp:2025-03-28 08:08:43:161
ID:9932 SKID:K1122+227.5  timeStamp:2025-03-28 08:08:43:396
ID:9932 SKID:K1122+229  timeStamp:2025-03-28 08:08:43:565
ID:9932 SKID:K1122+230  timeStamp:2025-03-28 08:08:43:732
ID:9932 SKID:K1122+231.5  timeStamp:2025-03-28 08:08:43:902
ID:9932 SKID:K1122+232.5  timeStamp:2025-03-28 08:08:44:80
ID:9932 SKID:K1122+233.5  timeStamp:2025-03-28 08:08:44:251
ID:9932 SKID:K1122+234.5  timeStamp:2025-03-28 08:08:44:423
ID:9932 SKID:K1122+236  timeStamp:2025-03-28 08:08:44:596
ID:9932 SKID:K1122+237  timeStamp:2025-03-28 08:08:44:768
ID:9932 SKID:K1122+238.5  timeStamp:2025-03-28 08:08:44:943
ID:9932 SKID:K1122+239.5  timeStamp:2025-03-28 08:08:45:121
ID:9932 SKID:K1122+240.5  timeStamp:2025-03-28 08:08:45:299
ID:9932 SKID:K1122+241.5  timeStamp:2025-03-28 08:08:45:472
ID:9932 SKID:K1122+243  timeStamp:2025-03-28 08:08:45:649
ID:9932 SKID:K1122+244  timeStamp:2025-03-28 08:08:45:819
ID:9932 SKID:K1122+245  timeStamp:2025-03-28 08:08:45:989
ID:9932 SKID:K1122+246.5  timeStamp:2025-03-28 08:08:46:163
ID:9932 SKID:K1122+247.5  timeStamp:2025-03-28 08:08:46:338
