ID:9872 SKID:K1124+942  timeStamp:2025-03-28 08:08:24:557
ID:9872 SKID:K1124+943.5  timeStamp:2025-03-28 08:08:24:745
ID:9872 SKID:K1124+945  timeStamp:2025-03-28 08:08:24:932
ID:9872 SKID:K1124+946  timeStamp:2025-03-28 08:08:25:110
ID:9872 SKID:K1124+947.5  timeStamp:2025-03-28 08:08:25:285
ID:9872 SKID:K1124+948.5  timeStamp:2025-03-28 08:08:25:464
ID:9872 SKID:K1124+950  timeStamp:2025-03-28 08:08:25:643
ID:9872 SKID:K1124+951.5  timeStamp:2025-03-28 08:08:25:832
ID:9872 SKID:K1124+952.5  timeStamp:2025-03-28 08:08:26:12
ID:9872 SKID:K1124+954  timeStamp:2025-03-28 08:08:26:194
ID:9872 SKID:K1124+955.5  timeStamp:2025-03-28 08:08:26:372
ID:9872 SKID:K1124+956.5  timeStamp:2025-03-28 08:08:26:871
ID:9872 SKID:K1124+958  timeStamp:2025-03-28 08:08:27:122
ID:9872 SKID:K1124+959.5  timeStamp:2025-03-28 08:08:27:300
ID:9872 SKID:K1124+960.5  timeStamp:2025-03-28 08:08:27:474
ID:9872 SKID:K1124+962  timeStamp:2025-03-28 08:08:27:651
ID:9872 SKID:K1124+963.5  timeStamp:2025-03-28 08:08:27:829
ID:9872 SKID:K1124+965  timeStamp:2025-03-28 08:08:28:20
ID:9872 SKID:K1124+966  timeStamp:2025-03-28 08:08:28:194
ID:9872 SKID:K1124+967.5  timeStamp:2025-03-28 08:08:28:373
ID:9872 SKID:K1124+968.5  timeStamp:2025-03-28 08:08:28:552
ID:9872 SKID:K1124+970  timeStamp:2025-03-28 08:08:28:731
ID:9872 SKID:K1124+971  timeStamp:2025-03-28 08:08:28:914
ID:9872 SKID:K1124+972.5  timeStamp:2025-03-28 08:08:29:97
ID:9872 SKID:K1124+974  timeStamp:2025-03-28 08:08:29:276
ID:9872 SKID:K1124+975.5  timeStamp:2025-03-28 08:08:29:455
ID:9872 SKID:K1124+976.5  timeStamp:2025-03-28 08:08:29:635
ID:9872 SKID:K1124+978  timeStamp:2025-03-28 08:08:29:816
ID:9872 SKID:K1124+979.5  timeStamp:2025-03-28 08:08:29:998
ID:9872 SKID:K1124+980.5  timeStamp:2025-03-28 08:08:30:181
ID:9872 SKID:K1124+982  timeStamp:2025-03-28 08:08:30:363
ID:9872 SKID:K1124+983  timeStamp:2025-03-28 08:08:30:545
ID:9872 SKID:K1124+984.5  timeStamp:2025-03-28 08:08:30:730
ID:9872 SKID:K1124+986  timeStamp:2025-03-28 08:08:30:905
ID:9872 SKID:K1124+987.5  timeStamp:2025-03-28 08:08:31:77
ID:9872 SKID:K1124+988.5  timeStamp:2025-03-28 08:08:31:258
ID:9872 SKID:K1124+990  timeStamp:2025-03-28 08:08:31:431
ID:9872 SKID:K1124+991.5  timeStamp:2025-03-28 08:08:31:608
ID:9872 SKID:K1124+992.5  timeStamp:2025-03-28 08:08:31:787
ID:9872 SKID:K1124+994  timeStamp:2025-03-28 08:08:31:973
ID:9872 SKID:K1124+995.5  timeStamp:2025-03-28 08:08:32:164
ID:9872 SKID:K1124+996.5  timeStamp:2025-03-28 08:08:32:330
ID:9872 SKID:K1124+998  timeStamp:2025-03-28 08:08:32:494
ID:9872 SKID:K1124+999  timeStamp:2025-03-28 08:08:32:660
ID:9872 SKID:K1125+0.5  timeStamp:2025-03-28 08:08:32:827
ID:9872 SKID:K1125+1.5  timeStamp:2025-03-28 08:08:32:998
ID:9872 SKID:K1125+3.5  timeStamp:2025-03-28 08:08:33:167
ID:9872 SKID:K1125+4.5  timeStamp:2025-03-28 08:08:33:341
ID:9872 SKID:K1125+6  timeStamp:2025-03-28 08:08:33:505
ID:9872 SKID:K1125+7  timeStamp:2025-03-28 08:08:33:693
ID:9872 SKID:K1125+8.5  timeStamp:2025-03-28 08:08:33:875
ID:9872 SKID:K1125+10  timeStamp:2025-03-28 08:08:34:54
ID:9872 SKID:K1125+11  timeStamp:2025-03-28 08:08:34:251
ID:9872 SKID:K1125+12.5  timeStamp:2025-03-28 08:08:34:431
ID:9872 SKID:K1125+14  timeStamp:2025-03-28 08:08:34:942
ID:9872 SKID:K1125+15.5  timeStamp:2025-03-28 08:08:35:200
ID:9872 SKID:K1125+16.5  timeStamp:2025-03-28 08:08:35:376
ID:9872 SKID:K1125+18  timeStamp:2025-03-28 08:08:35:551
ID:9872 SKID:K1125+19  timeStamp:2025-03-28 08:08:35:725
ID:9872 SKID:K1125+21  timeStamp:2025-03-28 08:08:35:909
ID:9872 SKID:K1125+22  timeStamp:2025-03-28 08:08:36:102
ID:9872 SKID:K1125+23.5  timeStamp:2025-03-28 08:08:36:291
ID:9872 SKID:K1125+24.5  timeStamp:2025-03-28 08:08:36:473
ID:9872 SKID:K1125+26  timeStamp:2025-03-28 08:08:36:658
ID:9872 SKID:K1125+27.5  timeStamp:2025-03-28 08:08:36:843
ID:9872 SKID:K1125+29  timeStamp:2025-03-28 08:08:37:27
ID:9872 SKID:K1125+30  timeStamp:2025-03-28 08:08:37:206
ID:9872 SKID:K1125+31.5  timeStamp:2025-03-28 08:08:37:389
ID:9872 SKID:K1125+32.5  timeStamp:2025-03-28 08:08:37:578
ID:9872 SKID:K1125+34  timeStamp:2025-03-28 08:08:37:754
ID:9872 SKID:K1125+35  timeStamp:2025-03-28 08:08:37:940
ID:9872 SKID:K1125+36.5  timeStamp:2025-03-28 08:08:38:122
ID:9872 SKID:K1125+38  timeStamp:2025-03-28 08:08:38:299
ID:9872 SKID:K1125+39  timeStamp:2025-03-28 08:08:38:473
ID:9872 SKID:K1125+40.5  timeStamp:2025-03-28 08:08:38:649
ID:9872 SKID:K1125+42  timeStamp:2025-03-28 08:08:38:829
ID:9872 SKID:K1125+43  timeStamp:2025-03-28 08:08:39:12
ID:9872 SKID:K1125+44.5  timeStamp:2025-03-28 08:08:39:199
ID:9872 SKID:K1125+46  timeStamp:2025-03-28 08:08:39:380
ID:9872 SKID:K1125+47  timeStamp:2025-03-28 08:08:39:559
ID:9872 SKID:K1125+48.5  timeStamp:2025-03-28 08:08:39:743
ID:9872 SKID:K1125+50  timeStamp:2025-03-28 08:08:39:926
ID:9872 SKID:K1125+51.5  timeStamp:2025-03-28 08:08:40:115
ID:9872 SKID:K1125+52.5  timeStamp:2025-03-28 08:08:40:296
ID:9872 SKID:K1125+54  timeStamp:2025-03-28 08:08:40:475
ID:9872 SKID:K1125+55  timeStamp:2025-03-28 08:08:40:647
ID:9872 SKID:K1125+56.5  timeStamp:2025-03-28 08:08:40:822
ID:9872 SKID:K1125+58  timeStamp:2025-03-28 08:08:40:997
ID:9872 SKID:K1125+59  timeStamp:2025-03-28 08:08:41:177
ID:9872 SKID:K1125+60.5  timeStamp:2025-03-28 08:08:41:376
ID:9872 SKID:K1125+61.5  timeStamp:2025-03-28 08:08:41:552
ID:9872 SKID:K1125+63  timeStamp:2025-03-28 08:08:41:716
ID:9872 SKID:K1125+64.5  timeStamp:2025-03-28 08:08:41:876
ID:9872 SKID:K1125+66  timeStamp:2025-03-28 08:08:42:47
ID:9872 SKID:K1125+67.5  timeStamp:2025-03-28 08:08:42:221
ID:9872 SKID:K1125+68.5  timeStamp:2025-03-28 08:08:42:381
ID:9872 SKID:K1125+70  timeStamp:2025-03-28 08:08:42:542
ID:9872 SKID:K1125+71  timeStamp:2025-03-28 08:08:42:702
ID:9872 SKID:K1125+72.5  timeStamp:2025-03-28 08:08:43:161
ID:9872 SKID:K1125+74  timeStamp:2025-03-28 08:08:43:396
ID:9872 SKID:K1125+75.5  timeStamp:2025-03-28 08:08:43:565
ID:9872 SKID:K1125+76.5  timeStamp:2025-03-28 08:08:43:732
ID:9872 SKID:K1125+78  timeStamp:2025-03-28 08:08:43:902
ID:9872 SKID:K1125+79  timeStamp:2025-03-28 08:08:44:80
ID:9872 SKID:K1125+80.5  timeStamp:2025-03-28 08:08:44:251
ID:9872 SKID:K1125+82  timeStamp:2025-03-28 08:08:44:423
ID:9872 SKID:K1125+83  timeStamp:2025-03-28 08:08:44:596
ID:9872 SKID:K1125+84.5  timeStamp:2025-03-28 08:08:44:768
ID:9872 SKID:K1125+86  timeStamp:2025-03-28 08:08:44:943
ID:9872 SKID:K1125+87  timeStamp:2025-03-28 08:08:45:121
ID:9872 SKID:K1125+88.5  timeStamp:2025-03-28 08:08:45:299
ID:9872 SKID:K1125+90  timeStamp:2025-03-28 08:08:45:472
ID:9872 SKID:K1125+91  timeStamp:2025-03-28 08:08:45:649
ID:9872 SKID:K1125+92.5  timeStamp:2025-03-28 08:08:45:819
ID:9872 SKID:K1125+93.5  timeStamp:2025-03-28 08:08:45:989
ID:9872 SKID:K1125+95  timeStamp:2025-03-28 08:08:46:163
ID:9872 SKID:K1125+96.5  timeStamp:2025-03-28 08:08:46:338
ID:9872 SKID:K1125+98  timeStamp:2025-03-28 08:08:46:511
ID:9872 SKID:K1125+99  timeStamp:2025-03-28 08:08:46:688
ID:9872 SKID:K1125+100.5  timeStamp:2025-03-28 08:08:46:870
ID:9872 SKID:K1125+102  timeStamp:2025-03-28 08:08:47:40
ID:9872 SKID:K1125+103  timeStamp:2025-03-28 08:08:47:213
ID:9872 SKID:K1125+104.5  timeStamp:2025-03-28 08:08:47:395
ID:9872 SKID:K1125+106  timeStamp:2025-03-28 08:08:47:562
ID:9872 SKID:K1125+107  timeStamp:2025-03-28 08:08:47:734
ID:9872 SKID:K1125+108.5  timeStamp:2025-03-28 08:08:47:902
ID:9872 SKID:K1125+110  timeStamp:2025-03-28 08:08:48:87
ID:9872 SKID:K1125+111  timeStamp:2025-03-28 08:08:48:274
ID:9872 SKID:K1125+112.5  timeStamp:2025-03-28 08:08:48:464
ID:9872 SKID:K1125+114  timeStamp:2025-03-28 08:08:48:646
ID:9872 SKID:K1125+115  timeStamp:2025-03-28 08:08:48:838
ID:9872 SKID:K1125+116.5  timeStamp:2025-03-28 08:08:49:06
ID:9872 SKID:K1125+118  timeStamp:2025-03-28 08:08:49:176
ID:9872 SKID:K1125+119.5  timeStamp:2025-03-28 08:08:49:356
ID:9872 SKID:K1125+120.5  timeStamp:2025-03-28 08:08:49:521
ID:9872 SKID:K1125+122  timeStamp:2025-03-28 08:08:49:697
ID:9872 SKID:K1125+123  timeStamp:2025-03-28 08:08:49:867
ID:9872 SKID:K1125+124.5  timeStamp:2025-03-28 08:08:50:47
ID:9872 SKID:K1125+126  timeStamp:2025-03-28 08:08:50:217
ID:9872 SKID:K1125+127  timeStamp:2025-03-28 08:08:50:393
ID:9872 SKID:K1125+128.5  timeStamp:2025-03-28 08:08:50:575
ID:9872 SKID:K1125+129.5  timeStamp:2025-03-28 08:08:50:746
ID:9872 SKID:K1125+131  timeStamp:2025-03-28 08:08:51:201
ID:9872 SKID:K1125+132.5  timeStamp:2025-03-28 08:08:51:447
ID:9872 SKID:K1125+134  timeStamp:2025-03-28 08:08:51:618
ID:9872 SKID:K1125+135  timeStamp:2025-03-28 08:08:51:786
ID:9872 SKID:K1125+136.5  timeStamp:2025-03-28 08:08:51:952
ID:9872 SKID:K1125+137.5  timeStamp:2025-03-28 08:08:52:123
ID:9872 SKID:K1125+139  timeStamp:2025-03-28 08:08:52:290
ID:9872 SKID:K1125+140.5  timeStamp:2025-03-28 08:08:52:462
ID:9872 SKID:K1125+142  timeStamp:2025-03-28 08:08:52:639
ID:9872 SKID:K1125+143  timeStamp:2025-03-28 08:08:52:820
ID:9872 SKID:K1125+144.5  timeStamp:2025-03-28 08:08:53:01
ID:9872 SKID:K1125+146  timeStamp:2025-03-28 08:08:53:190
ID:9872 SKID:K1125+147  timeStamp:2025-03-28 08:08:53:372
ID:9872 SKID:K1125+148.5  timeStamp:2025-03-28 08:08:53:550
ID:9872 SKID:K1125+150  timeStamp:2025-03-28 08:08:53:736
ID:9872 SKID:K1125+151  timeStamp:2025-03-28 08:08:53:928
ID:9872 SKID:K1125+152.5  timeStamp:2025-03-28 08:08:54:113
ID:9872 SKID:K1125+154  timeStamp:2025-03-28 08:08:54:293
ID:9872 SKID:K1125+155  timeStamp:2025-03-28 08:08:54:482
ID:9872 SKID:K1125+156.5  timeStamp:2025-03-28 08:08:54:667
ID:9872 SKID:K1125+158  timeStamp:2025-03-28 08:08:54:854
ID:9872 SKID:K1125+159  timeStamp:2025-03-28 08:08:55:38
ID:9872 SKID:K1125+160.5  timeStamp:2025-03-28 08:08:55:219
ID:9872 SKID:K1125+162  timeStamp:2025-03-28 08:08:55:410
ID:9872 SKID:K1125+163.5  timeStamp:2025-03-28 08:08:55:591
ID:9872 SKID:K1125+164.5  timeStamp:2025-03-28 08:08:55:775
ID:9872 SKID:K1125+166  timeStamp:2025-03-28 08:08:55:959
ID:9872 SKID:K1125+167  timeStamp:2025-03-28 08:08:56:142
ID:9872 SKID:K1125+168.5  timeStamp:2025-03-28 08:08:56:321
ID:9872 SKID:K1125+169.5  timeStamp:2025-03-28 08:08:56:514
ID:9872 SKID:K1125+171  timeStamp:2025-03-28 08:08:56:696
ID:9872 SKID:K1125+172.5  timeStamp:2025-03-28 08:08:56:875
ID:9872 SKID:K1125+173.5  timeStamp:2025-03-28 08:08:57:77
ID:9872 SKID:K1125+175  timeStamp:2025-03-28 08:08:57:262
ID:9872 SKID:K1125+176.5  timeStamp:2025-03-28 08:08:57:447
ID:9872 SKID:K1125+177.5  timeStamp:2025-03-28 08:08:57:637
ID:9872 SKID:K1125+179  timeStamp:2025-03-28 08:08:57:820
ID:9872 SKID:K1125+180.5  timeStamp:2025-03-28 08:08:57:999
ID:9872 SKID:K1125+182  timeStamp:2025-03-28 08:08:58:178
ID:9872 SKID:K1125+183  timeStamp:2025-03-28 08:08:58:357
ID:9872 SKID:K1125+184.5  timeStamp:2025-03-28 08:08:58:540
ID:9872 SKID:K1125+185.5  timeStamp:2025-03-28 08:08:58:723
ID:9872 SKID:K1125+187  timeStamp:2025-03-28 08:08:58:898
ID:9872 SKID:K1125+188.5  timeStamp:2025-03-28 08:08:59:359
ID:9872 SKID:K1125+189.5  timeStamp:2025-03-28 08:08:59:624
ID:9872 SKID:K1125+191  timeStamp:2025-03-28 08:08:59:804
ID:9872 SKID:K1125+192.5  timeStamp:2025-03-28 08:08:59:989
ID:9872 SKID:K1125+193.5  timeStamp:2025-03-28 08:09:00:168
ID:9872 SKID:K1125+195  timeStamp:2025-03-28 08:09:00:345
ID:9872 SKID:K1125+196.5  timeStamp:2025-03-28 08:09:00:528
ID:9872 SKID:K1125+197.5  timeStamp:2025-03-28 08:09:00:700
ID:9872 SKID:K1125+199.5  timeStamp:2025-03-28 08:09:00:876
ID:9872 SKID:K1125+200.5  timeStamp:2025-03-28 08:09:01:50
ID:9872 SKID:K1125+202  timeStamp:2025-03-28 08:09:01:226
ID:9872 SKID:K1125+203  timeStamp:2025-03-28 08:09:01:410
ID:9872 SKID:K1125+204.5  timeStamp:2025-03-28 08:09:01:587
ID:9872 SKID:K1125+205.5  timeStamp:2025-03-28 08:09:01:764
ID:9872 SKID:K1125+207  timeStamp:2025-03-28 08:09:01:967
ID:9872 SKID:K1125+208  timeStamp:2025-03-28 08:09:02:144
ID:9872 SKID:K1125+210  timeStamp:2025-03-28 08:09:02:330
ID:9872 SKID:K1125+211  timeStamp:2025-03-28 08:09:02:506
ID:9872 SKID:K1125+212.5  timeStamp:2025-03-28 08:09:02:693
ID:9872 SKID:K1125+213.5  timeStamp:2025-03-28 08:09:02:872
ID:9872 SKID:K1125+215  timeStamp:2025-03-28 08:09:03:57
ID:9872 SKID:K1125+216  timeStamp:2025-03-28 08:09:03:240
ID:9872 SKID:K1125+217.5  timeStamp:2025-03-28 08:09:03:417
ID:9872 SKID:K1125+219  timeStamp:2025-03-28 08:09:03:599
ID:9872 SKID:K1125+220  timeStamp:2025-03-28 08:09:03:776
ID:9872 SKID:K1125+221.5  timeStamp:2025-03-28 08:09:03:963
ID:9872 SKID:K1125+223  timeStamp:2025-03-28 08:09:04:145
ID:9872 SKID:K1125+224.5  timeStamp:2025-03-28 08:09:04:327
ID:9872 SKID:K1125+225.5  timeStamp:2025-03-28 08:09:04:511
ID:9872 SKID:K1125+227  timeStamp:2025-03-28 08:09:04:695
