ID:9928 SKID:K1122+489  timeStamp:2025-03-28 08:08:24:557
ID:9928 SKID:K1122+487.5  timeStamp:2025-03-28 08:08:24:745
ID:9928 SKID:K1122+486  timeStamp:2025-03-28 08:08:24:932
ID:9928 SKID:K1122+484.5  timeStamp:2025-03-28 08:08:25:110
ID:9928 SKID:K1122+483  timeStamp:2025-03-28 08:08:25:285
ID:9928 SKID:K1122+481.5  timeStamp:2025-03-28 08:08:25:464
ID:9928 SKID:K1122+480  timeStamp:2025-03-28 08:08:25:643
ID:9928 SKID:K1122+478.5  timeStamp:2025-03-28 08:08:25:832
ID:9928 SKID:K1122+477  timeStamp:2025-03-28 08:08:26:12
ID:9928 SKID:K1122+475.5  timeStamp:2025-03-28 08:08:26:194
ID:9928 SKID:K1122+474  timeStamp:2025-03-28 08:08:26:372
ID:9928 SKID:K1122+472.5  timeStamp:2025-03-28 08:08:26:871
ID:9928 SKID:K1122+471  timeStamp:2025-03-28 08:08:27:122
ID:9928 SKID:K1122+469.5  timeStamp:2025-03-28 08:08:27:300
ID:9928 SKID:K1122+468  timeStamp:2025-03-28 08:08:27:474
ID:9928 SKID:K1122+466  timeStamp:2025-03-28 08:08:27:651
ID:9928 SKID:K1122+464.5  timeStamp:2025-03-28 08:08:27:829
ID:9928 SKID:K1122+463  timeStamp:2025-03-28 08:08:28:20
ID:9928 SKID:K1122+461.5  timeStamp:2025-03-28 08:08:28:194
ID:9928 SKID:K1122+460  timeStamp:2025-03-28 08:08:28:373
ID:9928 SKID:K1122+458.5  timeStamp:2025-03-28 08:08:28:552
ID:9928 SKID:K1122+457  timeStamp:2025-03-28 08:08:28:731
ID:9928 SKID:K1122+455.5  timeStamp:2025-03-28 08:08:28:914
ID:9928 SKID:K1122+453.5  timeStamp:2025-03-28 08:08:29:97
ID:9928 SKID:K1122+452.5  timeStamp:2025-03-28 08:08:29:276
ID:9928 SKID:K1122+451  timeStamp:2025-03-28 08:08:29:455
ID:9928 SKID:K1122+449.5  timeStamp:2025-03-28 08:08:29:635
ID:9928 SKID:K1122+448  timeStamp:2025-03-28 08:08:29:816
ID:9928 SKID:K1122+446.5  timeStamp:2025-03-28 08:08:29:998
ID:9928 SKID:K1122+445  timeStamp:2025-03-28 08:08:30:181
ID:9928 SKID:K1122+443.5  timeStamp:2025-03-28 08:08:30:363
ID:9928 SKID:K1122+442  timeStamp:2025-03-28 08:08:30:545
ID:9928 SKID:K1122+440.5  timeStamp:2025-03-28 08:08:30:730
ID:9928 SKID:K1122+439  timeStamp:2025-03-28 08:08:30:905
ID:9928 SKID:K1122+437.5  timeStamp:2025-03-28 08:08:31:77
ID:9928 SKID:K1122+436  timeStamp:2025-03-28 08:08:31:258
ID:9928 SKID:K1122+434.5  timeStamp:2025-03-28 08:08:31:431
ID:9928 SKID:K1122+433  timeStamp:2025-03-28 08:08:31:608
ID:9928 SKID:K1122+431.5  timeStamp:2025-03-28 08:08:31:787
ID:9928 SKID:K1122+430  timeStamp:2025-03-28 08:08:31:973
ID:9928 SKID:K1122+428.5  timeStamp:2025-03-28 08:08:32:164
ID:9928 SKID:K1122+427  timeStamp:2025-03-28 08:08:32:330
ID:9928 SKID:K1122+425.5  timeStamp:2025-03-28 08:08:32:494
ID:9928 SKID:K1122+424  timeStamp:2025-03-28 08:08:32:660
ID:9928 SKID:K1122+422.5  timeStamp:2025-03-28 08:08:32:827
ID:9928 SKID:K1122+421  timeStamp:2025-03-28 08:08:32:998
ID:9928 SKID:K1122+419.5  timeStamp:2025-03-28 08:08:33:167
ID:9928 SKID:K1122+418  timeStamp:2025-03-28 08:08:33:341
ID:9928 SKID:K1122+416.5  timeStamp:2025-03-28 08:08:33:505
ID:9928 SKID:K1122+415  timeStamp:2025-03-28 08:08:33:693
ID:9928 SKID:K1122+413.5  timeStamp:2025-03-28 08:08:33:875
ID:9928 SKID:K1122+412  timeStamp:2025-03-28 08:08:34:54
ID:9928 SKID:K1122+410.5  timeStamp:2025-03-28 08:08:34:251
ID:9928 SKID:K1122+409.5  timeStamp:2025-03-28 08:08:34:431
ID:9928 SKID:K1122+408  timeStamp:2025-03-28 08:08:34:942
ID:9928 SKID:K1122+406  timeStamp:2025-03-28 08:08:35:200
ID:9928 SKID:K1122+404.5  timeStamp:2025-03-28 08:08:35:376
ID:9928 SKID:K1122+403  timeStamp:2025-03-28 08:08:35:551
ID:9928 SKID:K1122+401.5  timeStamp:2025-03-28 08:08:35:725
ID:9928 SKID:K1122+400  timeStamp:2025-03-28 08:08:35:909
ID:9928 SKID:K1122+398.5  timeStamp:2025-03-28 08:08:36:102
ID:9928 SKID:K1122+397  timeStamp:2025-03-28 08:08:36:291
ID:9928 SKID:K1122+395.5  timeStamp:2025-03-28 08:08:36:473
ID:9928 SKID:K1122+394  timeStamp:2025-03-28 08:08:36:658
ID:9928 SKID:K1122+392.5  timeStamp:2025-03-28 08:08:36:843
ID:9928 SKID:K1122+391  timeStamp:2025-03-28 08:08:37:27
ID:9928 SKID:K1122+389.5  timeStamp:2025-03-28 08:08:37:206
ID:9928 SKID:K1122+388  timeStamp:2025-03-28 08:08:37:389
ID:9928 SKID:K1122+386.5  timeStamp:2025-03-28 08:08:37:578
ID:9928 SKID:K1122+385  timeStamp:2025-03-28 08:08:37:754
ID:9928 SKID:K1122+383.5  timeStamp:2025-03-28 08:08:37:940
ID:9928 SKID:K1122+382  timeStamp:2025-03-28 08:08:38:122
ID:9928 SKID:K1122+380.5  timeStamp:2025-03-28 08:08:38:299
ID:9928 SKID:K1122+379  timeStamp:2025-03-28 08:08:38:473
ID:9928 SKID:K1122+377.5  timeStamp:2025-03-28 08:08:38:649
ID:9928 SKID:K1122+376  timeStamp:2025-03-28 08:08:38:829
ID:9928 SKID:K1122+374.5  timeStamp:2025-03-28 08:08:39:12
ID:9928 SKID:K1122+373  timeStamp:2025-03-28 08:08:39:199
ID:9928 SKID:K1122+371.5  timeStamp:2025-03-28 08:08:39:380
ID:9928 SKID:K1122+370  timeStamp:2025-03-28 08:08:39:559
ID:9928 SKID:K1122+368.5  timeStamp:2025-03-28 08:08:39:743
ID:9928 SKID:K1122+366.5  timeStamp:2025-03-28 08:08:39:926
ID:9928 SKID:K1122+365  timeStamp:2025-03-28 08:08:40:115
ID:9928 SKID:K1122+363.5  timeStamp:2025-03-28 08:08:40:296
ID:9928 SKID:K1122+362  timeStamp:2025-03-28 08:08:40:475
ID:9928 SKID:K1122+360.5  timeStamp:2025-03-28 08:08:40:647
ID:9928 SKID:K1122+359  timeStamp:2025-03-28 08:08:40:822
ID:9928 SKID:K1122+357.5  timeStamp:2025-03-28 08:08:40:997
ID:9928 SKID:K1122+356  timeStamp:2025-03-28 08:08:41:177
ID:9928 SKID:K1122+354.5  timeStamp:2025-03-28 08:08:41:376
ID:9928 SKID:K1122+353.5  timeStamp:2025-03-28 08:08:41:552
ID:9928 SKID:K1122+352  timeStamp:2025-03-28 08:08:41:716
ID:9928 SKID:K1122+350.5  timeStamp:2025-03-28 08:08:41:876
ID:9928 SKID:K1122+348.5  timeStamp:2025-03-28 08:08:42:47
ID:9928 SKID:K1122+347  timeStamp:2025-03-28 08:08:42:221
ID:9928 SKID:K1122+345.5  timeStamp:2025-03-28 08:08:42:381
ID:9928 SKID:K1122+344  timeStamp:2025-03-28 08:08:42:542
ID:9928 SKID:K1122+342.5  timeStamp:2025-03-28 08:08:42:702
ID:9928 SKID:K1122+341  timeStamp:2025-03-28 08:08:43:161
ID:9928 SKID:K1122+339.5  timeStamp:2025-03-28 08:08:43:396
ID:9928 SKID:K1122+338.5  timeStamp:2025-03-28 08:08:43:565
ID:9928 SKID:K1122+336.5  timeStamp:2025-03-28 08:08:43:732
ID:9928 SKID:K1122+335  timeStamp:2025-03-28 08:08:43:902
ID:9928 SKID:K1122+333.5  timeStamp:2025-03-28 08:08:44:80
ID:9928 SKID:K1122+332  timeStamp:2025-03-28 08:08:44:251
ID:9928 SKID:K1122+330.5  timeStamp:2025-03-28 08:08:44:423
ID:9928 SKID:K1122+329  timeStamp:2025-03-28 08:08:44:596
ID:9928 SKID:K1122+327.5  timeStamp:2025-03-28 08:08:44:768
ID:9928 SKID:K1122+326  timeStamp:2025-03-28 08:08:44:943
ID:9928 SKID:K1122+324.5  timeStamp:2025-03-28 08:08:45:121
ID:9928 SKID:K1122+323  timeStamp:2025-03-28 08:08:45:299
ID:9928 SKID:K1122+321.5  timeStamp:2025-03-28 08:08:45:472
ID:9928 SKID:K1122+320  timeStamp:2025-03-28 08:08:45:649
ID:9928 SKID:K1122+318.5  timeStamp:2025-03-28 08:08:45:819
ID:9928 SKID:K1122+317  timeStamp:2025-03-28 08:08:45:989
ID:9928 SKID:K1122+315.5  timeStamp:2025-03-28 08:08:46:163
ID:9928 SKID:K1122+314  timeStamp:2025-03-28 08:08:46:338
ID:9928 SKID:K1122+312.5  timeStamp:2025-03-28 08:08:46:511
ID:9928 SKID:K1122+311  timeStamp:2025-03-28 08:08:46:688
ID:9928 SKID:K1122+309.5  timeStamp:2025-03-28 08:08:46:870
ID:9928 SKID:K1122+308  timeStamp:2025-03-28 08:08:47:40
ID:9928 SKID:K1122+306.5  timeStamp:2025-03-28 08:08:47:213
ID:9928 SKID:K1122+305  timeStamp:2025-03-28 08:08:47:395
ID:9928 SKID:K1122+303.5  timeStamp:2025-03-28 08:08:47:562
ID:9928 SKID:K1122+302  timeStamp:2025-03-28 08:08:47:734
ID:9928 SKID:K1122+300.5  timeStamp:2025-03-28 08:08:47:902
ID:9928 SKID:K1122+299  timeStamp:2025-03-28 08:08:48:87
