ID:9914 SKID:K1123+542  timeStamp:2025-03-28 08:08:24:557
ID:9914 SKID:K1123+543.5  timeStamp:2025-03-28 08:08:24:745
ID:9914 SKID:K1123+545  timeStamp:2025-03-28 08:08:24:932
ID:9914 SKID:K1123+547  timeStamp:2025-03-28 08:08:25:110
ID:9914 SKID:K1123+548.5  timeStamp:2025-03-28 08:08:25:285
ID:9914 SKID:K1123+550  timeStamp:2025-03-28 08:08:25:464
ID:9914 SKID:K1123+551.5  timeStamp:2025-03-28 08:08:25:643
ID:9914 SKID:K1123+553.5  timeStamp:2025-03-28 08:08:25:832
ID:9914 SKID:K1123+555  timeStamp:2025-03-28 08:08:26:12
ID:9914 SKID:K1123+556.5  timeStamp:2025-03-28 08:08:26:194
ID:9914 SKID:K1123+558.5  timeStamp:2025-03-28 08:08:26:372
ID:9914 SKID:K1123+559.5  timeStamp:2025-03-28 08:08:26:871
ID:9914 SKID:K1123+561  timeStamp:2025-03-28 08:08:27:122
ID:9914 SKID:K1123+563  timeStamp:2025-03-28 08:08:27:300
ID:9914 SKID:K1123+564.5  timeStamp:2025-03-28 08:08:27:474
ID:9914 SKID:K1123+566.5  timeStamp:2025-03-28 08:08:27:651
ID:9914 SKID:K1123+568  timeStamp:2025-03-28 08:08:27:829
ID:9914 SKID:K1123+569.5  timeStamp:2025-03-28 08:08:28:20
ID:9914 SKID:K1123+571  timeStamp:2025-03-28 08:08:28:194
ID:9914 SKID:K1123+572.5  timeStamp:2025-03-28 08:08:28:373
ID:9914 SKID:K1123+575  timeStamp:2025-03-28 08:08:28:552
ID:9914 SKID:K1123+576  timeStamp:2025-03-28 08:08:28:731
ID:9914 SKID:K1123+577.5  timeStamp:2025-03-28 08:08:28:914
ID:9914 SKID:K1123+579  timeStamp:2025-03-28 08:08:29:97
ID:9914 SKID:K1123+581  timeStamp:2025-03-28 08:08:29:276
ID:9914 SKID:K1123+582.5  timeStamp:2025-03-28 08:08:29:455
ID:9914 SKID:K1123+584  timeStamp:2025-03-28 08:08:29:635
ID:9914 SKID:K1123+585.5  timeStamp:2025-03-28 08:08:29:816
ID:9914 SKID:K1123+587  timeStamp:2025-03-28 08:08:29:998
ID:9914 SKID:K1123+589  timeStamp:2025-03-28 08:08:30:181
ID:9914 SKID:K1123+590.5  timeStamp:2025-03-28 08:08:30:363
ID:9914 SKID:K1123+592  timeStamp:2025-03-28 08:08:30:545
ID:9914 SKID:K1123+593.5  timeStamp:2025-03-28 08:08:30:730
ID:9914 SKID:K1123+595.5  timeStamp:2025-03-28 08:08:30:905
ID:9914 SKID:K1123+597  timeStamp:2025-03-28 08:08:31:77
ID:9914 SKID:K1123+598.5  timeStamp:2025-03-28 08:08:31:258
ID:9914 SKID:K1123+600  timeStamp:2025-03-28 08:08:31:431
ID:9914 SKID:K1123+602  timeStamp:2025-03-28 08:08:31:608
ID:9914 SKID:K1123+603.5  timeStamp:2025-03-28 08:08:31:787
ID:9914 SKID:K1123+605  timeStamp:2025-03-28 08:08:31:973
ID:9914 SKID:K1123+606.5  timeStamp:2025-03-28 08:08:32:164
ID:9914 SKID:K1123+608.5  timeStamp:2025-03-28 08:08:32:330
ID:9914 SKID:K1123+609.5  timeStamp:2025-03-28 08:08:32:494
ID:9914 SKID:K1123+611  timeStamp:2025-03-28 08:08:32:660
ID:9914 SKID:K1123+612.5  timeStamp:2025-03-28 08:08:32:827
ID:9914 SKID:K1123+614.5  timeStamp:2025-03-28 08:08:32:998
ID:9914 SKID:K1123+616  timeStamp:2025-03-28 08:08:33:167
ID:9914 SKID:K1123+617.5  timeStamp:2025-03-28 08:08:33:341
ID:9914 SKID:K1123+619.5  timeStamp:2025-03-28 08:08:33:505
ID:9914 SKID:K1123+621  timeStamp:2025-03-28 08:08:33:693
ID:9914 SKID:K1123+622.5  timeStamp:2025-03-28 08:08:33:875
ID:9914 SKID:K1123+625  timeStamp:2025-03-28 08:08:34:54
ID:9914 SKID:K1123+625.5  timeStamp:2025-03-28 08:08:34:251
ID:9914 SKID:K1123+627  timeStamp:2025-03-28 08:08:34:431
ID:9914 SKID:K1123+629  timeStamp:2025-03-28 08:08:34:942
ID:9914 SKID:K1123+630.5  timeStamp:2025-03-28 08:08:35:200
ID:9914 SKID:K1123+632.5  timeStamp:2025-03-28 08:08:35:376
ID:9914 SKID:K1123+634  timeStamp:2025-03-28 08:08:35:551
ID:9914 SKID:K1123+635.5  timeStamp:2025-03-28 08:08:35:725
ID:9914 SKID:K1123+637  timeStamp:2025-03-28 08:08:35:909
ID:9914 SKID:K1123+638.5  timeStamp:2025-03-28 08:08:36:102
ID:9914 SKID:K1123+640  timeStamp:2025-03-28 08:08:36:291
ID:9914 SKID:K1123+642  timeStamp:2025-03-28 08:08:36:473
ID:9914 SKID:K1123+643.5  timeStamp:2025-03-28 08:08:36:658
ID:9914 SKID:K1123+645  timeStamp:2025-03-28 08:08:36:843
ID:9914 SKID:K1123+647  timeStamp:2025-03-28 08:08:37:27
ID:9914 SKID:K1123+648.5  timeStamp:2025-03-28 08:08:37:206
ID:9914 SKID:K1123+650  timeStamp:2025-03-28 08:08:37:389
ID:9914 SKID:K1123+651.5  timeStamp:2025-03-28 08:08:37:578
ID:9914 SKID:K1123+653  timeStamp:2025-03-28 08:08:37:754
ID:9914 SKID:K1123+655  timeStamp:2025-03-28 08:08:37:940
ID:9914 SKID:K1123+656.5  timeStamp:2025-03-28 08:08:38:122
ID:9914 SKID:K1123+658  timeStamp:2025-03-28 08:08:38:299
ID:9914 SKID:K1123+659.5  timeStamp:2025-03-28 08:08:38:473
ID:9914 SKID:K1123+661  timeStamp:2025-03-28 08:08:38:649
ID:9914 SKID:K1123+663  timeStamp:2025-03-28 08:08:38:829
ID:9914 SKID:K1123+664.5  timeStamp:2025-03-28 08:08:39:12
ID:9914 SKID:K1123+666  timeStamp:2025-03-28 08:08:39:199
ID:9914 SKID:K1123+667.5  timeStamp:2025-03-28 08:08:39:380
ID:9914 SKID:K1123+669  timeStamp:2025-03-28 08:08:39:559
