ID:9939 SKID:K1122+128  timeStamp:2025-03-28 08:08:24:557
ID:9939 SKID:K1122+129.5  timeStamp:2025-03-28 08:08:24:745
ID:9939 SKID:K1122+131  timeStamp:2025-03-28 08:08:24:932
ID:9939 SKID:K1122+132.5  timeStamp:2025-03-28 08:08:25:110
ID:9939 SKID:K1122+134  timeStamp:2025-03-28 08:08:25:285
ID:9939 SKID:K1122+135.5  timeStamp:2025-03-28 08:08:25:464
ID:9939 SKID:K1122+137  timeStamp:2025-03-28 08:08:25:643
ID:9939 SKID:K1122+138.5  timeStamp:2025-03-28 08:08:25:832
ID:9939 SKID:K1122+140  timeStamp:2025-03-28 08:08:26:12
ID:9939 SKID:K1122+141.5  timeStamp:2025-03-28 08:08:26:194
ID:9939 SKID:K1122+143  timeStamp:2025-03-28 08:08:26:372
ID:9939 SKID:K1122+144.5  timeStamp:2025-03-28 08:08:26:871
ID:9939 SKID:K1122+145.5  timeStamp:2025-03-28 08:08:27:122
ID:9939 SKID:K1122+147  timeStamp:2025-03-28 08:08:27:300
ID:9939 SKID:K1122+149  timeStamp:2025-03-28 08:08:27:474
ID:9939 SKID:K1122+150.5  timeStamp:2025-03-28 08:08:27:651
ID:9939 SKID:K1122+151.5  timeStamp:2025-03-28 08:08:27:829
ID:9939 SKID:K1122+153  timeStamp:2025-03-28 08:08:28:20
ID:9939 SKID:K1122+155  timeStamp:2025-03-28 08:08:28:194
ID:9939 SKID:K1122+156  timeStamp:2025-03-28 08:08:28:373
ID:9939 SKID:K1122+157.5  timeStamp:2025-03-28 08:08:28:552
ID:9939 SKID:K1122+159  timeStamp:2025-03-28 08:08:28:731
ID:9939 SKID:K1122+160.5  timeStamp:2025-03-28 08:08:28:914
ID:9939 SKID:K1122+162  timeStamp:2025-03-28 08:08:29:97
ID:9939 SKID:K1122+163.5  timeStamp:2025-03-28 08:08:29:276
ID:9939 SKID:K1122+165  timeStamp:2025-03-28 08:08:29:455
ID:9939 SKID:K1122+166.5  timeStamp:2025-03-28 08:08:29:635
ID:9939 SKID:K1122+168  timeStamp:2025-03-28 08:08:29:816
ID:9939 SKID:K1122+169.5  timeStamp:2025-03-28 08:08:29:998
ID:9939 SKID:K1122+171  timeStamp:2025-03-28 08:08:30:181
ID:9939 SKID:K1122+172.5  timeStamp:2025-03-28 08:08:30:363
