ID:9933 SKID:K1122+465.5  timeStamp:2025-03-28 08:08:24:557
ID:9933 SKID:K1122+467  timeStamp:2025-03-28 08:08:24:745
ID:9933 SKID:K1122+468.5  timeStamp:2025-03-28 08:08:24:932
ID:9933 SKID:K1122+470  timeStamp:2025-03-28 08:08:25:110
ID:9933 SKID:K1122+471.5  timeStamp:2025-03-28 08:08:25:285
ID:9933 SKID:K1122+473  timeStamp:2025-03-28 08:08:25:464
ID:9933 SKID:K1122+474.5  timeStamp:2025-03-28 08:08:25:643
ID:9933 SKID:K1122+476  timeStamp:2025-03-28 08:08:25:832
ID:9933 SKID:K1122+477.5  timeStamp:2025-03-28 08:08:26:12
ID:9933 SKID:K1122+479  timeStamp:2025-03-28 08:08:26:194
ID:9933 SKID:K1122+480.5  timeStamp:2025-03-28 08:08:26:372
ID:9933 SKID:K1122+482  timeStamp:2025-03-28 08:08:26:871
ID:9933 SKID:K1122+483.5  timeStamp:2025-03-28 08:08:27:122
ID:9933 SKID:K1122+485  timeStamp:2025-03-28 08:08:27:300
ID:9933 SKID:K1122+486.5  timeStamp:2025-03-28 08:08:27:474
ID:9933 SKID:K1122+488  timeStamp:2025-03-28 08:08:27:651
ID:9933 SKID:K1122+489.5  timeStamp:2025-03-28 08:08:27:829
ID:9933 SKID:K1122+491  timeStamp:2025-03-28 08:08:28:20
ID:9933 SKID:K1122+492.5  timeStamp:2025-03-28 08:08:28:194
ID:9933 SKID:K1122+494  timeStamp:2025-03-28 08:08:28:373
ID:9933 SKID:K1122+495.5  timeStamp:2025-03-28 08:08:28:552
ID:9933 SKID:K1122+497  timeStamp:2025-03-28 08:08:28:731
ID:9933 SKID:K1122+498.5  timeStamp:2025-03-28 08:08:28:914
ID:9933 SKID:K1122+500  timeStamp:2025-03-28 08:08:29:97
ID:9933 SKID:K1122+502  timeStamp:2025-03-28 08:08:29:276
ID:9933 SKID:K1122+503.5  timeStamp:2025-03-28 08:08:29:455
ID:9933 SKID:K1122+505.5  timeStamp:2025-03-28 08:08:29:635
ID:9933 SKID:K1122+506.5  timeStamp:2025-03-28 08:08:29:816
ID:9933 SKID:K1122+508  timeStamp:2025-03-28 08:08:29:998
ID:9933 SKID:K1122+509.5  timeStamp:2025-03-28 08:08:30:181
ID:9933 SKID:K1122+511  timeStamp:2025-03-28 08:08:30:363
ID:9933 SKID:K1122+512.5  timeStamp:2025-03-28 08:08:30:545
ID:9933 SKID:K1122+514  timeStamp:2025-03-28 08:08:30:730
ID:9933 SKID:K1122+515.5  timeStamp:2025-03-28 08:08:30:905
ID:9933 SKID:K1122+517.5  timeStamp:2025-03-28 08:08:31:77
ID:9933 SKID:K1122+518  timeStamp:2025-03-28 08:08:31:258
ID:9933 SKID:K1122+520  timeStamp:2025-03-28 08:08:31:431
ID:9933 SKID:K1122+521.5  timeStamp:2025-03-28 08:08:31:608
ID:9933 SKID:K1122+523.5  timeStamp:2025-03-28 08:08:31:787
ID:9933 SKID:K1122+524.5  timeStamp:2025-03-28 08:08:31:973
ID:9933 SKID:K1122+526  timeStamp:2025-03-28 08:08:32:164
ID:9933 SKID:K1122+527.5  timeStamp:2025-03-28 08:08:32:330
ID:9933 SKID:K1122+529  timeStamp:2025-03-28 08:08:32:494
ID:9933 SKID:K1122+530.5  timeStamp:2025-03-28 08:08:32:660
ID:9933 SKID:K1122+532  timeStamp:2025-03-28 08:08:32:827
ID:9933 SKID:K1122+533.5  timeStamp:2025-03-28 08:08:32:998
ID:9933 SKID:K1122+535.5  timeStamp:2025-03-28 08:08:33:167
ID:9933 SKID:K1122+536.5  timeStamp:2025-03-28 08:08:33:341
ID:9933 SKID:K1122+538  timeStamp:2025-03-28 08:08:33:505
ID:9933 SKID:K1122+539.5  timeStamp:2025-03-28 08:08:33:693
ID:9933 SKID:K1122+541.5  timeStamp:2025-03-28 08:08:33:875
ID:9933 SKID:K1122+542.5  timeStamp:2025-03-28 08:08:34:54
ID:9933 SKID:K1122+544  timeStamp:2025-03-28 08:08:34:251
ID:9933 SKID:K1122+545.5  timeStamp:2025-03-28 08:08:34:431
ID:9933 SKID:K1122+547.5  timeStamp:2025-03-28 08:08:34:942
ID:9933 SKID:K1122+548.5  timeStamp:2025-03-28 08:08:35:200
ID:9933 SKID:K1122+550  timeStamp:2025-03-28 08:08:35:376
ID:9933 SKID:K1122+551.5  timeStamp:2025-03-28 08:08:35:551
ID:9933 SKID:K1122+553  timeStamp:2025-03-28 08:08:35:725
ID:9933 SKID:K1122+554.5  timeStamp:2025-03-28 08:08:35:909
ID:9933 SKID:K1122+556  timeStamp:2025-03-28 08:08:36:102
ID:9933 SKID:K1122+557.5  timeStamp:2025-03-28 08:08:36:291
ID:9933 SKID:K1122+559  timeStamp:2025-03-28 08:08:36:473
ID:9933 SKID:K1122+560.5  timeStamp:2025-03-28 08:08:36:658
ID:9933 SKID:K1122+562.5  timeStamp:2025-03-28 08:08:36:843
ID:9933 SKID:K1122+564  timeStamp:2025-03-28 08:08:37:27
ID:9933 SKID:K1122+565.5  timeStamp:2025-03-28 08:08:37:206
ID:9933 SKID:K1122+567  timeStamp:2025-03-28 08:08:37:389
ID:9933 SKID:K1122+568.5  timeStamp:2025-03-28 08:08:37:578
ID:9933 SKID:K1122+570  timeStamp:2025-03-28 08:08:37:754
