ID:9962 SKID:K1121+943.5  timeStamp:2025-03-28 08:08:24:557
ID:9962 SKID:K1121+944.5  timeStamp:2025-03-28 08:08:24:745
ID:9962 SKID:K1121+946  timeStamp:2025-03-28 08:08:24:932
ID:9962 SKID:K1121+947  timeStamp:2025-03-28 08:08:25:110
ID:9962 SKID:K1121+948.5  timeStamp:2025-03-28 08:08:25:285
ID:9962 SKID:K1121+949.5  timeStamp:2025-03-28 08:08:25:464
ID:9962 SKID:K1121+950.5  timeStamp:2025-03-28 08:08:25:643
ID:9962 SKID:K1121+952  timeStamp:2025-03-28 08:08:25:832
ID:9962 SKID:K1121+953.5  timeStamp:2025-03-28 08:08:26:12
ID:9962 SKID:K1121+954.5  timeStamp:2025-03-28 08:08:26:194
ID:9962 SKID:K1121+955.5  timeStamp:2025-03-28 08:08:26:372
ID:9962 SKID:K1121+957  timeStamp:2025-03-28 08:08:26:871
ID:9962 SKID:K1121+958  timeStamp:2025-03-28 08:08:27:122
ID:9962 SKID:K1121+959.5  timeStamp:2025-03-28 08:08:27:300
ID:9962 SKID:K1121+960.5  timeStamp:2025-03-28 08:08:27:474
ID:9962 SKID:K1121+962  timeStamp:2025-03-28 08:08:27:651
ID:9962 SKID:K1121+964  timeStamp:2025-03-28 08:08:27:829
ID:9962 SKID:K1121+964.5  timeStamp:2025-03-28 08:08:28:20
ID:9962 SKID:K1121+965.5  timeStamp:2025-03-28 08:08:28:194
ID:9962 SKID:K1121+967  timeStamp:2025-03-28 08:08:28:373
ID:9962 SKID:K1121+968  timeStamp:2025-03-28 08:08:28:552
ID:9962 SKID:K1121+969.5  timeStamp:2025-03-28 08:08:28:731
ID:9962 SKID:K1121+970.5  timeStamp:2025-03-28 08:08:28:914
ID:9962 SKID:K1121+972.5  timeStamp:2025-03-28 08:08:29:97
ID:9962 SKID:K1121+973.5  timeStamp:2025-03-28 08:08:29:276
ID:9962 SKID:K1121+974.5  timeStamp:2025-03-28 08:08:29:455
ID:9962 SKID:K1121+976  timeStamp:2025-03-28 08:08:29:635
ID:9962 SKID:K1121+977  timeStamp:2025-03-28 08:08:29:816
ID:9962 SKID:K1121+978.5  timeStamp:2025-03-28 08:08:29:998
ID:9962 SKID:K1121+979.5  timeStamp:2025-03-28 08:08:30:181
ID:9962 SKID:K1121+981  timeStamp:2025-03-28 08:08:30:363
ID:9962 SKID:K1121+982  timeStamp:2025-03-28 08:08:30:545
ID:9962 SKID:K1121+983  timeStamp:2025-03-28 08:08:30:730
ID:9962 SKID:K1121+984.5  timeStamp:2025-03-28 08:08:30:905
ID:9962 SKID:K1121+986  timeStamp:2025-03-28 08:08:31:77
ID:9962 SKID:K1121+987  timeStamp:2025-03-28 08:08:31:258
