ID:9927 SKID:K1122+786.5  timeStamp:2025-03-28 08:08:24:557
ID:9927 SKID:K1122+788  timeStamp:2025-03-28 08:08:24:745
ID:9927 SKID:K1122+789.5  timeStamp:2025-03-28 08:08:24:932
ID:9927 SKID:K1122+791  timeStamp:2025-03-28 08:08:25:110
ID:9927 SKID:K1122+792.5  timeStamp:2025-03-28 08:08:25:285
ID:9927 SKID:K1122+794  timeStamp:2025-03-28 08:08:25:464
ID:9927 SKID:K1122+795.5  timeStamp:2025-03-28 08:08:25:643
ID:9927 SKID:K1122+797  timeStamp:2025-03-28 08:08:25:832
ID:9927 SKID:K1122+798.5  timeStamp:2025-03-28 08:08:26:12
ID:9927 SKID:K1122+800  timeStamp:2025-03-28 08:08:26:194
ID:9927 SKID:K1122+801.5  timeStamp:2025-03-28 08:08:26:372
ID:9927 SKID:K1122+803  timeStamp:2025-03-28 08:08:26:871
ID:9927 SKID:K1122+804.5  timeStamp:2025-03-28 08:08:27:122
ID:9927 SKID:K1122+806  timeStamp:2025-03-28 08:08:27:300
ID:9927 SKID:K1122+807.5  timeStamp:2025-03-28 08:08:27:474
ID:9927 SKID:K1122+809.5  timeStamp:2025-03-28 08:08:27:651
ID:9927 SKID:K1122+811  timeStamp:2025-03-28 08:08:27:829
ID:9927 SKID:K1122+812.5  timeStamp:2025-03-28 08:08:28:20
ID:9927 SKID:K1122+814  timeStamp:2025-03-28 08:08:28:194
ID:9927 SKID:K1122+815.5  timeStamp:2025-03-28 08:08:28:373
ID:9927 SKID:K1122+817  timeStamp:2025-03-28 08:08:28:552
ID:9927 SKID:K1122+818.5  timeStamp:2025-03-28 08:08:28:731
ID:9927 SKID:K1122+820  timeStamp:2025-03-28 08:08:28:914
ID:9927 SKID:K1122+821.5  timeStamp:2025-03-28 08:08:29:97
ID:9927 SKID:K1122+823  timeStamp:2025-03-28 08:08:29:276
ID:9927 SKID:K1122+824.5  timeStamp:2025-03-28 08:08:29:455
ID:9927 SKID:K1122+826.5  timeStamp:2025-03-28 08:08:29:635
ID:9927 SKID:K1122+827.5  timeStamp:2025-03-28 08:08:29:816
ID:9927 SKID:K1122+829  timeStamp:2025-03-28 08:08:29:998
ID:9927 SKID:K1122+830.5  timeStamp:2025-03-28 08:08:30:181
ID:9927 SKID:K1122+832.5  timeStamp:2025-03-28 08:08:30:363
ID:9927 SKID:K1122+833.5  timeStamp:2025-03-28 08:08:30:545
ID:9927 SKID:K1122+835  timeStamp:2025-03-28 08:08:30:730
ID:9927 SKID:K1122+837  timeStamp:2025-03-28 08:08:30:905
ID:9927 SKID:K1122+839.5  timeStamp:2025-03-28 08:08:31:258
ID:9927 SKID:K1122+838.5  timeStamp:2025-03-28 08:08:31:77
ID:9927 SKID:K1122+841.5  timeStamp:2025-03-28 08:08:31:431
ID:9927 SKID:K1122+843  timeStamp:2025-03-28 08:08:31:608
ID:9927 SKID:K1122+844.5  timeStamp:2025-03-28 08:08:31:787
ID:9927 SKID:K1122+846  timeStamp:2025-03-28 08:08:31:973
ID:9927 SKID:K1122+847.5  timeStamp:2025-03-28 08:08:32:164
ID:9927 SKID:K1122+849  timeStamp:2025-03-28 08:08:32:330
ID:9927 SKID:K1122+850.5  timeStamp:2025-03-28 08:08:32:494
ID:9927 SKID:K1122+852  timeStamp:2025-03-28 08:08:32:660
ID:9927 SKID:K1122+853.5  timeStamp:2025-03-28 08:08:32:827
ID:9927 SKID:K1122+855  timeStamp:2025-03-28 08:08:32:998
ID:9927 SKID:K1122+856.5  timeStamp:2025-03-28 08:08:33:167
ID:9927 SKID:K1122+858  timeStamp:2025-03-28 08:08:33:341
ID:9927 SKID:K1122+859.5  timeStamp:2025-03-28 08:08:33:505
ID:9927 SKID:K1122+861  timeStamp:2025-03-28 08:08:33:693
ID:9927 SKID:K1122+862.5  timeStamp:2025-03-28 08:08:33:875
ID:9927 SKID:K1122+864  timeStamp:2025-03-28 08:08:34:54
ID:9927 SKID:K1122+865.5  timeStamp:2025-03-28 08:08:34:251
ID:9927 SKID:K1122+867  timeStamp:2025-03-28 08:08:34:431
ID:9927 SKID:K1122+868.5  timeStamp:2025-03-28 08:08:34:942
ID:9927 SKID:K1122+870.5  timeStamp:2025-03-28 08:08:35:200
ID:9927 SKID:K1122+872  timeStamp:2025-03-28 08:08:35:376
ID:9927 SKID:K1122+873.5  timeStamp:2025-03-28 08:08:35:551
ID:9927 SKID:K1122+875  timeStamp:2025-03-28 08:08:35:725
ID:9927 SKID:K1122+876.5  timeStamp:2025-03-28 08:08:35:909
ID:9927 SKID:K1122+878  timeStamp:2025-03-28 08:08:36:102
ID:9927 SKID:K1122+879.5  timeStamp:2025-03-28 08:08:36:291
ID:9927 SKID:K1122+881  timeStamp:2025-03-28 08:08:36:473
ID:9927 SKID:K1122+882.5  timeStamp:2025-03-28 08:08:36:658
ID:9927 SKID:K1122+884  timeStamp:2025-03-28 08:08:36:843
ID:9927 SKID:K1122+886  timeStamp:2025-03-28 08:08:37:27
ID:9927 SKID:K1122+887  timeStamp:2025-03-28 08:08:37:206
ID:9927 SKID:K1122+888.5  timeStamp:2025-03-28 08:08:37:389
ID:9927 SKID:K1122+890  timeStamp:2025-03-28 08:08:37:578
ID:9927 SKID:K1122+892  timeStamp:2025-03-28 08:08:37:754
ID:9927 SKID:K1122+893  timeStamp:2025-03-28 08:08:37:940
ID:9927 SKID:K1122+894.5  timeStamp:2025-03-28 08:08:38:122
ID:9927 SKID:K1122+896  timeStamp:2025-03-28 08:08:38:299
ID:9927 SKID:K1122+898  timeStamp:2025-03-28 08:08:38:473
ID:9927 SKID:K1122+899  timeStamp:2025-03-28 08:08:38:649
ID:9927 SKID:K1122+900.5  timeStamp:2025-03-28 08:08:38:829
ID:9927 SKID:K1122+902  timeStamp:2025-03-28 08:08:39:12
ID:9927 SKID:K1122+904  timeStamp:2025-03-28 08:08:39:199
ID:9927 SKID:K1122+905.5  timeStamp:2025-03-28 08:08:39:380
ID:9927 SKID:K1122+907  timeStamp:2025-03-28 08:08:39:559
ID:9927 SKID:K1122+908.5  timeStamp:2025-03-28 08:08:39:743
ID:9927 SKID:K1122+910  timeStamp:2025-03-28 08:08:39:926
ID:9927 SKID:K1122+911.5  timeStamp:2025-03-28 08:08:40:115
ID:9927 SKID:K1122+912.5  timeStamp:2025-03-28 08:08:40:296
ID:9927 SKID:K1122+914  timeStamp:2025-03-28 08:08:40:475
ID:9927 SKID:K1122+916  timeStamp:2025-03-28 08:08:40:647
ID:9927 SKID:K1122+917  timeStamp:2025-03-28 08:08:40:822
ID:9927 SKID:K1122+919  timeStamp:2025-03-28 08:08:40:997
ID:9927 SKID:K1122+920.5  timeStamp:2025-03-28 08:08:41:177
ID:9927 SKID:K1122+922  timeStamp:2025-03-28 08:08:41:376
ID:9927 SKID:K1122+923.5  timeStamp:2025-03-28 08:08:41:552
ID:9927 SKID:K1122+925  timeStamp:2025-03-28 08:08:41:716
ID:9927 SKID:K1122+926.5  timeStamp:2025-03-28 08:08:41:876
ID:9927 SKID:K1122+928  timeStamp:2025-03-28 08:08:42:47
ID:9927 SKID:K1122+929.5  timeStamp:2025-03-28 08:08:42:221
ID:9927 SKID:K1122+931  timeStamp:2025-03-28 08:08:42:381
ID:9927 SKID:K1122+932.5  timeStamp:2025-03-28 08:08:42:542
ID:9927 SKID:K1122+934  timeStamp:2025-03-28 08:08:42:702
ID:9927 SKID:K1122+935.5  timeStamp:2025-03-28 08:08:43:161
ID:9927 SKID:K1122+937  timeStamp:2025-03-28 08:08:43:396
ID:9927 SKID:K1122+938.5  timeStamp:2025-03-28 08:08:43:565
ID:9927 SKID:K1122+940  timeStamp:2025-03-28 08:08:43:732
ID:9927 SKID:K1122+941.5  timeStamp:2025-03-28 08:08:43:902
ID:9927 SKID:K1122+943  timeStamp:2025-03-28 08:08:44:80
ID:9927 SKID:K1122+944.5  timeStamp:2025-03-28 08:08:44:251
ID:9927 SKID:K1122+946  timeStamp:2025-03-28 08:08:44:423
ID:9927 SKID:K1122+947.5  timeStamp:2025-03-28 08:08:44:596
ID:9927 SKID:K1122+949  timeStamp:2025-03-28 08:08:44:768
ID:9927 SKID:K1122+951.5  timeStamp:2025-03-28 08:08:44:943
ID:9927 SKID:K1122+952.5  timeStamp:2025-03-28 08:08:45:121
ID:9927 SKID:K1122+954  timeStamp:2025-03-28 08:08:45:299
ID:9927 SKID:K1122+955.5  timeStamp:2025-03-28 08:08:45:472
ID:9927 SKID:K1122+957.5  timeStamp:2025-03-28 08:08:45:649
ID:9927 SKID:K1122+958.5  timeStamp:2025-03-28 08:08:45:819
ID:9927 SKID:K1122+960  timeStamp:2025-03-28 08:08:45:989
ID:9927 SKID:K1122+961.5  timeStamp:2025-03-28 08:08:46:163
ID:9927 SKID:K1122+963.5  timeStamp:2025-03-28 08:08:46:338
ID:9927 SKID:K1122+964.5  timeStamp:2025-03-28 08:08:46:511
ID:9927 SKID:K1122+966  timeStamp:2025-03-28 08:08:46:688
ID:9927 SKID:K1122+967.5  timeStamp:2025-03-28 08:08:46:870
ID:9927 SKID:K1122+969.5  timeStamp:2025-03-28 08:08:47:40
ID:9927 SKID:K1122+970.5  timeStamp:2025-03-28 08:08:47:213
ID:9927 SKID:K1122+972  timeStamp:2025-03-28 08:08:47:395
ID:9927 SKID:K1122+974  timeStamp:2025-03-28 08:08:47:562
ID:9927 SKID:K1122+975.5  timeStamp:2025-03-28 08:08:47:734
ID:9927 SKID:K1122+977  timeStamp:2025-03-28 08:08:47:902
ID:9927 SKID:K1122+978  timeStamp:2025-03-28 08:08:48:87
ID:9927 SKID:K1122+979.5  timeStamp:2025-03-28 08:08:48:274
ID:9927 SKID:K1122+981.5  timeStamp:2025-03-28 08:08:48:464
ID:9927 SKID:K1122+982.5  timeStamp:2025-03-28 08:08:48:646
ID:9927 SKID:K1122+984.5  timeStamp:2025-03-28 08:08:48:838
ID:9927 SKID:K1122+986  timeStamp:2025-03-28 08:08:49:06
ID:9927 SKID:K1122+987.5  timeStamp:2025-03-28 08:08:49:176
ID:9927 SKID:K1122+989  timeStamp:2025-03-28 08:08:49:356
ID:9927 SKID:K1122+990.5  timeStamp:2025-03-28 08:08:49:521
ID:9927 SKID:K1122+992  timeStamp:2025-03-28 08:08:49:697
ID:9927 SKID:K1122+993.5  timeStamp:2025-03-28 08:08:49:867
ID:9927 SKID:K1122+995  timeStamp:2025-03-28 08:08:50:47
ID:9927 SKID:K1122+996.5  timeStamp:2025-03-28 08:08:50:217
ID:9927 SKID:K1122+998  timeStamp:2025-03-28 08:08:50:393
ID:9927 SKID:K1123+999.5  timeStamp:2025-03-28 08:08:50:575
ID:9927 SKID:K1123+1  timeStamp:2025-03-28 08:08:50:746
ID:9927 SKID:K1123+3  timeStamp:2025-03-28 08:08:51:201
ID:9927 SKID:K1123+5  timeStamp:2025-03-28 08:08:51:447
ID:9927 SKID:K1123+5.5  timeStamp:2025-03-28 08:08:51:618
ID:9927 SKID:K1123+7  timeStamp:2025-03-28 08:08:51:786
ID:9927 SKID:K1123+8.5  timeStamp:2025-03-28 08:08:51:952
ID:9927 SKID:K1123+11  timeStamp:2025-03-28 08:08:52:123
ID:9927 SKID:K1123+12  timeStamp:2025-03-28 08:08:52:290
ID:9927 SKID:K1123+13.5  timeStamp:2025-03-28 08:08:52:462
ID:9927 SKID:K1123+15  timeStamp:2025-03-28 08:08:52:639
ID:9927 SKID:K1123+17  timeStamp:2025-03-28 08:08:52:820
ID:9927 SKID:K1123+18  timeStamp:2025-03-28 08:08:53:01
ID:9927 SKID:K1123+19.5  timeStamp:2025-03-28 08:08:53:190
ID:9927 SKID:K1123+21  timeStamp:2025-03-28 08:08:53:372
ID:9927 SKID:K1123+23  timeStamp:2025-03-28 08:08:53:550
ID:9927 SKID:K1123+24  timeStamp:2025-03-28 08:08:53:736
ID:9927 SKID:K1123+25.5  timeStamp:2025-03-28 08:08:53:928
ID:9927 SKID:K1123+27  timeStamp:2025-03-28 08:08:54:113
ID:9927 SKID:K1123+29  timeStamp:2025-03-28 08:08:54:293
ID:9927 SKID:K1123+30  timeStamp:2025-03-28 08:08:54:482
ID:9927 SKID:K1123+31.5  timeStamp:2025-03-28 08:08:54:667
ID:9927 SKID:K1123+33  timeStamp:2025-03-28 08:08:54:854
ID:9927 SKID:K1123+35  timeStamp:2025-03-28 08:08:55:38
ID:9927 SKID:K1123+36  timeStamp:2025-03-28 08:08:55:219
ID:9927 SKID:K1123+37.5  timeStamp:2025-03-28 08:08:55:410
ID:9927 SKID:K1123+39  timeStamp:2025-03-28 08:08:55:591
ID:9927 SKID:K1123+41  timeStamp:2025-03-28 08:08:55:775
ID:9927 SKID:K1123+42  timeStamp:2025-03-28 08:08:55:959
ID:9927 SKID:K1123+43.5  timeStamp:2025-03-28 08:08:56:142
ID:9927 SKID:K1123+45  timeStamp:2025-03-28 08:08:56:321
ID:9927 SKID:K1123+47  timeStamp:2025-03-28 08:08:56:514
ID:9927 SKID:K1123+48  timeStamp:2025-03-28 08:08:56:696
ID:9927 SKID:K1123+49.5  timeStamp:2025-03-28 08:08:56:875
ID:9927 SKID:K1123+51  timeStamp:2025-03-28 08:08:57:77
ID:9927 SKID:K1123+53  timeStamp:2025-03-28 08:08:57:262
ID:9927 SKID:K1123+54  timeStamp:2025-03-28 08:08:57:447
ID:9927 SKID:K1123+55.5  timeStamp:2025-03-28 08:08:57:637
ID:9927 SKID:K1123+57.5  timeStamp:2025-03-28 08:08:57:820
ID:9927 SKID:K1123+59  timeStamp:2025-03-28 08:08:57:999
ID:9927 SKID:K1123+60.5  timeStamp:2025-03-28 08:08:58:178
ID:9927 SKID:K1123+62  timeStamp:2025-03-28 08:08:58:357
ID:9927 SKID:K1123+63.5  timeStamp:2025-03-28 08:08:58:540
ID:9927 SKID:K1123+65  timeStamp:2025-03-28 08:08:58:723
ID:9927 SKID:K1123+66.5  timeStamp:2025-03-28 08:08:58:898
ID:9927 SKID:K1123+68  timeStamp:2025-03-28 08:08:59:359
ID:9927 SKID:K1123+69.5  timeStamp:2025-03-28 08:08:59:624
ID:9927 SKID:K1123+71  timeStamp:2025-03-28 08:08:59:804
ID:9927 SKID:K1123+72.5  timeStamp:2025-03-28 08:08:59:989
ID:9927 SKID:K1123+74  timeStamp:2025-03-28 08:09:00:168
ID:9927 SKID:K1123+75.5  timeStamp:2025-03-28 08:09:00:345
ID:9927 SKID:K1123+77  timeStamp:2025-03-28 08:09:00:528
ID:9927 SKID:K1123+78.5  timeStamp:2025-03-28 08:09:00:700
ID:9927 SKID:K1123+80.5  timeStamp:2025-03-28 08:09:00:876
ID:9927 SKID:K1123+82.5  timeStamp:2025-03-28 08:09:01:50
ID:9927 SKID:K1123+83.5  timeStamp:2025-03-28 08:09:01:226
ID:9927 SKID:K1123+85  timeStamp:2025-03-28 08:09:01:410
ID:9927 SKID:K1123+86.5  timeStamp:2025-03-28 08:09:01:587
ID:9927 SKID:K1123+88.5  timeStamp:2025-03-28 08:09:01:764
ID:9927 SKID:K1123+89.5  timeStamp:2025-03-28 08:09:01:967
ID:9927 SKID:K1123+91  timeStamp:2025-03-28 08:09:02:144
ID:9927 SKID:K1123+92.5  timeStamp:2025-03-28 08:09:02:330
ID:9927 SKID:K1123+94.5  timeStamp:2025-03-28 08:09:02:506
ID:9927 SKID:K1123+95.5  timeStamp:2025-03-28 08:09:02:693
ID:9927 SKID:K1123+97  timeStamp:2025-03-28 08:09:02:872
ID:9927 SKID:K1123+98.5  timeStamp:2025-03-28 08:09:03:57
ID:9927 SKID:K1123+100.5  timeStamp:2025-03-28 08:09:03:240
ID:9927 SKID:K1123+101.5  timeStamp:2025-03-28 08:09:03:417
ID:9927 SKID:K1123+103  timeStamp:2025-03-28 08:09:03:599
ID:9927 SKID:K1123+104.5  timeStamp:2025-03-28 08:09:03:776
ID:9927 SKID:K1123+106  timeStamp:2025-03-28 08:09:03:963
ID:9927 SKID:K1123+107.5  timeStamp:2025-03-28 08:09:04:145
ID:9927 SKID:K1123+109.5  timeStamp:2025-03-28 08:09:04:327
