ID:9968 SKID:K1121+879  timeStamp:2025-03-28 08:08:52:462
ID:9968 SKID:K1121+880.5  timeStamp:2025-03-28 08:08:52:639
ID:9968 SKID:K1121+882.5  timeStamp:2025-03-28 08:08:52:820
ID:9968 SKID:K1121+883.5  timeStamp:2025-03-28 08:08:53:01
ID:9968 SKID:K1121+884.5  timeStamp:2025-03-28 08:08:53:190
ID:9968 SKID:K1121+886  timeStamp:2025-03-28 08:08:53:372
ID:9968 SKID:K1121+887.5  timeStamp:2025-03-28 08:08:53:550
ID:9968 SKID:K1121+888.5  timeStamp:2025-03-28 08:08:53:736
ID:9968 SKID:K1121+890  timeStamp:2025-03-28 08:08:53:928
ID:9968 SKID:K1121+891.5  timeStamp:2025-03-28 08:08:54:113
ID:9968 SKID:K1121+893  timeStamp:2025-03-28 08:08:54:293
ID:9968 SKID:K1121+894  timeStamp:2025-03-28 08:08:54:482
ID:9968 SKID:K1121+895.5  timeStamp:2025-03-28 08:08:54:667
ID:9968 SKID:K1121+897  timeStamp:2025-03-28 08:08:54:854
ID:9968 SKID:K1121+898.5  timeStamp:2025-03-28 08:08:55:38
ID:9968 SKID:K1121+900  timeStamp:2025-03-28 08:08:55:219
ID:9968 SKID:K1121+901  timeStamp:2025-03-28 08:08:55:410
ID:9968 SKID:K1121+903  timeStamp:2025-03-28 08:08:55:591
ID:9968 SKID:K1121+904  timeStamp:2025-03-28 08:08:55:775
ID:9968 SKID:K1121+905  timeStamp:2025-03-28 08:08:55:959
ID:9968 SKID:K1121+906.5  timeStamp:2025-03-28 08:08:56:142
ID:9968 SKID:K1121+908  timeStamp:2025-03-28 08:08:56:321
ID:9968 SKID:K1121+909  timeStamp:2025-03-28 08:08:56:514
ID:9968 SKID:K1121+910.5  timeStamp:2025-03-28 08:08:56:696
ID:9968 SKID:K1121+912  timeStamp:2025-03-28 08:08:56:875
ID:9968 SKID:K1121+913.5  timeStamp:2025-03-28 08:08:57:77
ID:9968 SKID:K1121+914.5  timeStamp:2025-03-28 08:08:57:262
ID:9968 SKID:K1121+916  timeStamp:2025-03-28 08:08:57:447
ID:9968 SKID:K1121+917.5  timeStamp:2025-03-28 08:08:57:637
ID:9968 SKID:K1121+919  timeStamp:2025-03-28 08:08:57:820
ID:9968 SKID:K1121+920.5  timeStamp:2025-03-28 08:08:57:999
ID:9968 SKID:K1121+921.5  timeStamp:2025-03-28 08:08:58:178
ID:9968 SKID:K1121+923.5  timeStamp:2025-03-28 08:08:58:357
ID:9968 SKID:K1121+924.5  timeStamp:2025-03-28 08:08:58:540
ID:9968 SKID:K1121+925.5  timeStamp:2025-03-28 08:08:58:723
ID:9968 SKID:K1121+927  timeStamp:2025-03-28 08:08:58:898
ID:9968 SKID:K1121+928.5  timeStamp:2025-03-28 08:08:59:359
ID:9968 SKID:K1121+929.5  timeStamp:2025-03-28 08:08:59:624
ID:9968 SKID:K1121+931  timeStamp:2025-03-28 08:08:59:804
ID:9968 SKID:K1121+932.5  timeStamp:2025-03-28 08:08:59:989
ID:9968 SKID:K1121+934  timeStamp:2025-03-28 08:09:00:168
ID:9968 SKID:K1121+935.5  timeStamp:2025-03-28 08:09:00:345
ID:9968 SKID:K1121+936.5  timeStamp:2025-03-28 08:09:00:528
ID:9968 SKID:K1121+938  timeStamp:2025-03-28 08:09:00:700
ID:9968 SKID:K1121+939.5  timeStamp:2025-03-28 08:09:00:876
ID:9968 SKID:K1121+941  timeStamp:2025-03-28 08:09:01:50
ID:9968 SKID:K1121+942  timeStamp:2025-03-28 08:09:01:226
ID:9968 SKID:K1121+943.5  timeStamp:2025-03-28 08:09:01:410
ID:9968 SKID:K1121+944.5  timeStamp:2025-03-28 08:09:01:587
ID:9968 SKID:K1121+946  timeStamp:2025-03-28 08:09:01:764
ID:9968 SKID:K1121+947.5  timeStamp:2025-03-28 08:09:01:967
ID:9968 SKID:K1121+948.5  timeStamp:2025-03-28 08:09:02:144
ID:9968 SKID:K1121+950  timeStamp:2025-03-28 08:09:02:330
ID:9968 SKID:K1121+951.5  timeStamp:2025-03-28 08:09:02:506
ID:9968 SKID:K1121+953  timeStamp:2025-03-28 08:09:02:693
ID:9968 SKID:K1121+954  timeStamp:2025-03-28 08:09:02:872
ID:9968 SKID:K1121+955.5  timeStamp:2025-03-28 08:09:03:57
ID:9968 SKID:K1121+957  timeStamp:2025-03-28 08:09:03:240
