ID:9929 SKID:K1122+590  timeStamp:2025-03-28 08:08:24:557
ID:9929 SKID:K1122+589  timeStamp:2025-03-28 08:08:24:745
ID:9929 SKID:K1122+587.5  timeStamp:2025-03-28 08:08:24:932
ID:9929 SKID:K1122+586.5  timeStamp:2025-03-28 08:08:25:110
ID:9929 SKID:K1122+585.5  timeStamp:2025-03-28 08:08:25:285
ID:9929 SKID:K1122+584  timeStamp:2025-03-28 08:08:25:464
ID:9929 SKID:K1122+583  timeStamp:2025-03-28 08:08:25:643
ID:9929 SKID:K1122+581.5  timeStamp:2025-03-28 08:08:25:832
ID:9929 SKID:K1122+580.5  timeStamp:2025-03-28 08:08:26:12
ID:9929 SKID:K1122+579  timeStamp:2025-03-28 08:08:26:194
ID:9929 SKID:K1122+578  timeStamp:2025-03-28 08:08:26:372
ID:9929 SKID:K1122+576.5  timeStamp:2025-03-28 08:08:26:871
ID:9929 SKID:K1122+575.5  timeStamp:2025-03-28 08:08:27:122
ID:9929 SKID:K1122+574.5  timeStamp:2025-03-28 08:08:27:300
ID:9929 SKID:K1122+573  timeStamp:2025-03-28 08:08:27:474
ID:9929 SKID:K1122+572  timeStamp:2025-03-28 08:08:27:651
ID:9929 SKID:K1122+570.5  timeStamp:2025-03-28 08:08:27:829
ID:9929 SKID:K1122+569.5  timeStamp:2025-03-28 08:08:28:20
ID:9929 SKID:K1122+568  timeStamp:2025-03-28 08:08:28:194
ID:9929 SKID:K1122+567  timeStamp:2025-03-28 08:08:28:373
ID:9929 SKID:K1122+565.5  timeStamp:2025-03-28 08:08:28:552
ID:9929 SKID:K1122+564.5  timeStamp:2025-03-28 08:08:28:731
ID:9929 SKID:K1122+563.5  timeStamp:2025-03-28 08:08:28:914
ID:9929 SKID:K1122+562  timeStamp:2025-03-28 08:08:29:97
ID:9929 SKID:K1122+561  timeStamp:2025-03-28 08:08:29:276
ID:9929 SKID:K1122+559.5  timeStamp:2025-03-28 08:08:29:455
ID:9929 SKID:K1122+558.5  timeStamp:2025-03-28 08:08:29:635
ID:9929 SKID:K1122+557.5  timeStamp:2025-03-28 08:08:29:816
ID:9929 SKID:K1122+556  timeStamp:2025-03-28 08:08:29:998
ID:9929 SKID:K1122+555  timeStamp:2025-03-28 08:08:30:181
ID:9929 SKID:K1122+553.5  timeStamp:2025-03-28 08:08:30:363
ID:9929 SKID:K1122+552.5  timeStamp:2025-03-28 08:08:30:545
ID:9929 SKID:K1122+551.5  timeStamp:2025-03-28 08:08:30:730
ID:9929 SKID:K1122+550  timeStamp:2025-03-28 08:08:30:905
ID:9929 SKID:K1122+548.5  timeStamp:2025-03-28 08:08:31:77
ID:9929 SKID:K1122+547.5  timeStamp:2025-03-28 08:08:31:258
ID:9929 SKID:K1122+546  timeStamp:2025-03-28 08:08:31:431
ID:9929 SKID:K1122+545  timeStamp:2025-03-28 08:08:31:608
ID:9929 SKID:K1122+543  timeStamp:2025-03-28 08:08:31:787
ID:9929 SKID:K1122+542.5  timeStamp:2025-03-28 08:08:31:973
ID:9929 SKID:K1122+541.5  timeStamp:2025-03-28 08:08:32:164
ID:9929 SKID:K1122+540  timeStamp:2025-03-28 08:08:32:330
ID:9929 SKID:K1122+539  timeStamp:2025-03-28 08:08:32:494
ID:9929 SKID:K1122+538  timeStamp:2025-03-28 08:08:32:660
ID:9929 SKID:K1122+536.5  timeStamp:2025-03-28 08:08:32:827
ID:9929 SKID:K1122+535.5  timeStamp:2025-03-28 08:08:32:998
ID:9929 SKID:K1122+533.5  timeStamp:2025-03-28 08:08:33:167
ID:9929 SKID:K1122+532.5  timeStamp:2025-03-28 08:08:33:341
ID:9929 SKID:K1122+531.5  timeStamp:2025-03-28 08:08:33:505
ID:9929 SKID:K1122+530.5  timeStamp:2025-03-28 08:08:33:693
ID:9929 SKID:K1122+529  timeStamp:2025-03-28 08:08:33:875
ID:9929 SKID:K1122+528  timeStamp:2025-03-28 08:08:34:54
ID:9929 SKID:K1122+526.5  timeStamp:2025-03-28 08:08:34:251
ID:9929 SKID:K1122+525.5  timeStamp:2025-03-28 08:08:34:431
ID:9929 SKID:K1122+524  timeStamp:2025-03-28 08:08:34:942
ID:9929 SKID:K1122+523  timeStamp:2025-03-28 08:08:35:200
ID:9929 SKID:K1122+521.5  timeStamp:2025-03-28 08:08:35:376
ID:9929 SKID:K1122+520.5  timeStamp:2025-03-28 08:08:35:551
ID:9929 SKID:K1122+519.5  timeStamp:2025-03-28 08:08:35:725
ID:9929 SKID:K1122+518  timeStamp:2025-03-28 08:08:35:909
ID:9929 SKID:K1122+517  timeStamp:2025-03-28 08:08:36:102
ID:9929 SKID:K1122+515  timeStamp:2025-03-28 08:08:36:291
ID:9929 SKID:K1122+514.5  timeStamp:2025-03-28 08:08:36:473
ID:9929 SKID:K1122+513.5  timeStamp:2025-03-28 08:08:36:658
ID:9929 SKID:K1122+512  timeStamp:2025-03-28 08:08:36:843
ID:9929 SKID:K1122+510.5  timeStamp:2025-03-28 08:08:37:27
ID:9929 SKID:K1122+509.5  timeStamp:2025-03-28 08:08:37:206
ID:9929 SKID:K1122+508  timeStamp:2025-03-28 08:08:37:389
ID:9929 SKID:K1122+507  timeStamp:2025-03-28 08:08:37:578
ID:9929 SKID:K1122+505.5  timeStamp:2025-03-28 08:08:37:754
ID:9929 SKID:K1122+504.5  timeStamp:2025-03-28 08:08:37:940
ID:9929 SKID:K1122+503.5  timeStamp:2025-03-28 08:08:38:122
ID:9929 SKID:K1122+502.5  timeStamp:2025-03-28 08:08:38:299
ID:9929 SKID:K1122+501  timeStamp:2025-03-28 08:08:38:473
ID:9929 SKID:K1122+499.5  timeStamp:2025-03-28 08:08:38:649
ID:9929 SKID:K1122+498.5  timeStamp:2025-03-28 08:08:38:829
ID:9929 SKID:K1122+497.5  timeStamp:2025-03-28 08:08:39:12
ID:9929 SKID:K1122+496  timeStamp:2025-03-28 08:08:39:199
ID:9929 SKID:K1122+495  timeStamp:2025-03-28 08:08:39:380
ID:9929 SKID:K1122+493.5  timeStamp:2025-03-28 08:08:39:559
ID:9929 SKID:K1122+492.5  timeStamp:2025-03-28 08:08:39:743
ID:9929 SKID:K1122+491  timeStamp:2025-03-28 08:08:39:926
ID:9929 SKID:K1122+490  timeStamp:2025-03-28 08:08:40:115
ID:9929 SKID:K1122+488.5  timeStamp:2025-03-28 08:08:40:296
ID:9929 SKID:K1122+486.5  timeStamp:2025-03-28 08:08:40:475
ID:9929 SKID:K1122+486.5  timeStamp:2025-03-28 08:08:40:647
ID:9929 SKID:K1122+485  timeStamp:2025-03-28 08:08:40:822
ID:9929 SKID:K1122+484  timeStamp:2025-03-28 08:08:40:997
ID:9929 SKID:K1122+482.5  timeStamp:2025-03-28 08:08:41:177
ID:9929 SKID:K1122+481.5  timeStamp:2025-03-28 08:08:41:376
ID:9929 SKID:K1122+480  timeStamp:2025-03-28 08:08:41:552
ID:9929 SKID:K1122+479  timeStamp:2025-03-28 08:08:41:716
ID:9929 SKID:K1122+477  timeStamp:2025-03-28 08:08:41:876
ID:9929 SKID:K1122+476.5  timeStamp:2025-03-28 08:08:42:47
ID:9929 SKID:K1122+475  timeStamp:2025-03-28 08:08:42:221
ID:9929 SKID:K1122+474  timeStamp:2025-03-28 08:08:42:381
ID:9929 SKID:K1122+472.5  timeStamp:2025-03-28 08:08:42:542
ID:9929 SKID:K1122+471.5  timeStamp:2025-03-28 08:08:42:702
ID:9929 SKID:K1122+470  timeStamp:2025-03-28 08:08:43:161
ID:9929 SKID:K1122+468.5  timeStamp:2025-03-28 08:08:43:396
ID:9929 SKID:K1122+467  timeStamp:2025-03-28 08:08:43:565
ID:9929 SKID:K1122+466  timeStamp:2025-03-28 08:08:43:732
ID:9929 SKID:K1122+464.5  timeStamp:2025-03-28 08:08:43:902
ID:9929 SKID:K1122+463.5  timeStamp:2025-03-28 08:08:44:80
ID:9929 SKID:K1122+462.5  timeStamp:2025-03-28 08:08:44:251
ID:9929 SKID:K1122+461  timeStamp:2025-03-28 08:08:44:423
ID:9929 SKID:K1122+460  timeStamp:2025-03-28 08:08:44:596
ID:9929 SKID:K1122+458  timeStamp:2025-03-28 08:08:44:768
ID:9929 SKID:K1122+457.5  timeStamp:2025-03-28 08:08:44:943
ID:9929 SKID:K1122+456  timeStamp:2025-03-28 08:08:45:121
ID:9929 SKID:K1122+455  timeStamp:2025-03-28 08:08:45:299
ID:9929 SKID:K1122+453.5  timeStamp:2025-03-28 08:08:45:472
