ID:9952 SKID:K1122+712  timeStamp:2025-03-28 08:08:24:557
ID:9952 SKID:K1122+710.5  timeStamp:2025-03-28 08:08:24:745
ID:9952 SKID:K1122+709  timeStamp:2025-03-28 08:08:24:932
ID:9952 SKID:K1122+707.5  timeStamp:2025-03-28 08:08:25:110
ID:9952 SKID:K1122+706  timeStamp:2025-03-28 08:08:25:285
ID:9952 SKID:K1122+704.5  timeStamp:2025-03-28 08:08:25:464
ID:9952 SKID:K1122+703.5  timeStamp:2025-03-28 08:08:25:643
ID:9952 SKID:K1122+701.5  timeStamp:2025-03-28 08:08:25:832
ID:9952 SKID:K1122+700.5  timeStamp:2025-03-28 08:08:26:12
ID:9952 SKID:K1122+699  timeStamp:2025-03-28 08:08:26:194
ID:9952 SKID:K1122+697.5  timeStamp:2025-03-28 08:08:26:372
ID:9952 SKID:K1122+696  timeStamp:2025-03-28 08:08:26:871
ID:9952 SKID:K1122+694.5  timeStamp:2025-03-28 08:08:27:122
ID:9952 SKID:K1122+693  timeStamp:2025-03-28 08:08:27:300
ID:9952 SKID:K1122+691.5  timeStamp:2025-03-28 08:08:27:474
ID:9952 SKID:K1122+690  timeStamp:2025-03-28 08:08:27:651
ID:9952 SKID:K1122+688.5  timeStamp:2025-03-28 08:08:27:829
ID:9952 SKID:K1122+687  timeStamp:2025-03-28 08:08:28:20
ID:9952 SKID:K1122+685.5  timeStamp:2025-03-28 08:08:28:194
ID:9952 SKID:K1122+684.5  timeStamp:2025-03-28 08:08:28:373
ID:9952 SKID:K1122+683  timeStamp:2025-03-28 08:08:28:552
ID:9952 SKID:K1122+681.5  timeStamp:2025-03-28 08:08:28:731
ID:9952 SKID:K1122+680  timeStamp:2025-03-28 08:08:28:914
ID:9952 SKID:K1122+678.5  timeStamp:2025-03-28 08:08:29:97
ID:9952 SKID:K1122+677  timeStamp:2025-03-28 08:08:29:276
ID:9952 SKID:K1122+675.5  timeStamp:2025-03-28 08:08:29:455
ID:9952 SKID:K1122+674  timeStamp:2025-03-28 08:08:29:635
ID:9952 SKID:K1122+672.5  timeStamp:2025-03-28 08:08:29:816
ID:9952 SKID:K1122+671.5  timeStamp:2025-03-28 08:08:29:998
ID:9952 SKID:K1122+670  timeStamp:2025-03-28 08:08:30:181
ID:9952 SKID:K1122+668.5  timeStamp:2025-03-28 08:08:30:363
ID:9952 SKID:K1122+667  timeStamp:2025-03-28 08:08:30:545
