ID:9956 SKID:K1122+279.5  timeStamp:2025-03-28 08:08:24:557
ID:9956 SKID:K1122+281  timeStamp:2025-03-28 08:08:24:745
ID:9956 SKID:K1122+282  timeStamp:2025-03-28 08:08:24:932
ID:9956 SKID:K1122+283.5  timeStamp:2025-03-28 08:08:25:110
ID:9956 SKID:K1122+285.5  timeStamp:2025-03-28 08:08:25:285
ID:9956 SKID:K1122+287  timeStamp:2025-03-28 08:08:25:464
ID:9956 SKID:K1122+288.5  timeStamp:2025-03-28 08:08:25:643
ID:9956 SKID:K1122+290  timeStamp:2025-03-28 08:08:25:832
ID:9956 SKID:K1122+291.5  timeStamp:2025-03-28 08:08:26:12
ID:9956 SKID:K1122+293  timeStamp:2025-03-28 08:08:26:194
ID:9956 SKID:K1122+295  timeStamp:2025-03-28 08:08:26:372
ID:9956 SKID:K1122+296.5  timeStamp:2025-03-28 08:08:26:871
ID:9956 SKID:K1122+298  timeStamp:2025-03-28 08:08:27:122
ID:9956 SKID:K1122+299.5  timeStamp:2025-03-28 08:08:27:300
ID:9956 SKID:K1122+301  timeStamp:2025-03-28 08:08:27:474
ID:9956 SKID:K1122+303  timeStamp:2025-03-28 08:08:27:651
ID:9956 SKID:K1122+304.5  timeStamp:2025-03-28 08:08:27:829
ID:9956 SKID:K1122+306  timeStamp:2025-03-28 08:08:28:20
ID:9956 SKID:K1122+308  timeStamp:2025-03-28 08:08:28:194
ID:9956 SKID:K1122+309  timeStamp:2025-03-28 08:08:28:373
ID:9956 SKID:K1122+311  timeStamp:2025-03-28 08:08:28:552
ID:9956 SKID:K1122+312.5  timeStamp:2025-03-28 08:08:28:731
ID:9956 SKID:K1122+314  timeStamp:2025-03-28 08:08:28:914
ID:9956 SKID:K1122+315.5  timeStamp:2025-03-28 08:08:29:97
ID:9956 SKID:K1122+317.5  timeStamp:2025-03-28 08:08:29:276
ID:9956 SKID:K1122+319  timeStamp:2025-03-28 08:08:29:455
ID:9956 SKID:K1122+320.5  timeStamp:2025-03-28 08:08:29:635
ID:9956 SKID:K1122+322  timeStamp:2025-03-28 08:08:29:816
ID:9956 SKID:K1122+323.5  timeStamp:2025-03-28 08:08:29:998
ID:9956 SKID:K1122+325  timeStamp:2025-03-28 08:08:30:181
ID:9956 SKID:K1122+327  timeStamp:2025-03-28 08:08:30:363
ID:9956 SKID:K1122+328.5  timeStamp:2025-03-28 08:08:30:545
ID:9956 SKID:K1122+330  timeStamp:2025-03-28 08:08:30:730
ID:9956 SKID:K1122+331.5  timeStamp:2025-03-28 08:08:30:905
ID:9956 SKID:K1122+333.5  timeStamp:2025-03-28 08:08:31:77
ID:9956 SKID:K1122+334.5  timeStamp:2025-03-28 08:08:31:258
ID:9956 SKID:K1122+336.5  timeStamp:2025-03-28 08:08:31:431
ID:9956 SKID:K1122+338  timeStamp:2025-03-28 08:08:31:608
ID:9956 SKID:K1122+339.5  timeStamp:2025-03-28 08:08:31:787
ID:9956 SKID:K1122+341.5  timeStamp:2025-03-28 08:08:31:973
ID:9956 SKID:K1122+342.5  timeStamp:2025-03-28 08:08:32:164
ID:9956 SKID:K1122+344.5  timeStamp:2025-03-28 08:08:32:330
ID:9956 SKID:K1122+346  timeStamp:2025-03-28 08:08:32:494
ID:9956 SKID:K1122+347.5  timeStamp:2025-03-28 08:08:32:660
ID:9956 SKID:K1122+349  timeStamp:2025-03-28 08:08:32:827
ID:9956 SKID:K1122+350.5  timeStamp:2025-03-28 08:08:32:998
ID:9956 SKID:K1122+352.5  timeStamp:2025-03-28 08:08:33:167
ID:9956 SKID:K1122+354  timeStamp:2025-03-28 08:08:33:341
ID:9956 SKID:K1122+355.5  timeStamp:2025-03-28 08:08:33:505
ID:9956 SKID:K1122+357  timeStamp:2025-03-28 08:08:33:693
ID:9956 SKID:K1122+358.5  timeStamp:2025-03-28 08:08:33:875
ID:9956 SKID:K1122+360.5  timeStamp:2025-03-28 08:08:34:54
ID:9956 SKID:K1122+362  timeStamp:2025-03-28 08:08:34:251
ID:9956 SKID:K1122+363.5  timeStamp:2025-03-28 08:08:34:431
ID:9956 SKID:K1122+365  timeStamp:2025-03-28 08:08:34:942
ID:9956 SKID:K1122+367  timeStamp:2025-03-28 08:08:35:200
ID:9956 SKID:K1122+368.5  timeStamp:2025-03-28 08:08:35:376
ID:9956 SKID:K1122+370  timeStamp:2025-03-28 08:08:35:551
ID:9956 SKID:K1122+371.5  timeStamp:2025-03-28 08:08:35:725
ID:9956 SKID:K1122+373  timeStamp:2025-03-28 08:08:35:909
ID:9956 SKID:K1122+374.5  timeStamp:2025-03-28 08:08:36:102
ID:9956 SKID:K1122+376  timeStamp:2025-03-28 08:08:36:291
ID:9956 SKID:K1122+377.5  timeStamp:2025-03-28 08:08:36:473
ID:9956 SKID:K1122+379  timeStamp:2025-03-28 08:08:36:658
ID:9956 SKID:K1122+381  timeStamp:2025-03-28 08:08:36:843
ID:9956 SKID:K1122+382.5  timeStamp:2025-03-28 08:08:37:27
ID:9956 SKID:K1122+384  timeStamp:2025-03-28 08:08:37:206
ID:9956 SKID:K1122+386  timeStamp:2025-03-28 08:08:37:389
ID:9956 SKID:K1122+387.5  timeStamp:2025-03-28 08:08:37:578
ID:9956 SKID:K1122+389  timeStamp:2025-03-28 08:08:37:754
ID:9956 SKID:K1122+390.5  timeStamp:2025-03-28 08:08:37:940
ID:9956 SKID:K1122+391.5  timeStamp:2025-03-28 08:08:38:122
ID:9956 SKID:K1122+393.5  timeStamp:2025-03-28 08:08:38:299
ID:9956 SKID:K1122+395  timeStamp:2025-03-28 08:08:38:473
ID:9956 SKID:K1122+397  timeStamp:2025-03-28 08:08:38:649
ID:9956 SKID:K1122+398.5  timeStamp:2025-03-28 08:08:38:829
