ID:9879 SKID:K1124+455.5  timeStamp:2025-03-28 08:08:24:557
ID:9879 SKID:K1124+457  timeStamp:2025-03-28 08:08:24:745
ID:9879 SKID:K1124+458.5  timeStamp:2025-03-28 08:08:24:932
ID:9879 SKID:K1124+460.5  timeStamp:2025-03-28 08:08:25:110
ID:9879 SKID:K1124+462  timeStamp:2025-03-28 08:08:25:285
ID:9879 SKID:K1124+464  timeStamp:2025-03-28 08:08:25:464
ID:9879 SKID:K1124+465.5  timeStamp:2025-03-28 08:08:25:643
ID:9879 SKID:K1124+467.5  timeStamp:2025-03-28 08:08:25:832
ID:9879 SKID:K1124+469  timeStamp:2025-03-28 08:08:26:12
ID:9879 SKID:K1124+471  timeStamp:2025-03-28 08:08:26:194
ID:9879 SKID:K1124+472.5  timeStamp:2025-03-28 08:08:26:372
ID:9879 SKID:K1124+474  timeStamp:2025-03-28 08:08:26:871
ID:9879 SKID:K1124+476  timeStamp:2025-03-28 08:08:27:122
ID:9879 SKID:K1124+477.5  timeStamp:2025-03-28 08:08:27:300
ID:9879 SKID:K1124+479.5  timeStamp:2025-03-28 08:08:27:474
ID:9879 SKID:K1124+481.5  timeStamp:2025-03-28 08:08:27:651
ID:9879 SKID:K1124+483  timeStamp:2025-03-28 08:08:27:829
ID:9879 SKID:K1124+485  timeStamp:2025-03-28 08:08:28:20
ID:9879 SKID:K1124+486.5  timeStamp:2025-03-28 08:08:28:194
ID:9879 SKID:K1124+488  timeStamp:2025-03-28 08:08:28:373
ID:9879 SKID:K1124+490  timeStamp:2025-03-28 08:08:28:552
ID:9879 SKID:K1124+491.5  timeStamp:2025-03-28 08:08:28:731
ID:9879 SKID:K1124+493.5  timeStamp:2025-03-28 08:08:28:914
ID:9879 SKID:K1124+495  timeStamp:2025-03-28 08:08:29:97
ID:9879 SKID:K1124+497  timeStamp:2025-03-28 08:08:29:276
ID:9879 SKID:K1124+499  timeStamp:2025-03-28 08:08:29:455
ID:9879 SKID:K1124+500.5  timeStamp:2025-03-28 08:08:29:635
ID:9879 SKID:K1124+502  timeStamp:2025-03-28 08:08:29:816
ID:9879 SKID:K1124+504  timeStamp:2025-03-28 08:08:29:998
ID:9879 SKID:K1124+505.5  timeStamp:2025-03-28 08:08:30:181
ID:9879 SKID:K1124+507.5  timeStamp:2025-03-28 08:08:30:363
ID:9879 SKID:K1124+509  timeStamp:2025-03-28 08:08:30:545
ID:9879 SKID:K1124+510.5  timeStamp:2025-03-28 08:08:30:730
ID:9879 SKID:K1124+513  timeStamp:2025-03-28 08:08:30:905
ID:9879 SKID:K1124+514.5  timeStamp:2025-03-28 08:08:31:77
ID:9879 SKID:K1124+516  timeStamp:2025-03-28 08:08:31:258
ID:9879 SKID:K1124+518  timeStamp:2025-03-28 08:08:31:431
ID:9879 SKID:K1124+519.5  timeStamp:2025-03-28 08:08:31:608
ID:9879 SKID:K1124+521  timeStamp:2025-03-28 08:08:31:787
