ID:9884 SKID:K1124+320.5  timeStamp:2025-03-28 08:08:24:557
ID:9884 SKID:K1124+322  timeStamp:2025-03-28 08:08:24:745
ID:9884 SKID:K1124+323  timeStamp:2025-03-28 08:08:24:932
ID:9884 SKID:K1124+324  timeStamp:2025-03-28 08:08:25:110
ID:9884 SKID:K1124+325  timeStamp:2025-03-28 08:08:25:285
ID:9884 SKID:K1124+326.5  timeStamp:2025-03-28 08:08:25:464
ID:9884 SKID:K1124+327.5  timeStamp:2025-03-28 08:08:25:643
ID:9884 SKID:K1124+329  timeStamp:2025-03-28 08:08:25:832
ID:9884 SKID:K1124+330  timeStamp:2025-03-28 08:08:26:12
ID:9884 SKID:K1124+331  timeStamp:2025-03-28 08:08:26:194
ID:9884 SKID:K1124+332.5  timeStamp:2025-03-28 08:08:26:372
ID:9884 SKID:K1124+333.5  timeStamp:2025-03-28 08:08:26:871
ID:9884 SKID:K1124+334.5  timeStamp:2025-03-28 08:08:27:122
ID:9884 SKID:K1124+336  timeStamp:2025-03-28 08:08:27:300
ID:9884 SKID:K1124+337  timeStamp:2025-03-28 08:08:27:474
ID:9884 SKID:K1124+338.5  timeStamp:2025-03-28 08:08:27:651
ID:9884 SKID:K1124+339.5  timeStamp:2025-03-28 08:08:27:829
ID:9884 SKID:K1124+341  timeStamp:2025-03-28 08:08:28:20
ID:9884 SKID:K1124+342  timeStamp:2025-03-28 08:08:28:194
ID:9884 SKID:K1124+343  timeStamp:2025-03-28 08:08:28:373
ID:9884 SKID:K1124+344  timeStamp:2025-03-28 08:08:28:552
ID:9884 SKID:K1124+345.5  timeStamp:2025-03-28 08:08:28:731
ID:9884 SKID:K1124+346.5  timeStamp:2025-03-28 08:08:28:914
ID:9884 SKID:K1124+347.5  timeStamp:2025-03-28 08:08:29:97
ID:9884 SKID:K1124+349  timeStamp:2025-03-28 08:08:29:276
ID:9884 SKID:K1124+350.5  timeStamp:2025-03-28 08:08:29:455
ID:9884 SKID:K1124+351.5  timeStamp:2025-03-28 08:08:29:635
ID:9884 SKID:K1124+352.5  timeStamp:2025-03-28 08:08:29:816
ID:9884 SKID:K1124+353.5  timeStamp:2025-03-28 08:08:29:998
ID:9884 SKID:K1124+355  timeStamp:2025-03-28 08:08:30:181
ID:9884 SKID:K1124+356  timeStamp:2025-03-28 08:08:30:363
ID:9884 SKID:K1124+357.5  timeStamp:2025-03-28 08:08:30:545
ID:9884 SKID:K1124+358  timeStamp:2025-03-28 08:08:30:730
ID:9884 SKID:K1124+360  timeStamp:2025-03-28 08:08:30:905
ID:9884 SKID:K1124+361  timeStamp:2025-03-28 08:08:31:77
ID:9884 SKID:K1124+362  timeStamp:2025-03-28 08:08:31:258
ID:9884 SKID:K1124+363  timeStamp:2025-03-28 08:08:31:431
ID:9884 SKID:K1124+364.5  timeStamp:2025-03-28 08:08:31:608
ID:9884 SKID:K1124+365.5  timeStamp:2025-03-28 08:08:31:787
ID:9884 SKID:K1124+367  timeStamp:2025-03-28 08:08:31:973
ID:9884 SKID:K1124+367.5  timeStamp:2025-03-28 08:08:32:164
ID:9884 SKID:K1124+369  timeStamp:2025-03-28 08:08:32:330
ID:9884 SKID:K1124+370.5  timeStamp:2025-03-28 08:08:32:494
ID:9884 SKID:K1124+371.5  timeStamp:2025-03-28 08:08:32:660
ID:9884 SKID:K1124+372.5  timeStamp:2025-03-28 08:08:32:827
ID:9884 SKID:K1124+374  timeStamp:2025-03-28 08:08:32:998
ID:9884 SKID:K1124+375.5  timeStamp:2025-03-28 08:08:33:167
ID:9884 SKID:K1124+376.5  timeStamp:2025-03-28 08:08:33:341
ID:9884 SKID:K1124+377  timeStamp:2025-03-28 08:08:33:505
ID:9884 SKID:K1124+379  timeStamp:2025-03-28 08:08:33:693
ID:9884 SKID:K1124+380.5  timeStamp:2025-03-28 08:08:33:875
ID:9884 SKID:K1124+381.5  timeStamp:2025-03-28 08:08:34:54
ID:9884 SKID:K1124+383.5  timeStamp:2025-03-28 08:08:34:251
ID:9884 SKID:K1124+384.5  timeStamp:2025-03-28 08:08:34:431
ID:9884 SKID:K1124+386  timeStamp:2025-03-28 08:08:34:942
ID:9884 SKID:K1124+388  timeStamp:2025-03-28 08:08:35:200
ID:9884 SKID:K1124+389.5  timeStamp:2025-03-28 08:08:35:376
ID:9884 SKID:K1124+391  timeStamp:2025-03-28 08:08:35:551
ID:9884 SKID:K1124+392.5  timeStamp:2025-03-28 08:08:35:725
ID:9884 SKID:K1124+394  timeStamp:2025-03-28 08:08:35:909
ID:9884 SKID:K1124+395.5  timeStamp:2025-03-28 08:08:36:102
ID:9884 SKID:K1124+397  timeStamp:2025-03-28 08:08:36:291
ID:9884 SKID:K1124+398.5  timeStamp:2025-03-28 08:08:36:473
ID:9884 SKID:K1124+399.5  timeStamp:2025-03-28 08:08:36:658
ID:9884 SKID:K1124+401.5  timeStamp:2025-03-28 08:08:36:843
ID:9884 SKID:K1124+403  timeStamp:2025-03-28 08:08:37:27
ID:9884 SKID:K1124+404.5  timeStamp:2025-03-28 08:08:37:206
ID:9884 SKID:K1124+406  timeStamp:2025-03-28 08:08:37:389
ID:9884 SKID:K1124+407.5  timeStamp:2025-03-28 08:08:37:578
ID:9884 SKID:K1124+408.5  timeStamp:2025-03-28 08:08:37:754
ID:9884 SKID:K1124+410  timeStamp:2025-03-28 08:08:37:940
