ID:9936 SKID:BK0+833.5  timeStamp:2025-03-28 08:08:40:475
ID:9936 SKID:BK0+834.5  timeStamp:2025-03-28 08:08:40:647
ID:9936 SKID:BK0+836  timeStamp:2025-03-28 08:08:40:822
ID:9936 SKID:BK0+837.5  timeStamp:2025-03-28 08:08:40:997
ID:9936 SKID:BK0+838.5  timeStamp:2025-03-28 08:08:41:177
ID:9936 SKID:BK0+840  timeStamp:2025-03-28 08:08:41:376
ID:9936 SKID:BK0+841.5  timeStamp:2025-03-28 08:08:41:552
ID:9936 SKID:BK0+842.5  timeStamp:2025-03-28 08:08:41:716
ID:9936 SKID:BK0+843.5  timeStamp:2025-03-28 08:08:41:876
ID:9936 SKID:BK0+845  timeStamp:2025-03-28 08:08:42:47
ID:9936 SKID:BK0+846.5  timeStamp:2025-03-28 08:08:42:221
ID:9936 SKID:BK0+847.5  timeStamp:2025-03-28 08:08:42:381
ID:9936 SKID:BK0+848.5  timeStamp:2025-03-28 08:08:42:542
ID:9936 SKID:BK0+850  timeStamp:2025-03-28 08:08:42:702
ID:9936 SKID:BK0+851  timeStamp:2025-03-28 08:08:43:161
ID:9936 SKID:BK0+852.5  timeStamp:2025-03-28 08:08:43:396
ID:9936 SKID:BK0+853.5  timeStamp:2025-03-28 08:08:43:565
ID:9936 SKID:BK0+855  timeStamp:2025-03-28 08:08:43:732
ID:9936 SKID:BK0+856  timeStamp:2025-03-28 08:08:43:902
ID:9936 SKID:BK0+857.5  timeStamp:2025-03-28 08:08:44:80
ID:9936 SKID:BK0+858.5  timeStamp:2025-03-28 08:08:44:251
ID:9936 SKID:BK0+860  timeStamp:2025-03-28 08:08:44:423
ID:9936 SKID:BK0+861  timeStamp:2025-03-28 08:08:44:596
ID:9936 SKID:BK0+862.5  timeStamp:2025-03-28 08:08:44:768
ID:9936 SKID:BK0+863.5  timeStamp:2025-03-28 08:08:44:943
ID:9936 SKID:BK0+865  timeStamp:2025-03-28 08:08:45:121
ID:9936 SKID:BK0+866  timeStamp:2025-03-28 08:08:45:299
ID:9936 SKID:BK0+867.5  timeStamp:2025-03-28 08:08:45:472
ID:9936 SKID:BK0+868.5  timeStamp:2025-03-28 08:08:45:649
ID:9936 SKID:BK0+870  timeStamp:2025-03-28 08:08:45:819
ID:9936 SKID:BK0+871  timeStamp:2025-03-28 08:08:45:989
ID:9936 SKID:BK0+872  timeStamp:2025-03-28 08:08:46:163
ID:9936 SKID:BK0+873.5  timeStamp:2025-03-28 08:08:46:338
ID:9936 SKID:BK0+875  timeStamp:2025-03-28 08:08:46:511
ID:9936 SKID:BK0+876  timeStamp:2025-03-28 08:08:46:688
ID:9936 SKID:BK0+877.5  timeStamp:2025-03-28 08:08:46:870
ID:9936 SKID:BK0+879  timeStamp:2025-03-28 08:08:47:40
ID:9936 SKID:BK0+880  timeStamp:2025-03-28 08:08:47:213
ID:9936 SKID:BK0+881  timeStamp:2025-03-28 08:08:47:395
ID:9936 SKID:BK0+882.5  timeStamp:2025-03-28 08:08:47:562
ID:9936 SKID:BK0+883.5  timeStamp:2025-03-28 08:08:47:734
ID:9936 SKID:BK0+885  timeStamp:2025-03-28 08:08:47:902
ID:9936 SKID:BK0+886  timeStamp:2025-03-28 08:08:48:87
ID:9936 SKID:BK0+887.5  timeStamp:2025-03-28 08:08:48:274
ID:9936 SKID:BK0+888.5  timeStamp:2025-03-28 08:08:48:464
ID:9936 SKID:BK0+890  timeStamp:2025-03-28 08:08:48:646
ID:9936 SKID:BK0+891.5  timeStamp:2025-03-28 08:08:48:838
ID:9936 SKID:BK0+892.5  timeStamp:2025-03-28 08:08:49:06
ID:9936 SKID:BK0+893.5  timeStamp:2025-03-28 08:08:49:176
ID:9936 SKID:BK0+895  timeStamp:2025-03-28 08:08:49:356
ID:9936 SKID:BK0+896  timeStamp:2025-03-28 08:08:49:521
ID:9936 SKID:BK0+897.5  timeStamp:2025-03-28 08:08:49:697
ID:9936 SKID:BK0+898.5  timeStamp:2025-03-28 08:08:49:867
ID:9936 SKID:BK0+900  timeStamp:2025-03-28 08:08:50:47
ID:9936 SKID:BK0+901  timeStamp:2025-03-28 08:08:50:217
ID:9936 SKID:BK0+902.5  timeStamp:2025-03-28 08:08:50:393
ID:9936 SKID:BK0+903.5  timeStamp:2025-03-28 08:08:50:575
ID:9936 SKID:BK0+905  timeStamp:2025-03-28 08:08:50:746
ID:9936 SKID:BK0+906  timeStamp:2025-03-28 08:08:51:201
ID:9936 SKID:BK0+907.5  timeStamp:2025-03-28 08:08:51:447
ID:9936 SKID:BK0+908.5  timeStamp:2025-03-28 08:08:51:618
ID:9936 SKID:BK0+910  timeStamp:2025-03-28 08:08:51:786
ID:9936 SKID:BK0+911  timeStamp:2025-03-28 08:08:51:952
ID:9936 SKID:BK0+912.5  timeStamp:2025-03-28 08:08:52:123
ID:9936 SKID:BK0+914  timeStamp:2025-03-28 08:08:52:290
ID:9936 SKID:BK0+915  timeStamp:2025-03-28 08:08:52:462
ID:9936 SKID:BK0+916  timeStamp:2025-03-28 08:08:52:639
ID:9936 SKID:BK0+917.5  timeStamp:2025-03-28 08:08:52:820
ID:9936 SKID:BK0+918.5  timeStamp:2025-03-28 08:08:53:01
ID:9936 SKID:BK0+920  timeStamp:2025-03-28 08:08:53:190
ID:9936 SKID:BK0+921.5  timeStamp:2025-03-28 08:08:53:372
ID:9936 SKID:BK0+922.5  timeStamp:2025-03-28 08:08:53:550
ID:9936 SKID:BK0+924  timeStamp:2025-03-28 08:08:53:736
ID:9936 SKID:BK0+925  timeStamp:2025-03-28 08:08:53:928
ID:9936 SKID:BK0+926  timeStamp:2025-03-28 08:08:54:113
ID:9936 SKID:BK0+927.5  timeStamp:2025-03-28 08:08:54:293
ID:9936 SKID:BK0+928.5  timeStamp:2025-03-28 08:08:54:482
ID:9936 SKID:BK0+930  timeStamp:2025-03-28 08:08:54:667
ID:9936 SKID:BK0+931.5  timeStamp:2025-03-28 08:08:54:854
ID:9936 SKID:BK0+932.5  timeStamp:2025-03-28 08:08:55:38
ID:9936 SKID:BK0+934  timeStamp:2025-03-28 08:08:55:219
ID:9936 SKID:BK0+935  timeStamp:2025-03-28 08:08:55:410
ID:9936 SKID:BK0+936  timeStamp:2025-03-28 08:08:55:591
ID:9936 SKID:BK0+937.5  timeStamp:2025-03-28 08:08:55:775
ID:9936 SKID:BK0+939  timeStamp:2025-03-28 08:08:55:959
ID:9936 SKID:BK0+940  timeStamp:2025-03-28 08:08:56:142
ID:9936 SKID:BK0+941.5  timeStamp:2025-03-28 08:08:56:321
