ID:9934 SKID:K1122+932  timeStamp:2025-03-28 08:08:24:557
ID:9934 SKID:K1122+931  timeStamp:2025-03-28 08:08:24:745
ID:9934 SKID:K1122+930  timeStamp:2025-03-28 08:08:24:932
ID:9934 SKID:K1122+928.5  timeStamp:2025-03-28 08:08:25:110
ID:9934 SKID:K1122+927.5  timeStamp:2025-03-28 08:08:25:285
ID:9934 SKID:K1122+926  timeStamp:2025-03-28 08:08:25:464
ID:9934 SKID:K1122+925  timeStamp:2025-03-28 08:08:25:643
ID:9934 SKID:K1122+924  timeStamp:2025-03-28 08:08:25:832
ID:9934 SKID:K1122+922.5  timeStamp:2025-03-28 08:08:26:12
ID:9934 SKID:K1122+921.5  timeStamp:2025-03-28 08:08:26:194
ID:9934 SKID:K1122+920.5  timeStamp:2025-03-28 08:08:26:372
ID:9934 SKID:K1122+919  timeStamp:2025-03-28 08:08:26:871
ID:9934 SKID:K1122+918  timeStamp:2025-03-28 08:08:27:122
ID:9934 SKID:K1122+917  timeStamp:2025-03-28 08:08:27:300
ID:9934 SKID:K1122+915.5  timeStamp:2025-03-28 08:08:27:474
ID:9934 SKID:K1122+914.5  timeStamp:2025-03-28 08:08:27:651
ID:9934 SKID:K1122+913  timeStamp:2025-03-28 08:08:27:829
ID:9934 SKID:K1122+912  timeStamp:2025-03-28 08:08:28:20
ID:9934 SKID:K1122+911  timeStamp:2025-03-28 08:08:28:194
ID:9934 SKID:K1122+909.5  timeStamp:2025-03-28 08:08:28:373
ID:9934 SKID:K1122+908.5  timeStamp:2025-03-28 08:08:28:552
ID:9934 SKID:K1122+907.5  timeStamp:2025-03-28 08:08:28:731
ID:9934 SKID:K1122+906.5  timeStamp:2025-03-28 08:08:28:914
ID:9934 SKID:K1122+905  timeStamp:2025-03-28 08:08:29:97
ID:9934 SKID:K1122+903.5  timeStamp:2025-03-28 08:08:29:276
ID:9934 SKID:K1122+902.5  timeStamp:2025-03-28 08:08:29:455
ID:9934 SKID:K1122+901.5  timeStamp:2025-03-28 08:08:29:635
ID:9934 SKID:K1122+900.5  timeStamp:2025-03-28 08:08:29:816
ID:9934 SKID:K1122+899  timeStamp:2025-03-28 08:08:29:998
ID:9934 SKID:K1122+898  timeStamp:2025-03-28 08:08:30:181
ID:9934 SKID:K1122+896.5  timeStamp:2025-03-28 08:08:30:363
ID:9934 SKID:K1122+895.5  timeStamp:2025-03-28 08:08:30:545
ID:9934 SKID:K1122+894.5  timeStamp:2025-03-28 08:08:30:730
ID:9934 SKID:K1122+893  timeStamp:2025-03-28 08:08:30:905
ID:9934 SKID:K1122+892  timeStamp:2025-03-28 08:08:31:77
ID:9934 SKID:K1122+891  timeStamp:2025-03-28 08:08:31:258
ID:9934 SKID:K1122+889.5  timeStamp:2025-03-28 08:08:31:431
ID:9934 SKID:K1122+888.5  timeStamp:2025-03-28 08:08:31:608
ID:9934 SKID:K1122+887  timeStamp:2025-03-28 08:08:31:787
ID:9934 SKID:K1122+886  timeStamp:2025-03-28 08:08:31:973
ID:9934 SKID:K1122+885  timeStamp:2025-03-28 08:08:32:164
ID:9934 SKID:K1122+883.5  timeStamp:2025-03-28 08:08:32:330
ID:9934 SKID:K1122+882.5  timeStamp:2025-03-28 08:08:32:494
ID:9934 SKID:K1122+881.5  timeStamp:2025-03-28 08:08:32:660
ID:9934 SKID:K1122+880  timeStamp:2025-03-28 08:08:32:827
ID:9934 SKID:K1122+879  timeStamp:2025-03-28 08:08:32:998
ID:9934 SKID:K1122+877.5  timeStamp:2025-03-28 08:08:33:167
ID:9934 SKID:K1122+876.5  timeStamp:2025-03-28 08:08:33:341
ID:9934 SKID:K1122+875.5  timeStamp:2025-03-28 08:08:33:505
ID:9934 SKID:K1122+873.5  timeStamp:2025-03-28 08:08:33:693
ID:9934 SKID:K1122+871  timeStamp:2025-03-28 08:08:33:875
ID:9934 SKID:K1122+868.5  timeStamp:2025-03-28 08:08:34:54
ID:9934 SKID:K1122+866  timeStamp:2025-03-28 08:08:34:251
ID:9934 SKID:K1122+863.5  timeStamp:2025-03-28 08:08:34:431
ID:9934 SKID:K1122+861  timeStamp:2025-03-28 08:08:34:942
ID:9934 SKID:K1122+858  timeStamp:2025-03-28 08:08:35:200
ID:9934 SKID:K1122+855.5  timeStamp:2025-03-28 08:08:35:376
ID:9934 SKID:K1122+853  timeStamp:2025-03-28 08:08:35:551
ID:9934 SKID:K1122+850.5  timeStamp:2025-03-28 08:08:35:725
ID:9934 SKID:K1122+848  timeStamp:2025-03-28 08:08:35:909
ID:9934 SKID:K1122+845.5  timeStamp:2025-03-28 08:08:36:102
ID:9934 SKID:K1122+843  timeStamp:2025-03-28 08:08:36:291
ID:9934 SKID:K1122+840.5  timeStamp:2025-03-28 08:08:36:473
ID:9934 SKID:K1122+838  timeStamp:2025-03-28 08:08:36:658
ID:9934 SKID:K1122+835  timeStamp:2025-03-28 08:08:36:843
ID:9934 SKID:K1122+832.5  timeStamp:2025-03-28 08:08:37:27
ID:9934 SKID:K1122+830  timeStamp:2025-03-28 08:08:37:206
ID:9934 SKID:K1122+827.5  timeStamp:2025-03-28 08:08:37:389
ID:9934 SKID:K1122+825  timeStamp:2025-03-28 08:08:37:578
ID:9934 SKID:K1122+822.5  timeStamp:2025-03-28 08:08:37:754
ID:9934 SKID:K1122+820  timeStamp:2025-03-28 08:08:37:940
ID:9934 SKID:K1122+817.5  timeStamp:2025-03-28 08:08:38:122
ID:9934 SKID:K1122+815  timeStamp:2025-03-28 08:08:38:299
ID:9934 SKID:K1122+812.5  timeStamp:2025-03-28 08:08:38:473
ID:9934 SKID:K1122+810  timeStamp:2025-03-28 08:08:38:649
ID:9934 SKID:K1122+807.5  timeStamp:2025-03-28 08:08:38:829
ID:9934 SKID:K1122+805  timeStamp:2025-03-28 08:08:39:12
ID:9934 SKID:K1122+802.5  timeStamp:2025-03-28 08:08:39:199
ID:9934 SKID:K1122+800  timeStamp:2025-03-28 08:08:39:380
ID:9934 SKID:K1122+797  timeStamp:2025-03-28 08:08:39:559
ID:9934 SKID:K1122+795  timeStamp:2025-03-28 08:08:39:743
ID:9934 SKID:K1122+792  timeStamp:2025-03-28 08:08:39:926
ID:9934 SKID:K1122+789.5  timeStamp:2025-03-28 08:08:40:115
ID:9934 SKID:K1122+787  timeStamp:2025-03-28 08:08:40:296
ID:9934 SKID:K1122+784.5  timeStamp:2025-03-28 08:08:40:475
ID:9934 SKID:K1122+782  timeStamp:2025-03-28 08:08:40:647
ID:9934 SKID:K1122+779.5  timeStamp:2025-03-28 08:08:40:822
ID:9934 SKID:K1122+777  timeStamp:2025-03-28 08:08:40:997
ID:9934 SKID:K1122+774.5  timeStamp:2025-03-28 08:08:41:177
ID:9934 SKID:K1122+772  timeStamp:2025-03-28 08:08:41:376
ID:9934 SKID:K1122+769.5  timeStamp:2025-03-28 08:08:41:552
ID:9934 SKID:K1122+767  timeStamp:2025-03-28 08:08:41:716
ID:9934 SKID:K1122+764.5  timeStamp:2025-03-28 08:08:41:876
ID:9934 SKID:K1122+761.5  timeStamp:2025-03-28 08:08:42:47
ID:9934 SKID:K1122+759  timeStamp:2025-03-28 08:08:42:221
ID:9934 SKID:K1122+756.5  timeStamp:2025-03-28 08:08:42:381
ID:9934 SKID:K1122+754  timeStamp:2025-03-28 08:08:42:542
ID:9934 SKID:K1122+751.5  timeStamp:2025-03-28 08:08:42:702
ID:9934 SKID:K1122+749  timeStamp:2025-03-28 08:08:43:161
ID:9934 SKID:K1122+746.5  timeStamp:2025-03-28 08:08:43:396
ID:9934 SKID:K1122+744  timeStamp:2025-03-28 08:08:43:565
ID:9934 SKID:K1122+741  timeStamp:2025-03-28 08:08:43:732
ID:9934 SKID:K1122+738.5  timeStamp:2025-03-28 08:08:43:902
ID:9934 SKID:K1122+736  timeStamp:2025-03-28 08:08:44:80
ID:9934 SKID:K1122+733.5  timeStamp:2025-03-28 08:08:44:251
ID:9934 SKID:K1122+731.5  timeStamp:2025-03-28 08:08:44:423
ID:9934 SKID:K1122+728.5  timeStamp:2025-03-28 08:08:44:596
ID:9934 SKID:K1122+726.5  timeStamp:2025-03-28 08:08:44:768
ID:9934 SKID:K1122+723.5  timeStamp:2025-03-28 08:08:44:943
ID:9934 SKID:K1122+721  timeStamp:2025-03-28 08:08:45:121
ID:9934 SKID:K1122+718.5  timeStamp:2025-03-28 08:08:45:299
ID:9934 SKID:K1122+716.5  timeStamp:2025-03-28 08:08:45:472
ID:9934 SKID:K1122+713.5  timeStamp:2025-03-28 08:08:45:649
ID:9934 SKID:K1122+711  timeStamp:2025-03-28 08:08:45:819
ID:9934 SKID:K1122+708.5  timeStamp:2025-03-28 08:08:45:989
