ID:9903 SKID:K1123+572  timeStamp:2025-03-28 08:08:24:557
ID:9903 SKID:K1123+573.5  timeStamp:2025-03-28 08:08:24:745
ID:9903 SKID:K1123+574.5  timeStamp:2025-03-28 08:08:24:932
ID:9903 SKID:K1123+576.5  timeStamp:2025-03-28 08:08:25:110
ID:9903 SKID:K1123+577  timeStamp:2025-03-28 08:08:25:285
ID:9903 SKID:K1123+578  timeStamp:2025-03-28 08:08:25:464
ID:9903 SKID:K1123+579.5  timeStamp:2025-03-28 08:08:25:643
ID:9903 SKID:K1123+580.5  timeStamp:2025-03-28 08:08:25:832
ID:9903 SKID:K1123+582  timeStamp:2025-03-28 08:08:26:12
ID:9903 SKID:K1123+583  timeStamp:2025-03-28 08:08:26:194
ID:9903 SKID:K1123+584.5  timeStamp:2025-03-28 08:08:26:372
ID:9903 SKID:K1123+585.5  timeStamp:2025-03-28 08:08:26:871
ID:9903 SKID:K1123+586.5  timeStamp:2025-03-28 08:08:27:122
ID:9903 SKID:K1123+588  timeStamp:2025-03-28 08:08:27:300
ID:9903 SKID:K1123+589  timeStamp:2025-03-28 08:08:27:474
ID:9903 SKID:K1123+590.5  timeStamp:2025-03-28 08:08:27:651
ID:9903 SKID:K1123+591.5  timeStamp:2025-03-28 08:08:27:829
ID:9903 SKID:K1123+593  timeStamp:2025-03-28 08:08:28:20
ID:9903 SKID:K1123+594  timeStamp:2025-03-28 08:08:28:194
ID:9903 SKID:K1123+595.5  timeStamp:2025-03-28 08:08:28:373
ID:9903 SKID:K1123+596.5  timeStamp:2025-03-28 08:08:28:552
ID:9903 SKID:K1123+598  timeStamp:2025-03-28 08:08:28:731
ID:9903 SKID:K1123+599  timeStamp:2025-03-28 08:08:28:914
ID:9903 SKID:K1123+600  timeStamp:2025-03-28 08:08:29:97
ID:9903 SKID:K1123+601.5  timeStamp:2025-03-28 08:08:29:276
ID:9903 SKID:K1123+603  timeStamp:2025-03-28 08:08:29:455
ID:9903 SKID:K1123+604  timeStamp:2025-03-28 08:08:29:635
ID:9903 SKID:K1123+605.5  timeStamp:2025-03-28 08:08:29:816
ID:9903 SKID:K1123+606.5  timeStamp:2025-03-28 08:08:29:998
ID:9903 SKID:K1123+607.5  timeStamp:2025-03-28 08:08:30:181
ID:9903 SKID:K1123+609.5  timeStamp:2025-03-28 08:08:30:363
ID:9903 SKID:K1123+610  timeStamp:2025-03-28 08:08:30:545
ID:9903 SKID:K1123+611.5  timeStamp:2025-03-28 08:08:30:730
ID:9903 SKID:K1123+612.5  timeStamp:2025-03-28 08:08:30:905
ID:9903 SKID:K1123+614  timeStamp:2025-03-28 08:08:31:77
ID:9903 SKID:K1123+615  timeStamp:2025-03-28 08:08:31:258
ID:9903 SKID:K1123+616.5  timeStamp:2025-03-28 08:08:31:431
