ID:9921 SKID:K1123+279  timeStamp:2025-03-28 08:08:24:557
ID:9921 SKID:K1123+281  timeStamp:2025-03-28 08:08:24:745
ID:9921 SKID:K1123+282.5  timeStamp:2025-03-28 08:08:24:932
ID:9921 SKID:K1123+284  timeStamp:2025-03-28 08:08:25:110
ID:9921 SKID:K1123+285.5  timeStamp:2025-03-28 08:08:25:285
ID:9921 SKID:K1123+287.5  timeStamp:2025-03-28 08:08:25:464
ID:9921 SKID:K1123+289  timeStamp:2025-03-28 08:08:25:643
ID:9921 SKID:K1123+291  timeStamp:2025-03-28 08:08:25:832
ID:9921 SKID:K1123+292.5  timeStamp:2025-03-28 08:08:26:12
ID:9921 SKID:K1123+294  timeStamp:2025-03-28 08:08:26:194
ID:9921 SKID:K1123+295.5  timeStamp:2025-03-28 08:08:26:372
ID:9921 SKID:K1123+297  timeStamp:2025-03-28 08:08:26:871
ID:9921 SKID:K1123+299  timeStamp:2025-03-28 08:08:27:122
ID:9921 SKID:K1123+300.5  timeStamp:2025-03-28 08:08:27:300
ID:9921 SKID:K1123+302  timeStamp:2025-03-28 08:08:27:474
ID:9921 SKID:K1123+304  timeStamp:2025-03-28 08:08:27:651
ID:9921 SKID:K1123+305.5  timeStamp:2025-03-28 08:08:27:829
ID:9921 SKID:K1123+307.5  timeStamp:2025-03-28 08:08:28:20
ID:9921 SKID:K1123+309  timeStamp:2025-03-28 08:08:28:194
ID:9921 SKID:K1123+310.5  timeStamp:2025-03-28 08:08:28:373
ID:9921 SKID:K1123+312  timeStamp:2025-03-28 08:08:28:552
ID:9921 SKID:K1123+314  timeStamp:2025-03-28 08:08:28:731
ID:9921 SKID:K1123+315.5  timeStamp:2025-03-28 08:08:28:914
ID:9921 SKID:K1123+317  timeStamp:2025-03-28 08:08:29:97
ID:9921 SKID:K1123+319  timeStamp:2025-03-28 08:08:29:276
ID:9921 SKID:K1123+320.5  timeStamp:2025-03-28 08:08:29:455
ID:9921 SKID:K1123+322  timeStamp:2025-03-28 08:08:29:635
ID:9921 SKID:K1123+324  timeStamp:2025-03-28 08:08:29:816
ID:9921 SKID:K1123+325.5  timeStamp:2025-03-28 08:08:29:998
ID:9921 SKID:K1123+327  timeStamp:2025-03-28 08:08:30:181
ID:9921 SKID:K1123+328.5  timeStamp:2025-03-28 08:08:30:363
ID:9921 SKID:K1123+330.5  timeStamp:2025-03-28 08:08:30:545
ID:9921 SKID:K1123+332  timeStamp:2025-03-28 08:08:30:730
ID:9921 SKID:K1123+334  timeStamp:2025-03-28 08:08:30:905
ID:9921 SKID:K1123+336  timeStamp:2025-03-28 08:08:31:77
ID:9921 SKID:K1123+337  timeStamp:2025-03-28 08:08:31:258
ID:9921 SKID:K1123+339  timeStamp:2025-03-28 08:08:31:431
ID:9921 SKID:K1123+340.5  timeStamp:2025-03-28 08:08:31:608
ID:9921 SKID:K1123+342  timeStamp:2025-03-28 08:08:31:787
ID:9921 SKID:K1123+344  timeStamp:2025-03-28 08:08:31:973
ID:9921 SKID:K1123+345.5  timeStamp:2025-03-28 08:08:32:164
ID:9921 SKID:K1123+347  timeStamp:2025-03-28 08:08:32:330
ID:9921 SKID:K1123+348.5  timeStamp:2025-03-28 08:08:32:494
ID:9921 SKID:K1123+350  timeStamp:2025-03-28 08:08:32:660
ID:9921 SKID:K1123+352  timeStamp:2025-03-28 08:08:32:827
ID:9921 SKID:K1123+353.5  timeStamp:2025-03-28 08:08:32:998
ID:9921 SKID:K1123+355.5  timeStamp:2025-03-28 08:08:33:167
ID:9921 SKID:K1123+357  timeStamp:2025-03-28 08:08:33:341
ID:9921 SKID:K1123+358.5  timeStamp:2025-03-28 08:08:33:505
ID:9921 SKID:K1123+360  timeStamp:2025-03-28 08:08:33:693
ID:9921 SKID:K1123+362  timeStamp:2025-03-28 08:08:33:875
ID:9921 SKID:K1123+363.5  timeStamp:2025-03-28 08:08:34:54
ID:9921 SKID:K1123+365  timeStamp:2025-03-28 08:08:34:251
ID:9921 SKID:K1123+366.5  timeStamp:2025-03-28 08:08:34:431
ID:9921 SKID:K1123+368.5  timeStamp:2025-03-28 08:08:34:942
ID:9921 SKID:K1123+370  timeStamp:2025-03-28 08:08:35:200
ID:9921 SKID:K1123+372  timeStamp:2025-03-28 08:08:35:376
ID:9921 SKID:K1123+373  timeStamp:2025-03-28 08:08:35:551
ID:9921 SKID:K1123+374.5  timeStamp:2025-03-28 08:08:35:725
ID:9921 SKID:K1123+376.5  timeStamp:2025-03-28 08:08:35:909
ID:9921 SKID:K1123+378  timeStamp:2025-03-28 08:08:36:102
ID:9921 SKID:K1123+379.5  timeStamp:2025-03-28 08:08:36:291
ID:9921 SKID:K1123+381  timeStamp:2025-03-28 08:08:36:473
ID:9921 SKID:K1123+384  timeStamp:2025-03-28 08:08:36:658
ID:9921 SKID:K1123+384.5  timeStamp:2025-03-28 08:08:36:843
ID:9921 SKID:K1123+386.5  timeStamp:2025-03-28 08:08:37:27
ID:9921 SKID:K1123+388  timeStamp:2025-03-28 08:08:37:206
ID:9921 SKID:K1123+389.5  timeStamp:2025-03-28 08:08:37:389
ID:9921 SKID:K1123+392  timeStamp:2025-03-28 08:08:37:578
ID:9921 SKID:K1123+393  timeStamp:2025-03-28 08:08:37:754
ID:9921 SKID:K1123+394.5  timeStamp:2025-03-28 08:08:37:940
ID:9921 SKID:K1123+396  timeStamp:2025-03-28 08:08:38:122
ID:9921 SKID:K1123+398  timeStamp:2025-03-28 08:08:38:299
ID:9921 SKID:K1123+400.5  timeStamp:2025-03-28 08:08:38:473
ID:9921 SKID:K1123+401  timeStamp:2025-03-28 08:08:38:649
ID:9921 SKID:K1123+403  timeStamp:2025-03-28 08:08:38:829
ID:9921 SKID:K1123+404.5  timeStamp:2025-03-28 08:08:39:12
ID:9921 SKID:K1123+406  timeStamp:2025-03-28 08:08:39:199
ID:9921 SKID:K1123+408.5  timeStamp:2025-03-28 08:08:39:380
ID:9921 SKID:K1123+409.5  timeStamp:2025-03-28 08:08:39:559
ID:9921 SKID:K1123+411  timeStamp:2025-03-28 08:08:39:743
ID:9921 SKID:K1123+413  timeStamp:2025-03-28 08:08:39:926
ID:9921 SKID:K1123+414.5  timeStamp:2025-03-28 08:08:40:115
ID:9921 SKID:K1123+416.5  timeStamp:2025-03-28 08:08:40:296
ID:9921 SKID:K1123+418  timeStamp:2025-03-28 08:08:40:475
ID:9921 SKID:K1123+419.5  timeStamp:2025-03-28 08:08:40:647
ID:9921 SKID:K1123+421  timeStamp:2025-03-28 08:08:40:822
ID:9921 SKID:K1123+422.5  timeStamp:2025-03-28 08:08:40:997
ID:9921 SKID:K1123+424.5  timeStamp:2025-03-28 08:08:41:177
ID:9921 SKID:K1123+426  timeStamp:2025-03-28 08:08:41:376
ID:9921 SKID:K1123+427.5  timeStamp:2025-03-28 08:08:41:552
ID:9921 SKID:K1123+429  timeStamp:2025-03-28 08:08:41:716
ID:9921 SKID:K1123+431  timeStamp:2025-03-28 08:08:41:876
ID:9921 SKID:K1123+432.5  timeStamp:2025-03-28 08:08:42:47
ID:9921 SKID:K1123+434.5  timeStamp:2025-03-28 08:08:42:221
ID:9921 SKID:K1123+436  timeStamp:2025-03-28 08:08:42:381
ID:9921 SKID:K1123+437.5  timeStamp:2025-03-28 08:08:42:542
ID:9921 SKID:K1123+440.5  timeStamp:2025-03-28 08:08:42:702
ID:9921 SKID:K1123+441  timeStamp:2025-03-28 08:08:43:161
ID:9921 SKID:K1123+442.5  timeStamp:2025-03-28 08:08:43:396
ID:9921 SKID:K1123+444  timeStamp:2025-03-28 08:08:43:565
ID:9921 SKID:K1123+446  timeStamp:2025-03-28 08:08:43:732
ID:9921 SKID:K1123+448.5  timeStamp:2025-03-28 08:08:43:902
ID:9921 SKID:K1123+449.5  timeStamp:2025-03-28 08:08:44:80
ID:9921 SKID:K1123+451  timeStamp:2025-03-28 08:08:44:251
ID:9921 SKID:K1123+452.5  timeStamp:2025-03-28 08:08:44:423
ID:9921 SKID:K1123+454  timeStamp:2025-03-28 08:08:44:596
ID:9921 SKID:K1123+456.5  timeStamp:2025-03-28 08:08:44:768
ID:9921 SKID:K1123+457.5  timeStamp:2025-03-28 08:08:44:943
ID:9921 SKID:K1123+459  timeStamp:2025-03-28 08:08:45:121
ID:9921 SKID:K1123+460.5  timeStamp:2025-03-28 08:08:45:299
ID:9921 SKID:K1123+462.5  timeStamp:2025-03-28 08:08:45:472
ID:9921 SKID:K1123+464.5  timeStamp:2025-03-28 08:08:45:649
ID:9921 SKID:K1123+465.5  timeStamp:2025-03-28 08:08:45:819
ID:9921 SKID:K1123+467  timeStamp:2025-03-28 08:08:45:989
ID:9921 SKID:K1123+469  timeStamp:2025-03-28 08:08:46:163
ID:9921 SKID:K1123+470.5  timeStamp:2025-03-28 08:08:46:338
ID:9921 SKID:K1123+472.5  timeStamp:2025-03-28 08:08:46:511
ID:9921 SKID:K1123+474  timeStamp:2025-03-28 08:08:46:688
ID:9921 SKID:K1123+475.5  timeStamp:2025-03-28 08:08:46:870
ID:9921 SKID:K1123+477  timeStamp:2025-03-28 08:08:47:40
ID:9921 SKID:K1123+479  timeStamp:2025-03-28 08:08:47:213
ID:9921 SKID:K1123+480.5  timeStamp:2025-03-28 08:08:47:395
ID:9921 SKID:K1123+482.5  timeStamp:2025-03-28 08:08:47:562
ID:9921 SKID:K1123+484  timeStamp:2025-03-28 08:08:47:734
ID:9921 SKID:K1123+485.5  timeStamp:2025-03-28 08:08:47:902
ID:9921 SKID:K1123+487  timeStamp:2025-03-28 08:08:48:87
ID:9921 SKID:K1123+489  timeStamp:2025-03-28 08:08:48:274
ID:9921 SKID:K1123+490.5  timeStamp:2025-03-28 08:08:48:464
ID:9921 SKID:K1123+492  timeStamp:2025-03-28 08:08:48:646
ID:9921 SKID:K1123+494  timeStamp:2025-03-28 08:08:48:838
ID:9921 SKID:K1123+495.5  timeStamp:2025-03-28 08:08:49:06
ID:9921 SKID:K1123+497  timeStamp:2025-03-28 08:08:49:176
ID:9921 SKID:K1123+498.5  timeStamp:2025-03-28 08:08:49:356
ID:9921 SKID:K1123+500.5  timeStamp:2025-03-28 08:08:49:521
ID:9921 SKID:K1123+502.5  timeStamp:2025-03-28 08:08:49:697
ID:9921 SKID:K1123+504  timeStamp:2025-03-28 08:08:49:867
ID:9921 SKID:K1123+505.5  timeStamp:2025-03-28 08:08:50:47
ID:9921 SKID:K1123+507  timeStamp:2025-03-28 08:08:50:217
ID:9921 SKID:K1123+508.5  timeStamp:2025-03-28 08:08:50:393
ID:9921 SKID:K1123+510.5  timeStamp:2025-03-28 08:08:50:575
ID:9921 SKID:K1123+512  timeStamp:2025-03-28 08:08:50:746
ID:9921 SKID:K1123+514  timeStamp:2025-03-28 08:08:51:201
ID:9921 SKID:K1123+515.5  timeStamp:2025-03-28 08:08:51:447
ID:9921 SKID:K1123+517  timeStamp:2025-03-28 08:08:51:618
ID:9921 SKID:K1123+518.5  timeStamp:2025-03-28 08:08:51:786
ID:9921 SKID:K1123+520.5  timeStamp:2025-03-28 08:08:51:952
ID:9921 SKID:K1123+522  timeStamp:2025-03-28 08:08:52:123
ID:9921 SKID:K1123+524  timeStamp:2025-03-28 08:08:52:290
