ID:9908 SKID:K1123+633  timeStamp:2025-03-28 08:08:24:557
ID:9908 SKID:K1123+634.5  timeStamp:2025-03-28 08:08:24:745
ID:9908 SKID:K1123+635.5  timeStamp:2025-03-28 08:08:24:932
ID:9908 SKID:K1123+636.5  timeStamp:2025-03-28 08:08:25:110
ID:9908 SKID:K1123+638  timeStamp:2025-03-28 08:08:25:285
ID:9908 SKID:K1123+639  timeStamp:2025-03-28 08:08:25:464
ID:9908 SKID:K1123+640  timeStamp:2025-03-28 08:08:25:643
ID:9908 SKID:K1123+641.5  timeStamp:2025-03-28 08:08:25:832
ID:9908 SKID:K1123+642.5  timeStamp:2025-03-28 08:08:26:12
ID:9908 SKID:K1123+643.5  timeStamp:2025-03-28 08:08:26:194
ID:9908 SKID:K1123+645  timeStamp:2025-03-28 08:08:26:372
ID:9908 SKID:K1123+646  timeStamp:2025-03-28 08:08:26:871
ID:9908 SKID:K1123+647  timeStamp:2025-03-28 08:08:27:122
ID:9908 SKID:K1123+648.5  timeStamp:2025-03-28 08:08:27:300
ID:9908 SKID:K1123+649.5  timeStamp:2025-03-28 08:08:27:474
ID:9908 SKID:K1123+650.5  timeStamp:2025-03-28 08:08:27:651
ID:9908 SKID:K1123+652  timeStamp:2025-03-28 08:08:27:829
ID:9908 SKID:K1123+653  timeStamp:2025-03-28 08:08:28:20
ID:9908 SKID:K1123+654  timeStamp:2025-03-28 08:08:28:194
ID:9908 SKID:K1123+655.5  timeStamp:2025-03-28 08:08:28:373
ID:9908 SKID:K1123+656.5  timeStamp:2025-03-28 08:08:28:552
ID:9908 SKID:K1123+658  timeStamp:2025-03-28 08:08:28:731
ID:9908 SKID:K1123+659  timeStamp:2025-03-28 08:08:28:914
ID:9908 SKID:K1123+660  timeStamp:2025-03-28 08:08:29:97
ID:9908 SKID:K1123+661.5  timeStamp:2025-03-28 08:08:29:276
ID:9908 SKID:K1123+662.5  timeStamp:2025-03-28 08:08:29:455
ID:9908 SKID:K1123+663.5  timeStamp:2025-03-28 08:08:29:635
ID:9908 SKID:K1123+664.5  timeStamp:2025-03-28 08:08:29:816
ID:9908 SKID:K1123+666  timeStamp:2025-03-28 08:08:29:998
ID:9908 SKID:K1123+667  timeStamp:2025-03-28 08:08:30:181
ID:9908 SKID:K1123+668  timeStamp:2025-03-28 08:08:30:363
ID:9908 SKID:K1123+669.5  timeStamp:2025-03-28 08:08:30:545
ID:9908 SKID:K1123+670.5  timeStamp:2025-03-28 08:08:30:730
ID:9908 SKID:K1123+672  timeStamp:2025-03-28 08:08:30:905
ID:9908 SKID:K1123+673  timeStamp:2025-03-28 08:08:31:77
ID:9908 SKID:K1123+674.5  timeStamp:2025-03-28 08:08:31:258
ID:9908 SKID:K1123+675.5  timeStamp:2025-03-28 08:08:31:431
ID:9908 SKID:K1123+676.5  timeStamp:2025-03-28 08:08:31:608
ID:9908 SKID:K1123+677.5  timeStamp:2025-03-28 08:08:31:787
ID:9908 SKID:K1123+679  timeStamp:2025-03-28 08:08:31:973
ID:9908 SKID:K1123+680  timeStamp:2025-03-28 08:08:32:164
ID:9908 SKID:K1123+681  timeStamp:2025-03-28 08:08:32:330
ID:9908 SKID:K1123+682.5  timeStamp:2025-03-28 08:08:32:494
ID:9908 SKID:K1123+683.5  timeStamp:2025-03-28 08:08:32:660
ID:9908 SKID:K1123+684.5  timeStamp:2025-03-28 08:08:32:827
ID:9908 SKID:K1123+685.5  timeStamp:2025-03-28 08:08:32:998
ID:9908 SKID:K1123+687  timeStamp:2025-03-28 08:08:33:167
ID:9908 SKID:K1123+688  timeStamp:2025-03-28 08:08:33:341
ID:9908 SKID:K1123+689.5  timeStamp:2025-03-28 08:08:33:505
ID:9908 SKID:K1123+690.5  timeStamp:2025-03-28 08:08:33:693
ID:9908 SKID:K1123+691.5  timeStamp:2025-03-28 08:08:33:875
ID:9908 SKID:K1123+693  timeStamp:2025-03-28 08:08:34:54
ID:9908 SKID:K1123+694  timeStamp:2025-03-28 08:08:34:251
ID:9908 SKID:K1123+695.5  timeStamp:2025-03-28 08:08:34:431
ID:9908 SKID:K1123+696.5  timeStamp:2025-03-28 08:08:34:942
ID:9908 SKID:K1123+697.5  timeStamp:2025-03-28 08:08:35:200
ID:9908 SKID:K1123+699  timeStamp:2025-03-28 08:08:35:376
ID:9908 SKID:K1123+700  timeStamp:2025-03-28 08:08:35:551
ID:9908 SKID:K1123+701  timeStamp:2025-03-28 08:08:35:725
ID:9908 SKID:K1123+702  timeStamp:2025-03-28 08:08:35:909
ID:9908 SKID:K1123+703.5  timeStamp:2025-03-28 08:08:36:102
ID:9908 SKID:K1123+704.5  timeStamp:2025-03-28 08:08:36:291
ID:9908 SKID:K1123+705.5  timeStamp:2025-03-28 08:08:36:473
ID:9908 SKID:K1123+707  timeStamp:2025-03-28 08:08:36:658
ID:9908 SKID:K1123+709  timeStamp:2025-03-28 08:08:36:843
ID:9908 SKID:K1123+711.5  timeStamp:2025-03-28 08:08:37:27
ID:9908 SKID:K1123+713.5  timeStamp:2025-03-28 08:08:37:206
ID:9908 SKID:K1123+715.5  timeStamp:2025-03-28 08:08:37:389
ID:9908 SKID:K1123+718  timeStamp:2025-03-28 08:08:37:578
ID:9908 SKID:K1123+720  timeStamp:2025-03-28 08:08:37:754
ID:9908 SKID:K1123+722.5  timeStamp:2025-03-28 08:08:37:940
ID:9908 SKID:K1123+724.5  timeStamp:2025-03-28 08:08:38:122
ID:9908 SKID:K1123+727  timeStamp:2025-03-28 08:08:38:299
ID:9908 SKID:K1123+729  timeStamp:2025-03-28 08:08:38:473
ID:9908 SKID:K1123+731.5  timeStamp:2025-03-28 08:08:38:649
