ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:40:115
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:40:296
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:40:475
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:40:647
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:40:822
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:40:997
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:41:177
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:41:376
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:41:552
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:41:716
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:41:876
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:42:47
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:42:221
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:42:381
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:42:542
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:42:702
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:43:161
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:43:396
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:43:565
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:43:732
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:43:902
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:44:80
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:44:251
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:44:423
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:44:596
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:44:768
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:44:943
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:45:121
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:45:299
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:45:472
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:45:649
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:45:819
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:45:989
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:46:163
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:46:338
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:46:511
