ID:9953 SKID:K1122+841.5  timeStamp:2025-03-28 08:08:24:557
ID:9953 SKID:K1122+840.5  timeStamp:2025-03-28 08:08:24:745
ID:9953 SKID:K1122+839.5  timeStamp:2025-03-28 08:08:24:932
ID:9953 SKID:K1122+838  timeStamp:2025-03-28 08:08:25:110
ID:9953 SKID:K1122+837  timeStamp:2025-03-28 08:08:25:285
ID:9953 SKID:K1122+836  timeStamp:2025-03-28 08:08:25:464
ID:9953 SKID:K1122+834.5  timeStamp:2025-03-28 08:08:25:643
ID:9953 SKID:K1122+833.5  timeStamp:2025-03-28 08:08:25:832
ID:9953 SKID:K1122+832.5  timeStamp:2025-03-28 08:08:26:12
ID:9953 SKID:K1122+831  timeStamp:2025-03-28 08:08:26:194
ID:9953 SKID:K1122+830  timeStamp:2025-03-28 08:08:26:372
ID:9953 SKID:K1122+829  timeStamp:2025-03-28 08:08:26:871
ID:9953 SKID:K1122+828  timeStamp:2025-03-28 08:08:27:122
ID:9953 SKID:K1122+826.5  timeStamp:2025-03-28 08:08:27:300
ID:9953 SKID:K1122+825.5  timeStamp:2025-03-28 08:08:27:474
ID:9953 SKID:K1122+824  timeStamp:2025-03-28 08:08:27:651
ID:9953 SKID:K1122+822.5  timeStamp:2025-03-28 08:08:27:829
ID:9953 SKID:K1122+821.5  timeStamp:2025-03-28 08:08:28:20
ID:9953 SKID:K1122+820.5  timeStamp:2025-03-28 08:08:28:194
ID:9953 SKID:K1122+819.5  timeStamp:2025-03-28 08:08:28:373
ID:9953 SKID:K1122+818  timeStamp:2025-03-28 08:08:28:552
ID:9953 SKID:K1122+817  timeStamp:2025-03-28 08:08:28:731
ID:9953 SKID:K1122+816  timeStamp:2025-03-28 08:08:28:914
ID:9953 SKID:K1122+815  timeStamp:2025-03-28 08:08:29:97
ID:9953 SKID:K1122+813.5  timeStamp:2025-03-28 08:08:29:276
ID:9953 SKID:K1122+812  timeStamp:2025-03-28 08:08:29:455
ID:9953 SKID:K1122+811  timeStamp:2025-03-28 08:08:29:635
ID:9953 SKID:K1122+810  timeStamp:2025-03-28 08:08:29:816
ID:9953 SKID:K1122+809  timeStamp:2025-03-28 08:08:29:998
ID:9953 SKID:K1122+807.5  timeStamp:2025-03-28 08:08:30:181
ID:9953 SKID:K1122+806.5  timeStamp:2025-03-28 08:08:30:363
ID:9953 SKID:K1122+805.5  timeStamp:2025-03-28 08:08:30:545
ID:9953 SKID:K1122+804  timeStamp:2025-03-28 08:08:30:730
ID:9953 SKID:K1122+803  timeStamp:2025-03-28 08:08:30:905
ID:9953 SKID:K1122+801.5  timeStamp:2025-03-28 08:08:31:77
ID:9953 SKID:K1122+800.5  timeStamp:2025-03-28 08:08:31:258
ID:9953 SKID:K1122+799.5  timeStamp:2025-03-28 08:08:31:431
ID:9953 SKID:K1122+798  timeStamp:2025-03-28 08:08:31:608
ID:9953 SKID:K1122+797  timeStamp:2025-03-28 08:08:31:787
ID:9953 SKID:K1122+796  timeStamp:2025-03-28 08:08:31:973
ID:9953 SKID:K1122+794.5  timeStamp:2025-03-28 08:08:32:164
ID:9953 SKID:K1122+793.5  timeStamp:2025-03-28 08:08:32:330
ID:9953 SKID:K1122+792.5  timeStamp:2025-03-28 08:08:32:494
ID:9953 SKID:K1122+791  timeStamp:2025-03-28 08:08:32:660
ID:9953 SKID:K1122+790  timeStamp:2025-03-28 08:08:32:827
ID:9953 SKID:K1122+789  timeStamp:2025-03-28 08:08:32:998
ID:9953 SKID:K1122+787.5  timeStamp:2025-03-28 08:08:33:167
ID:9953 SKID:K1122+786.5  timeStamp:2025-03-28 08:08:33:341
ID:9953 SKID:K1122+785  timeStamp:2025-03-28 08:08:33:505
ID:9953 SKID:K1122+784  timeStamp:2025-03-28 08:08:33:693
ID:9953 SKID:K1122+783  timeStamp:2025-03-28 08:08:33:875
ID:9953 SKID:K1122+782  timeStamp:2025-03-28 08:08:34:54
ID:9953 SKID:K1122+780.5  timeStamp:2025-03-28 08:08:34:251
ID:9953 SKID:K1122+779.5  timeStamp:2025-03-28 08:08:34:431
ID:9953 SKID:K1122+778.5  timeStamp:2025-03-28 08:08:34:942
ID:9953 SKID:K1122+777  timeStamp:2025-03-28 08:08:35:200
ID:9953 SKID:K1122+776  timeStamp:2025-03-28 08:08:35:376
ID:9953 SKID:K1122+774.5  timeStamp:2025-03-28 08:08:35:551
ID:9953 SKID:K1122+773.5  timeStamp:2025-03-28 08:08:35:725
ID:9953 SKID:K1122+772  timeStamp:2025-03-28 08:08:35:909
ID:9953 SKID:K1122+771  timeStamp:2025-03-28 08:08:36:102
ID:9953 SKID:K1122+770  timeStamp:2025-03-28 08:08:36:291
ID:9953 SKID:K1122+769  timeStamp:2025-03-28 08:08:36:473
ID:9953 SKID:K1122+767.5  timeStamp:2025-03-28 08:08:36:658
ID:9953 SKID:K1122+766.5  timeStamp:2025-03-28 08:08:36:843
ID:9953 SKID:K1122+765  timeStamp:2025-03-28 08:08:37:27
ID:9953 SKID:K1122+764  timeStamp:2025-03-28 08:08:37:206
ID:9953 SKID:K1122+763  timeStamp:2025-03-28 08:08:37:389
ID:9953 SKID:K1122+761.5  timeStamp:2025-03-28 08:08:37:578
ID:9953 SKID:K1122+760.5  timeStamp:2025-03-28 08:08:37:754
ID:9953 SKID:K1122+759.5  timeStamp:2025-03-28 08:08:37:940
ID:9953 SKID:K1122+758  timeStamp:2025-03-28 08:08:38:122
ID:9953 SKID:K1122+757  timeStamp:2025-03-28 08:08:38:299
ID:9953 SKID:K1122+756  timeStamp:2025-03-28 08:08:38:473
ID:9953 SKID:K1122+754.5  timeStamp:2025-03-28 08:08:38:649
ID:9953 SKID:K1122+753.5  timeStamp:2025-03-28 08:08:38:829
ID:9953 SKID:K1122+752.5  timeStamp:2025-03-28 08:08:39:12
ID:9953 SKID:K1122+751.5  timeStamp:2025-03-28 08:08:39:199
ID:9953 SKID:K1122+750  timeStamp:2025-03-28 08:08:39:380
ID:9953 SKID:K1122+749  timeStamp:2025-03-28 08:08:39:559
ID:9953 SKID:K1122+747.5  timeStamp:2025-03-28 08:08:39:743
ID:9953 SKID:K1122+746.5  timeStamp:2025-03-28 08:08:39:926
ID:9953 SKID:K1122+745  timeStamp:2025-03-28 08:08:40:115
ID:9953 SKID:K1122+744  timeStamp:2025-03-28 08:08:40:296
ID:9953 SKID:K1122+743  timeStamp:2025-03-28 08:08:40:475
ID:9953 SKID:K1122+742  timeStamp:2025-03-28 08:08:40:647
ID:9953 SKID:K1122+740.5  timeStamp:2025-03-28 08:08:40:822
ID:9953 SKID:K1122+739.5  timeStamp:2025-03-28 08:08:40:997
ID:9953 SKID:K1122+738  timeStamp:2025-03-28 08:08:41:177
ID:9953 SKID:K1122+737  timeStamp:2025-03-28 08:08:41:376
ID:9953 SKID:K1122+736  timeStamp:2025-03-28 08:08:41:552
ID:9953 SKID:K1122+734.5  timeStamp:2025-03-28 08:08:41:716
ID:9953 SKID:K1122+733.5  timeStamp:2025-03-28 08:08:41:876
ID:9953 SKID:K1122+732  timeStamp:2025-03-28 08:08:42:47
ID:9953 SKID:K1122+731  timeStamp:2025-03-28 08:08:42:221
ID:9953 SKID:K1122+730  timeStamp:2025-03-28 08:08:42:381
ID:9953 SKID:K1122+729  timeStamp:2025-03-28 08:08:42:542
ID:9953 SKID:K1122+727.5  timeStamp:2025-03-28 08:08:42:702
ID:9953 SKID:K1122+726.5  timeStamp:2025-03-28 08:08:43:161
ID:9953 SKID:K1122+725.5  timeStamp:2025-03-28 08:08:43:396
ID:9953 SKID:K1122+724  timeStamp:2025-03-28 08:08:43:565
ID:9953 SKID:K1122+723  timeStamp:2025-03-28 08:08:43:732
ID:9953 SKID:K1122+721.5  timeStamp:2025-03-28 08:08:43:902
ID:9953 SKID:K1122+720.5  timeStamp:2025-03-28 08:08:44:80
ID:9953 SKID:K1122+719.5  timeStamp:2025-03-28 08:08:44:251
ID:9953 SKID:K1122+718.5  timeStamp:2025-03-28 08:08:44:423
ID:9953 SKID:K1122+717  timeStamp:2025-03-28 08:08:44:596
ID:9953 SKID:K1122+716  timeStamp:2025-03-28 08:08:44:768
ID:9953 SKID:K1122+714.5  timeStamp:2025-03-28 08:08:44:943
ID:9953 SKID:K1122+713.5  timeStamp:2025-03-28 08:08:45:121
ID:9953 SKID:K1122+712.5  timeStamp:2025-03-28 08:08:45:299
ID:9953 SKID:K1122+711  timeStamp:2025-03-28 08:08:45:472
ID:9953 SKID:K1122+710  timeStamp:2025-03-28 08:08:45:649
ID:9953 SKID:K1122+709  timeStamp:2025-03-28 08:08:45:819
ID:9953 SKID:K1122+707.5  timeStamp:2025-03-28 08:08:45:989
ID:9953 SKID:K1122+706.5  timeStamp:2025-03-28 08:08:46:163
ID:9953 SKID:K1122+705.5  timeStamp:2025-03-28 08:08:46:338
ID:9953 SKID:K1122+704  timeStamp:2025-03-28 08:08:46:511
ID:9953 SKID:K1122+703  timeStamp:2025-03-28 08:08:46:688
ID:9953 SKID:K1122+701.5  timeStamp:2025-03-28 08:08:46:870
ID:9953 SKID:K1122+700.5  timeStamp:2025-03-28 08:08:47:40
ID:9953 SKID:K1122+699.5  timeStamp:2025-03-28 08:08:47:213
ID:9953 SKID:K1122+698.5  timeStamp:2025-03-28 08:08:47:395
ID:9953 SKID:K1122+697  timeStamp:2025-03-28 08:08:47:562
ID:9953 SKID:K1122+696  timeStamp:2025-03-28 08:08:47:734
ID:9953 SKID:K1122+694.5  timeStamp:2025-03-28 08:08:47:902
ID:9953 SKID:K1122+693.5  timeStamp:2025-03-28 08:08:48:87
ID:9953 SKID:K1122+692.5  timeStamp:2025-03-28 08:08:48:274
ID:9953 SKID:K1122+691.5  timeStamp:2025-03-28 08:08:48:464
ID:9953 SKID:K1122+690  timeStamp:2025-03-28 08:08:48:646
ID:9953 SKID:K1122+688.5  timeStamp:2025-03-28 08:08:48:838
ID:9953 SKID:K1122+687.5  timeStamp:2025-03-28 08:08:49:06
ID:9953 SKID:K1122+686.5  timeStamp:2025-03-28 08:08:49:176
ID:9953 SKID:K1122+685.5  timeStamp:2025-03-28 08:08:49:356
ID:9953 SKID:K1122+684.5  timeStamp:2025-03-28 08:08:49:521
ID:9953 SKID:K1122+683  timeStamp:2025-03-28 08:08:49:697
ID:9953 SKID:K1122+682  timeStamp:2025-03-28 08:08:49:867
ID:9953 SKID:K1122+681  timeStamp:2025-03-28 08:08:50:47
ID:9953 SKID:K1122+679.5  timeStamp:2025-03-28 08:08:50:217
ID:9953 SKID:K1122+678.5  timeStamp:2025-03-28 08:08:50:393
ID:9953 SKID:K1122+677.5  timeStamp:2025-03-28 08:08:50:575
ID:9953 SKID:K1122+676.5  timeStamp:2025-03-28 08:08:50:746
ID:9953 SKID:K1122+675  timeStamp:2025-03-28 08:08:51:201
ID:9953 SKID:K1122+674  timeStamp:2025-03-28 08:08:51:447
ID:9953 SKID:K1122+672.5  timeStamp:2025-03-28 08:08:51:618
ID:9953 SKID:K1122+671.5  timeStamp:2025-03-28 08:08:51:786
ID:9953 SKID:K1122+670.5  timeStamp:2025-03-28 08:08:51:952
ID:9953 SKID:K1122+669  timeStamp:2025-03-28 08:08:52:123
ID:9953 SKID:K1122+668  timeStamp:2025-03-28 08:08:52:290
ID:9953 SKID:K1122+666.5  timeStamp:2025-03-28 08:08:52:462
ID:9953 SKID:K1122+665.5  timeStamp:2025-03-28 08:08:52:639
ID:9953 SKID:K1122+664.5  timeStamp:2025-03-28 08:08:52:820
ID:9953 SKID:K1122+663  timeStamp:2025-03-28 08:08:53:01
ID:9953 SKID:K1122+662  timeStamp:2025-03-28 08:08:53:190
ID:9953 SKID:K1122+661  timeStamp:2025-03-28 08:08:53:372
ID:9953 SKID:K1122+659.5  timeStamp:2025-03-28 08:08:53:550
ID:9953 SKID:K1122+658.5  timeStamp:2025-03-28 08:08:53:736
ID:9953 SKID:K1122+657.5  timeStamp:2025-03-28 08:08:53:928
ID:9953 SKID:K1122+656  timeStamp:2025-03-28 08:08:54:113
ID:9953 SKID:K1122+655  timeStamp:2025-03-28 08:08:54:293
ID:9953 SKID:K1122+654  timeStamp:2025-03-28 08:08:54:482
ID:9953 SKID:K1122+652.5  timeStamp:2025-03-28 08:08:54:667
ID:9953 SKID:K1122+651.5  timeStamp:2025-03-28 08:08:54:854
ID:9953 SKID:K1122+650.5  timeStamp:2025-03-28 08:08:55:38
ID:9953 SKID:K1122+649  timeStamp:2025-03-28 08:08:55:219
ID:9953 SKID:K1122+648  timeStamp:2025-03-28 08:08:55:410
ID:9953 SKID:K1122+646.5  timeStamp:2025-03-28 08:08:55:591
ID:9953 SKID:K1122+645.5  timeStamp:2025-03-28 08:08:55:775
ID:9953 SKID:K1122+644.5  timeStamp:2025-03-28 08:08:55:959
ID:9953 SKID:K1122+643.5  timeStamp:2025-03-28 08:08:56:142
ID:9953 SKID:K1122+642  timeStamp:2025-03-28 08:08:56:321
ID:9953 SKID:K1122+641  timeStamp:2025-03-28 08:08:56:514
ID:9953 SKID:K1122+639.5  timeStamp:2025-03-28 08:08:56:696
ID:9953 SKID:K1122+638.5  timeStamp:2025-03-28 08:08:56:875
ID:9953 SKID:K1122+637.5  timeStamp:2025-03-28 08:08:57:77
ID:9953 SKID:K1122+636  timeStamp:2025-03-28 08:08:57:262
ID:9953 SKID:K1122+635  timeStamp:2025-03-28 08:08:57:447
ID:9953 SKID:K1122+634  timeStamp:2025-03-28 08:08:57:637
ID:9953 SKID:K1122+632.5  timeStamp:2025-03-28 08:08:57:820
ID:9953 SKID:K1122+631.5  timeStamp:2025-03-28 08:08:57:999
ID:9953 SKID:K1122+630.5  timeStamp:2025-03-28 08:08:58:178
ID:9953 SKID:K1122+629  timeStamp:2025-03-28 08:08:58:357
ID:9953 SKID:K1122+628  timeStamp:2025-03-28 08:08:58:540
ID:9953 SKID:K1122+626.5  timeStamp:2025-03-28 08:08:58:723
ID:9953 SKID:K1122+625.5  timeStamp:2025-03-28 08:08:58:898
ID:9953 SKID:K1122+624.5  timeStamp:2025-03-28 08:08:59:359
