ID:9961 SKID:AK0+348  timeStamp:2025-03-28 08:08:40:475
ID:9961 SKID:AK0+349.5  timeStamp:2025-03-28 08:08:40:647
ID:9961 SKID:AK0+351  timeStamp:2025-03-28 08:08:40:822
ID:9961 SKID:AK0+352.5  timeStamp:2025-03-28 08:08:40:997
ID:9961 SKID:AK0+354.5  timeStamp:2025-03-28 08:08:41:177
ID:9961 SKID:AK0+356  timeStamp:2025-03-28 08:08:41:376
ID:9961 SKID:AK0+357.5  timeStamp:2025-03-28 08:08:41:552
ID:9961 SKID:AK0+359  timeStamp:2025-03-28 08:08:41:716
ID:9961 SKID:AK0+361  timeStamp:2025-03-28 08:08:41:876
ID:9961 SKID:AK0+362.5  timeStamp:2025-03-28 08:08:42:47
ID:9961 SKID:AK0+364.5  timeStamp:2025-03-28 08:08:42:221
ID:9961 SKID:AK0+366  timeStamp:2025-03-28 08:08:42:381
ID:9961 SKID:AK0+367.5  timeStamp:2025-03-28 08:08:42:542
ID:9961 SKID:AK0+369  timeStamp:2025-03-28 08:08:42:702
ID:9961 SKID:AK0+370.5  timeStamp:2025-03-28 08:08:43:161
ID:9961 SKID:AK0+372.5  timeStamp:2025-03-28 08:08:43:396
ID:9961 SKID:AK0+374  timeStamp:2025-03-28 08:08:43:565
ID:9961 SKID:AK0+376  timeStamp:2025-03-28 08:08:43:732
ID:9961 SKID:AK0+377.5  timeStamp:2025-03-28 08:08:43:902
ID:9961 SKID:AK0+379  timeStamp:2025-03-28 08:08:44:80
ID:9961 SKID:AK0+380.5  timeStamp:2025-03-28 08:08:44:251
ID:9961 SKID:AK0+382  timeStamp:2025-03-28 08:08:44:423
ID:9961 SKID:AK0+384  timeStamp:2025-03-28 08:08:44:596
ID:9961 SKID:AK0+385.5  timeStamp:2025-03-28 08:08:44:768
ID:9961 SKID:AK0+387.5  timeStamp:2025-03-28 08:08:44:943
ID:9961 SKID:AK0+389  timeStamp:2025-03-28 08:08:45:121
ID:9961 SKID:AK0+390.5  timeStamp:2025-03-28 08:08:45:299
ID:9961 SKID:AK0+392  timeStamp:2025-03-28 08:08:45:472
ID:9961 SKID:AK0+393.5  timeStamp:2025-03-28 08:08:45:649
ID:9961 SKID:AK0+395.5  timeStamp:2025-03-28 08:08:45:819
ID:9961 SKID:AK0+397  timeStamp:2025-03-28 08:08:45:989
