ID:9976 SKID:K1123+370  timeStamp:2025-03-28 08:09:28:145
ID:9976 SKID:K1123+369  timeStamp:2025-03-28 08:09:28:353
ID:9976 SKID:K1123+367.5  timeStamp:2025-03-28 08:09:28:556
ID:9976 SKID:K1123+366  timeStamp:2025-03-28 08:09:28:739
ID:9976 SKID:K1123+364.5  timeStamp:2025-03-28 08:09:28:918
ID:9976 SKID:K1123+363  timeStamp:2025-03-28 08:09:29:96
ID:9976 SKID:K1123+361.5  timeStamp:2025-03-28 08:09:29:270
ID:9976 SKID:K1123+360  timeStamp:2025-03-28 08:09:29:444
ID:9976 SKID:K1123+358.5  timeStamp:2025-03-28 08:09:29:617
ID:9976 SKID:K1123+358  timeStamp:2025-03-28 08:09:29:792
ID:9976 SKID:K1123+355.5  timeStamp:2025-03-28 08:09:29:974
ID:9976 SKID:K1123+354.5  timeStamp:2025-03-28 08:09:30:176
ID:9976 SKID:K1123+352.5  timeStamp:2025-03-28 08:09:30:354
ID:9976 SKID:K1123+351  timeStamp:2025-03-28 08:09:30:788
ID:9976 SKID:K1123+350  timeStamp:2025-03-28 08:09:31:39
ID:9976 SKID:K1123+348.5  timeStamp:2025-03-28 08:09:31:218
ID:9976 SKID:K1123+347  timeStamp:2025-03-28 08:09:31:402
ID:9976 SKID:K1123+345.5  timeStamp:2025-03-28 08:09:31:577
ID:9976 SKID:K1123+344.5  timeStamp:2025-03-28 08:09:31:759
ID:9976 SKID:K1123+342.5  timeStamp:2025-03-28 08:09:31:939
ID:9976 SKID:K1123+341  timeStamp:2025-03-28 08:09:32:121
ID:9976 SKID:K1123+339.5  timeStamp:2025-03-28 08:09:32:300
ID:9976 SKID:K1123+338  timeStamp:2025-03-28 08:09:32:477
ID:9976 SKID:K1123+337.5  timeStamp:2025-03-28 08:09:32:667
ID:9976 SKID:K1123+335.5  timeStamp:2025-03-28 08:09:32:843
ID:9976 SKID:K1123+334  timeStamp:2025-03-28 08:09:33:19
ID:9976 SKID:K1123+332  timeStamp:2025-03-28 08:09:33:200
ID:9976 SKID:K1123+331  timeStamp:2025-03-28 08:09:33:382
ID:9976 SKID:K1123+329.5  timeStamp:2025-03-28 08:09:33:558
ID:9976 SKID:K1123+328  timeStamp:2025-03-28 08:09:33:733
ID:9976 SKID:K1123+326.5  timeStamp:2025-03-28 08:09:33:914
ID:9976 SKID:K1123+325  timeStamp:2025-03-28 08:09:34:83
ID:9976 SKID:K1123+324  timeStamp:2025-03-28 08:09:34:258
ID:9976 SKID:K1123+322  timeStamp:2025-03-28 08:09:34:437
ID:9976 SKID:K1123+320.5  timeStamp:2025-03-28 08:09:34:619
ID:9976 SKID:K1123+319  timeStamp:2025-03-28 08:09:34:794
ID:9976 SKID:K1123+317.5  timeStamp:2025-03-28 08:09:34:970
ID:9976 SKID:K1123+316.5  timeStamp:2025-03-28 08:09:35:147
ID:9976 SKID:K1123+315  timeStamp:2025-03-28 08:09:35:322
ID:9976 SKID:K1123+313.5  timeStamp:2025-03-28 08:09:35:494
ID:9976 SKID:K1123+312  timeStamp:2025-03-28 08:09:35:663
ID:9976 SKID:K1123+310.5  timeStamp:2025-03-28 08:09:35:834
ID:9976 SKID:K1123+309  timeStamp:2025-03-28 08:09:36:16
ID:9976 SKID:K1123+307.5  timeStamp:2025-03-28 08:09:36:193
ID:9976 SKID:K1123+306  timeStamp:2025-03-28 08:09:36:370
ID:9976 SKID:K1123+304.5  timeStamp:2025-03-28 08:09:36:545
